figure	panel	displayed_value	metric	source_file	row/locus/gene	verified
Figure 1	b	82	discovery non-lesional skin availability	results/phase1/phase1_smoke_summary.tsv	discovery non-lesional skin availability	yes
Figure 1	b	76	discovery complete LS/NL/blood modeling set	results/phase1/phase1_smoke_summary.tsv	discovery complete LS/NL/blood modeling set	yes
Figure 1	b	57	replication lesional skin availability	results/phase1/phase1_smoke_summary.tsv	replication lesional skin availability	yes
Figure 1	b	57	replication non-lesional skin availability	results/phase1/phase1_smoke_summary.tsv	replication non-lesional skin availability	yes
Figure 1	b	0	replication blood availability	results/phase1/phase1_smoke_summary.tsv	replication blood availability	yes
Figure 1	c	0.562	k=2 minimum bootstrap Jaccard	reports/PHASE1_ENDOTYPE_GO_NOGO_REPORT.md	k=2 minimum bootstrap Jaccard	yes
Figure 1	c	0.75	prespecified stability threshold	reports/PHASE1_ENDOTYPE_GO_NOGO_REPORT.md	prespecified stability threshold	yes
Figure 1	c	0.562	minimum bootstrap Jaccard	reports/PHASE1_ENDOTYPE_GO_NOGO_REPORT.md	k=2	yes
Figure 1	c	0.75	stability threshold	reports/PHASE1_ENDOTYPE_GO_NOGO_REPORT.md	prespecified criterion	yes
Figure 5	a	1.1715 (1.0243,1.3187)	LDSC rg and 95% CI	results/phase4a/phase4a_ldsc_rg_results.tsv	PsA	yes
Figure 5	a	-0.2717 (-0.3597,-0.1837)	LDSC rg and 95% CI	results/phase4a/phase4a_ldsc_rg_results.tsv	Crohn	yes
Figure 5	a	-0.2233 (-0.3035,-0.1431)	LDSC rg and 95% CI	results/phase4a/phase4a_ldsc_rg_results.tsv	UC	yes
Figure 5	a	0.1732 (0.1195,0.2269)	LDSC rg and 95% CI	results/phase4a/phase4a_ldsc_rg_results.tsv	CAD	yes
Figure 5	a	0.0255 (-0.0899,0.1409)	LDSC rg and 95% CI	results/phase4a/phase4a_ldsc_rg_results.tsv	Stroke	yes
Figure 5	a	0.0118 (-0.0754,0.0990)	LDSC rg and 95% CI	results/phase4a/phase4a_ldsc_rg_results.tsv	CKD	yes
Figure 5	b	10/21/23	negative/positive/FDR-supported local signal counts	results/phase4b_restricted_lava/phase4b_restricted_lava_summary.tsv	CAD	yes
Figure 5	b	0/36/31	negative/positive/FDR-supported local signal counts	results/phase4b_restricted_lava/phase4b_restricted_lava_summary.tsv	PsA	yes
Figure 5	b	51/9/49	negative/positive/FDR-supported local signal counts	results/phase4b_restricted_lava/phase4b_restricted_lava_summary.tsv	Crohn	yes
Figure 5	b	18/7/19	negative/positive/FDR-supported local signal counts	results/phase4b_restricted_lava/phase4b_restricted_lava_summary.tsv	UC	yes
Figure 2	c	0.688	GSE244679 absolute paired-skin rho	results/phase1b/external_GSE244679_skin_axis_replication.tsv	"F1 <bound method Series.view of axis                                                                                                 F1
dataset                                                                                       GSE244679
view                                                                                                 LS
n_pairs                                                                                              24
n_common_axis_features                                                                              424
loading_vs_paired_lesional_minus_adjacent_spearman                                            -0.688398
external_effect_definition                            mean paired score difference: lesional psoriat...
abs_rho                                                                                        0.688398
Name: 0, dtype: object>"	yes
Figure 2	c	0.518	GSE244679 absolute paired-skin rho	results/phase1b/external_GSE244679_skin_axis_replication.tsv	"F2 <bound method Series.view of axis                                                                                                 F2
dataset                                                                                       GSE244679
view                                                                                                 NL
n_pairs                                                                                              24
n_common_axis_features                                                                              423
loading_vs_paired_lesional_minus_adjacent_spearman                                            -0.518229
external_effect_definition                            mean paired score difference: lesional psoriat...
abs_rho                                                                                        0.518229
Name: 1, dtype: object>"	yes
Figure 2	c	0.375	GSE244679 absolute paired-skin rho	results/phase1b/external_GSE244679_skin_axis_replication.tsv	"F6 <bound method Series.view of axis                                                                                                 F6
dataset                                                                                       GSE244679
view                                                                                                 LS
n_pairs                                                                                              24
n_common_axis_features                                                                              424
loading_vs_paired_lesional_minus_adjacent_spearman                                             0.375292
external_effect_definition                            mean paired score difference: lesional psoriat...
abs_rho                                                                                        0.375292
Name: 2, dtype: object>"	yes
