display_item	figure_or_table	value	source_file	status
SE	Figure 4	0.039191	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
SE	Figure 4	0.081005	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
SE	Figure 4	0.06921	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
P	Figure 4	0.81005	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
P	Figure 4	0.092923	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
P	Figure 4	0.30092	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
P	Figure 4	0.26092	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
FDR	Figure 4	0.81005	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
FDR	Figure 4	0.371692	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
FDR	Figure 4	0.4012266666666667	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
FDR	Figure 4	0.4012266666666667	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure4_source_data.tsv	TRACEABLE
rg	Figure 5	1.1715	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rg	Figure 5	-0.2717	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rg	Figure 5	-0.2233	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rg	Figure 5	0.1732	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rg	Figure 5	0.0255	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rg	Figure 5	0.0118	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
SE	Figure 5	0.0751	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
SE	Figure 5	0.0449	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
SE	Figure 5	0.0409	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
SE	Figure 5	0.0274	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
SE	Figure 5	0.0589	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
SE	Figure 5	0.0445	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
P	Figure 5	6.7461e-55	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
P	Figure 5	1.434e-09	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
P	Figure 5	4.8195e-08	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
P	Figure 5	2.4979e-10	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
P	Figure 5	0.6647	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
P	Figure 5	0.7912	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
FDR	Figure 5	4.04766e-54	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
FDR	Figure 5	2.868e-09	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
FDR	Figure 5	7.22925e-08	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
FDR	Figure 5	7.4937e-10	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
FDR	Figure 5	0.7912	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
FDR	Figure 5	0.7912	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	161432090.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	138755108.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	111592382.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	154685546.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	79952997.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	66778016.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	130573818.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	158484776.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	158952061.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	79952997.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	12735559.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	154685546.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	37361179.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	158484776.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	111363444.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	66778016.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	161432090.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	130573818.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	12735559.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	66778016.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	161432090.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	12735559.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	158484776.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	37361179.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	154685546.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	130573818.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
start	Figure 5	111592382.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	163607635.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	140217630.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	113947983.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	156813845.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	81190573.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	67761890.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	132554690.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	159663733.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	159604052.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	81190573.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	13641479.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	156813845.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	38880481.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	159663733.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	112342873.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	67761890.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	163607635.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	132554690.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	13641479.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	67761890.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	163607635.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	13641479.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	159663733.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	38880481.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	156813845.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	132554690.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
stop	Figure 5	113947983.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.650751	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.840885	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.605075	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.631202	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.13054	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.534925	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.642693	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.381768	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.945307	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.625949	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.658624	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.345449	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.31598	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.944787	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	1.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.740363	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.847701	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.807433	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	1.0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.689577	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.828549	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.762875	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.39234	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.648811	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	0.310791	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.260275	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
rho	Figure 5	-0.284017	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
p	Figure 5	5.23986e-08	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/figures/communications_biology_final/source_data/Figure5_source_data.tsv	TRACEABLE
