axis	program_type	refined_state	parent_cell_type	n_lesional_donors	n_healthy_donors	mean_lesional_minus_healthy	mannwhitney_p	fdr_by_program_type
F6	EXTENDED	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	0.062492773737960305	0.15751633986928104	0.3150326797385621
F6	EXTENDED	endothelial_activated	endothelial	13	7	-0.018529558997173623	0.3506965944272446	0.5537950990509724
F6	EXTENDED	endothelial_vascular	endothelial	13	7	-0.02421334590029295	0.08111455108359134	0.24958323410335795
F6	EXTENDED	fibroblast_homeostatic_matrix	fibroblast	13	7	-0.020721268575815133	0.11462848297213622	0.27788723144760297
F6	EXTENDED	fibroblast_inflammatory	fibroblast	11	6	-0.05536524512142005	0.00016160310277957336	0.012928248222365869
F6	EXTENDED	keratinocyte_IFN_response	keratinocyte	12	3	-0.12306532987213592	0.03076923076923077	0.18934911242603553
F6	EXTENDED	keratinocyte_basal	keratinocyte	14	8	0.03743874651808421	0.16531256840854366	0.3225611090898413
F6	EXTENDED	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.11106847107739709	0.02002063983488132	0.16016511867905056
F6	EXTENDED	keratinocyte_proliferative	keratinocyte	11	5	-0.009138315268650499	0.9130036630036632	0.9687752545826523
F6	EXTENDED	keratinocyte_spinous_suprabasal	keratinocyte	14	8	-0.013806197373252505	0.4411358163680145	0.6191379878849326
F6	EXTENDED	keratinocyte_stress_hypoxia	keratinocyte	12	6	-0.04621041732919645	0.1246498599439776	0.2881550280931086
F6	EXTENDED	mast_cell	mast_cell	11	7	-0.054525027044494384	0.10419808949220714	0.27788723144760297
F6	EXTENDED	melanocyte_unresolved	melanocyte	14	8	0.021092861888546366	0.7135441098289396	0.8122986283715363
F6	EXTENDED	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	-0.004690902927017626	0.40202020202020206	0.5955854844743734
F6	EXTENDED	unassigned_unresolved	unassigned	5	7	0.024614712979435793	0.638888888888889	0.7628524046434495
F7	CORE	B_cell_plasma	B_cell	14	6	0.155432208642595	0.35304437564499486	0.6568267453860369
F7	CORE	B_cell_unresolved	B_cell	13	7	0.35733757073024874	0.0007739938080495357	0.045248868778280535
F7	CORE	T_cell_TRM_T17_like	T_cell	14	8	-0.009625488349203737	0.8675548050161054	0.9614204730197775
F7	CORE	T_cell_unresolved	T_cell	3	4	0.029583483848554692	0.8571428571428571	0.9614204730197775
F7	CORE	cytotoxic_NK_T	NK_cell	14	7	0.06331285845146728	0.91312349501204	0.9816922579770877
F7	CORE	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	0.4707836719436632	0.046405228758169936	0.2275371687136393
F7	CORE	endothelial_activated	endothelial	13	7	0.005259387867942111	0.816795665634675	0.9450549450549451
F7	CORE	endothelial_vascular	endothelial	13	7	0.015044728245089845	0.6991744066047472	0.9140602986756834
F7	CORE	fibroblast_homeostatic_matrix	fibroblast	13	7	0.0020883043411838997	0.6991744066047472	0.9140602986756834
F7	CORE	fibroblast_inflammatory	fibroblast	11	6	-0.07705170873071054	0.12152553329023917	0.36007565419330123
F7	CORE	keratinocyte_IFN_response	keratinocyte	12	3	-0.1491493249981497	0.18021978021978025	0.4650833037929813
F7	CORE	keratinocyte_basal	keratinocyte	14	8	0.027463155484116486	0.3650311161147075	0.6636929383903772
F7	CORE	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.02207983610534847	0.6589783281733748	0.9140602986756834
F7	CORE	keratinocyte_proliferative	keratinocyte	11	5	0.011805420305504688	1.0	1.0
F7	CORE	keratinocyte_spinous_suprabasal	keratinocyte	14	8	0.011121796251448934	0.7135441098289396	0.9140602986756834
F7	CORE	keratinocyte_stress_hypoxia	keratinocyte	12	6	0.1326698523332377	0.024455936220642106	0.17786135433194258
F7	CORE	mast_cell	mast_cell	11	7	-0.17930681170607643	0.026772247360482657	0.1784816490698844
F7	CORE	melanocyte_unresolved	melanocyte	14	8	-0.011450328164495982	0.7639490884072928	0.9259988950391428
F7	CORE	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	0.085196519871787	0.6642336679488382	0.9140602986756834
F7	CORE	unassigned_unresolved	unassigned	5	7	0.0713623001299557	0.3434343434343435	0.6541606541606543
F7	EXTENDED	B_cell_plasma	B_cell	14	6	0.06997346215698053	0.35304437564499486	0.5537950990509724
F7	EXTENDED	B_cell_unresolved	B_cell	13	7	0.1841326113068238	0.0017027863777089782	0.0491273432449903
F7	EXTENDED	T_cell_TRM_T17_like	T_cell	14	8	-0.024767125483350805	0.12659098727210183	0.2881550280931086
F7	EXTENDED	T_cell_unresolved	T_cell	3	4	-0.0323361432320759	0.6285714285714286	0.7628524046434495
F7	EXTENDED	cytotoxic_NK_T	NK_cell	14	7	0.016171749174772154	0.360061919504644	0.5539414146225292
F7	EXTENDED	dendritic_LAMP3_CCR7	myeloid_monocyte	14	4	0.2449022404699468	0.15751633986928104	0.3150326797385621
F7	EXTENDED	endothelial_activated	endothelial	13	7	0.001811887661585021	1.0	1.0
F7	EXTENDED	endothelial_vascular	endothelial	13	7	0.00438686843785796	0.816795665634675	0.9075507395940833
F7	EXTENDED	fibroblast_homeostatic_matrix	fibroblast	13	7	8.158732031637861e-05	0.877296181630547	0.9484283044654562
F7	EXTENDED	fibroblast_inflammatory	fibroblast	11	6	-0.04588995268557372	0.061570782159017456	0.2344322344322344
F7	EXTENDED	keratinocyte_IFN_response	keratinocyte	12	3	-0.12209648488720681	0.07032967032967033	0.2344322344322344
F7	EXTENDED	keratinocyte_basal	keratinocyte	14	8	0.032444503969856986	0.10997904744034775	0.27788723144760297
F7	EXTENDED	keratinocyte_inflammatory_T17	keratinocyte	14	6	0.05922443237245356	0.12966976264189886	0.2881550280931086
F7	EXTENDED	keratinocyte_proliferative	keratinocyte	11	5	0.004370002939439677	1.0	1.0
F7	EXTENDED	keratinocyte_spinous_suprabasal	keratinocyte	14	8	0.0043155307693303335	0.7135441098289396	0.8122986283715363
F7	EXTENDED	keratinocyte_stress_hypoxia	keratinocyte	12	6	0.030189177645479015	0.49364361129067014	0.6693472695466713
F7	EXTENDED	mast_cell	mast_cell	11	7	-0.10676182221361619	0.015397184514831573	0.15397184514831572
F7	EXTENDED	melanocyte_unresolved	melanocyte	14	8	0.009528805699664744	0.9203364918535197	0.9687752545826523
F7	EXTENDED	myeloid_monocyte_macrophage	myeloid_monocyte	14	8	0.04162858092699573	0.26669168464834103	0.45394329301845276
F7	EXTENDED	unassigned_unresolved	unassigned	5	7	0.04846859037088358	0.3434343434343435	0.5537950990509724
