locus	chr	start	stop	status
88	1	101188316	102424611	OK
89	1	102424612	103148412	OK
90	1	103148413	103784541	OK
91	1	103784542	104984435	OK
92	1	104984436	106089656	OK
93	1	106089657	106864947	OK
94	1	106864948	107874653	OK
95	1	107874654	109271449	OK
96	1	109271450	110224230	OK
97	1	110224231	111134062	OK
98	1	111134063	112489248	OK
99	1	112489249	113418037	OK
100	1	113418038	114664387	OK
101	1	114664388	116207297	OK
102	1	116207298	117046311	OK
103	1	117046312	118118667	OK
104	1	118118668	119408888	OK
105	1	119408889	120345066	OK
106	1	120345067	145803848	OK
107	1	145803849	147083835	OK
108	1	147083836	149716037	OK
109	1	149716038	151146407	OK
110	1	151146408	152535630	OK
111	1	152535631	153410809	OK
112	1	153410810	154685545	OK
113	1	154685546	156813845	OK
114	1	156813846	158081627	OK
115	1	158081628	158900369	OK
116	1	158900370	159882515	OK
117	1	159882516	161054076	OK
118	1	161054077	161945442	OK
119	1	161945443	163141862	OK
120	1	163141863	163854567	OK
121	1	163854568	164726579	OK
122	1	164726580	165553812	OK
123	1	165553813	166458031	OK
124	1	166458032	167163954	OK
125	1	167163955	168179086	OK
126	1	168179087	169521551	OK
127	1	169521552	170193207	OK
128	1	170193208	171044255	OK
129	1	171044256	172465153	OK
130	1	172465154	173582511	OK
131	1	173582512	175385220	OK
132	1	175385221	176449096	OK
133	1	176449097	177746472	OK
134	1	177746473	178915113	OK
135	1	178915114	180221608	OK
136	1	180221609	181324205	OK
137	1	181324206	182420540	OK
138	1	182420541	183920616	OK
139	1	183920617	184953089	OK
140	1	184953090	186179447	OK
141	1	186179448	187072605	OK
142	1	187072606	187757076	OK
143	1	187757077	188625772	OK
144	1	188625773	189904637	OK
145	1	189904638	191419275	OK
146	1	191419276	192468373	OK
147	1	192468374	193575516	OK
148	1	193575517	194365688	OK
149	1	194365689	195161235	OK
150	1	195161236	196179110	OK
151	1	196179111	197935821	OK
152	1	197935822	199263389	OK
153	1	199263390	200134005	OK
154	1	200134006	201067952	OK
155	1	201067953	202583884	OK
156	1	202583885	204092537	OK
157	1	204092538	205009623	OK
158	1	205009624	205917548	OK
159	1	205917549	208162951	OK
160	1	208162952	209711169	OK
161	1	209711170	211082892	OK
162	1	211082893	212347582	OK
163	1	212347583	213958292	OK
164	1	213958293	214783872	OK
165	1	214783873	215825791	OK
166	1	215825792	216658126	OK
167	1	216658127	217352165	OK
168	1	217352166	218563960	OK
169	1	218563961	220073132	OK
170	1	220073133	220978151	OK
171	1	220978152	221856864	OK
172	1	221856865	222763597	OK
173	1	222763598	223654902	OK
174	1	223654903	224943337	OK
175	1	224943338	226534711	OK
176	1	226534712	228045554	OK
177	1	228045555	229075156	OK
178	1	229075157	230227247	OK
179	1	230227248	231287764	OK
180	1	231287765	232177704	OK
181	1	232177705	232954942	OK
182	1	232954943	233639473	OK
183	1	233639474	234365796	OK
184	1	234365797	235097113	OK
185	1	235097114	236199671	OK
186	1	236199672	237409458	OK
187	1	237409459	238094455	OK
188	1	238094456	238704857	OK
189	1	238704858	239332148	OK
190	1	239332149	240248508	OK
191	1	240248509	241033584	OK
192	1	241033585	241813534	OK
193	1	241813535	242417923	OK
194	1	242417924	243048003	OK
195	1	243048004	244723196	OK
196	1	244723197	245970505	OK
197	1	245970506	246610290	OK
198	1	246610291	247531112	OK
199	1	247531113	248341594	OK
200	1	248341595	249240538	OK
201	2	10181	789195	OK
202	2	789196	1376545	OK
203	2	1376546	1875060	OK
204	2	1875061	2680063	OK
205	2	2680064	3314202	OK
206	2	3314203	4016104	OK
207	2	4016105	4766969	OK
208	2	4766970	5568653	OK
209	2	5568654	6306606	OK
210	2	6306607	7108208	OK
211	2	7108209	7966709	OK
212	2	7966710	8978798	OK
213	2	8978799	9960670	OK
214	2	9960671	10611654	OK
215	2	10611655	11230349	OK
216	2	11230350	11995765	OK
217	2	11995766	12732506	OK
218	2	12732507	13625450	OK
219	2	13625451	14692120	OK
220	2	14692121	15721703	OK
221	2	15721704	17241115	OK
222	2	17241116	18656325	OK
223	2	18656326	20064517	OK
224	2	20064518	21084898	OK
225	2	21084899	22429640	OK
226	2	22429641	23538527	OK
227	2	23538528	24669224	OK
228	2	24669225	25895394	OK
229	2	25895395	26894102	OK
230	2	26894103	28819510	OK
231	2	28819511	29627932	OK
232	2	29627933	30575619	OK
233	2	30575620	31457418	OK
234	2	31457419	33123604	OK
235	2	33123605	33735318	OK
236	2	33735319	34239776	OK
237	2	34239777	34890558	OK
238	2	34890559	35609257	OK
239	2	35609258	36120743	OK
240	2	36120744	36867389	OK
241	2	36867390	37603360	OK
242	2	37603361	38887393	OK
243	2	38887394	40087418	OK
244	2	40087419	40786176	OK
245	2	40786177	41540439	OK
246	2	41540440	42307418	OK
247	2	42307419	43295776	OK
248	2	43295777	44104110	OK
249	2	44104111	45189468	OK
250	2	45189469	45850047	OK
251	2	45850048	46499326	OK
252	2	46499327	47320114	OK
253	2	47320115	48171058	OK
254	2	48171059	49114132	OK
255	2	49114133	49849185	OK
256	2	49849186	50756240	OK
257	2	50756241	51669493	OK
258	2	51669494	52494111	OK
259	2	52494112	53032976	OK
260	2	53032977	53852120	OK
261	2	53852121	54688234	OK
262	2	54688235	55663336	OK
263	2	55663337	56394698	OK
264	2	56394699	57433653	OK
265	2	57433654	57952945	OK
266	2	57952946	59251996	OK
267	2	59251997	60775066	OK
268	2	60775067	62429910	OK
269	2	62429911	63672118	OK
270	2	63672119	64696089	OK
271	2	64696090	65938002	OK
272	2	65938003	67224027	OK
273	2	67224028	67979828	OK
274	2	67979829	68877774	OK
275	2	68877775	70756283	OK
276	2	70756284	71385813	OK
277	2	71385814	72160302	OK
278	2	72160303	73544290	OK
279	2	73544291	75148103	OK
280	2	75148104	75942397	OK
281	2	75942398	76649030	OK
282	2	76649031	77372830	OK
283	2	77372831	78080057	OK
284	2	78080058	79019676	OK
285	2	79019677	79900055	OK
286	2	79900056	80737811	OK
287	2	80737812	81623357	OK
288	2	81623358	82941455	OK
289	2	82941456	84395899	OK
290	2	84395900	85992794	OK
291	2	85992795	86867032	OK
292	2	86867033	88547312	OK
293	2	88547313	91860961	OK
294	2	91860962	97339301	OK
295	2	97339302	98989360	OK
296	2	98989361	100202436	OK
297	2	100202437	101556799	OK
298	2	101556800	102494487	OK
299	2	102494488	103305257	OK
300	2	103305258	105120578	OK
301	2	105120579	106546524	OK
302	2	106546525	107412295	OK
303	2	107412296	108417773	OK
304	2	108417774	110097868	OK
305	2	110097869	112644828	OK
306	2	112644829	113930668	OK
307	2	113930669	115203835	OK
308	2	115203836	116415816	OK
309	2	116415817	117822516	OK
310	2	117822517	118663653	OK
311	2	118663654	119635489	OK
312	2	119635490	121073752	OK
313	2	121073753	122026817	OK
314	2	122026818	123219243	OK
315	2	123219244	123929872	OK
316	2	123929873	124730991	OK
317	2	124730992	125741528	OK
318	2	125741529	126754027	OK
319	2	126754028	127895644	OK
320	2	127895645	129486897	OK
321	2	129486898	130485398	OK
322	2	130485399	131760638	OK
323	2	131760639	132598285	OK
324	2	132598286	133352950	OK
325	2	133352951	134359059	OK
326	2	134359060	135160197	OK
327	2	135160198	137061003	OK
328	2	137061004	138073791	OK
329	2	138073792	139505819	ERROR: no requested phenotype available after local variance filtering
330	2	139505820	140934531	OK
331	2	140934532	141802664	OK
332	2	141802665	142494980	OK
333	2	142494981	143259780	OK
334	2	143259781	144503688	OK
335	2	144503689	145977920	OK
336	2	145977921	147252196	OK
337	2	147252197	149568875	OK
338	2	149568876	151428988	OK
339	2	151428989	152497375	OK
340	2	152497376	153999309	OK
341	2	153999310	155207969	OK
342	2	155207970	156130947	OK
343	2	156130948	157556096	OK
344	2	157556097	159040979	OK
345	2	159040980	160200379	OK
346	2	160200380	161432089	OK
347	2	161432090	163607635	OK
348	2	163607636	164702312	OK
349	2	164702313	165917788	OK
350	2	165917789	167488576	OK
351	2	167488577	168437445	OK
352	2	168437446	169224445	OK
353	2	169224446	170155561	OK
354	2	170155562	170865765	OK
355	2	170865766	171566482	OK
356	2	171566483	172501315	OK
357	2	172501316	173287857	OK
358	2	173287858	174118389	OK
359	2	174118390	174927563	OK
360	2	174927564	176734750	OK
361	2	176734751	178149981	OK
362	2	178149982	179224870	OK
363	2	179224871	180336045	OK
364	2	180336046	181309939	OK
365	2	181309940	182307877	OK
366	2	182307878	183352290	OK
367	2	183352291	184148655	OK
368	2	184148656	184866232	OK
369	2	184866233	186244920	OK
370	2	186244921	187498047	OK
371	2	187498048	188895310	OK
372	2	188895311	189882702	OK
373	2	189882703	191051954	OK
374	2	191051955	193033982	OK
375	2	193033983	195300250	OK
376	2	195300251	196446299	OK
377	2	196446300	198140350	OK
378	2	198140351	199654969	OK
379	2	199654970	201324132	OK
380	2	201324133	202504862	OK
381	2	202504863	203639686	OK
382	2	203639687	205038119	OK
383	2	205038120	206821199	OK
384	2	206821200	207726594	OK
385	2	207726595	208674588	OK
386	2	208674589	209940230	OK
387	2	209940231	210842457	OK
388	2	210842458	212520453	OK
389	2	212520454	213194362	OK
390	2	213194363	214044566	OK
391	2	214044567	215002484	OK
392	2	215002485	215899570	OK
393	2	215899571	217566011	OK
394	2	217566012	218396258	OK
395	2	218396259	219678783	OK
396	2	219678784	220771552	OK
397	2	220771553	221445191	OK
398	2	221445192	222327713	OK
399	2	222327714	223353965	OK
400	2	223353966	224123079	OK
401	2	224123080	224938731	OK
402	2	224938732	226242842	OK
403	2	226242843	227557841	OK
404	2	227557842	228812485	OK
405	2	228812486	229764918	OK
406	2	229764919	230541092	OK
407	2	230541093	231847386	OK
408	2	231847387	233352722	OK
409	2	233352723	234115092	OK
410	2	234115093	234945577	OK
411	2	234945578	235625789	OK
412	2	235625790	236276287	OK
413	2	236276288	237194297	OK
414	2	237194298	238185482	OK
415	2	238185483	238814630	OK
416	2	238814631	239634350	OK
417	2	239634351	240325600	OK
418	2	240325601	241113279	OK
419	2	241113280	241910366	OK
420	2	241910367	243188366	OK
421	3	60197	795746	OK
422	3	795747	1440048	OK
423	3	1440049	2140011	OK
424	3	2140012	3128152	OK
425	3	3128153	4109393	OK
426	3	4109394	4835083	OK
427	3	4835084	5496182	OK
428	3	5496183	6421145	OK
429	3	6421146	7529554	OK
430	3	7529555	8664892	OK
431	3	8664893	9970731	OK
432	3	9970732	11226367	OK
433	3	11226368	11997658	OK
434	3	11997659	12859209	OK
435	3	12859210	14312007	OK
436	3	14312008	15150876	OK
437	3	15150877	16084005	OK
438	3	16084006	17182494	OK
439	3	17182495	19030988	OK
440	3	19030989	20754842	OK
441	3	20754843	21790867	OK
442	3	21790868	22648001	OK
443	3	22648002	23426044	OK
444	3	23426045	24270189	OK
445	3	24270190	25516193	OK
446	3	25516194	26905340	OK
447	3	26905341	27614908	OK
448	3	27614909	28649810	OK
449	3	28649811	29877022	OK
450	3	29877023	31269697	OK
451	3	31269698	32378805	OK
452	3	32378806	33020868	OK
453	3	33020869	33991869	OK
454	3	33991870	35009559	OK
455	3	35009560	35913033	OK
456	3	35913034	36840136	OK
457	3	36840137	38729767	OK
458	3	38729768	39605996	OK
459	3	39605997	40897627	OK
460	3	40897628	42301657	OK
461	3	42301658	44141693	OK
462	3	44141694	45844191	OK
463	3	45844192	47588461	OK
464	3	47588462	50387742	OK
465	3	50387743	51953968	OK
466	3	51953969	54074844	OK
467	3	54074845	54892586	OK
468	3	54892587	55616625	OK
469	3	55616626	56954878	OK
470	3	56954879	58557718	OK
471	3	58557719	59998583	OK
472	3	59998584	60571139	OK
473	3	60571140	61277587	OK
474	3	61277588	62609818	OK
475	3	62609819	63670803	OK
476	3	63670804	64662373	OK
477	3	64662374	65326751	OK
478	3	65326752	66702084	OK
479	3	66702085	67454740	OK
480	3	67454741	68319770	OK
481	3	68319771	69784969	OK
482	3	69784970	71223281	OK
483	3	71223282	72334704	OK
484	3	72334705	73606612	OK
485	3	73606613	74383137	OK
486	3	74383138	75374967	OK
487	3	75374968	76157470	OK
488	3	76157471	77507832	OK
489	3	77507833	79023360	OK
490	3	79023361	80385708	OK
491	3	80385709	81431496	OK
492	3	81431497	82532742	OK
493	3	82532743	83529394	OK
494	3	83529395	84698480	OK
495	3	84698481	85807679	OK
496	3	85807680	86660979	OK
497	3	86660980	87411258	OK
498	3	87411259	88375763	OK
499	3	88375764	89612939	OK
500	3	89612940	94250144	OK
501	3	94250145	95088587	OK
502	3	95088588	96055532	ERROR: no requested phenotype available after local variance filtering
503	3	96055533	97351955	OK
504	3	97351956	98212868	OK
505	3	98212869	99045104	OK
506	3	99045105	100552522	OK
507	3	100552523	101906989	OK
508	3	101906990	103450271	OK
509	3	103450272	104116563	OK
510	3	104116564	104878977	OK
511	3	104878978	106174685	OK
512	3	106174686	107736519	OK
513	3	107736520	108638900	OK
514	3	108638901	109519606	OK
515	3	109519607	110935508	OK
516	3	110935509	111693782	OK
517	3	111693783	112408513	OK
518	3	112408514	113657665	OK
519	3	113657666	115649909	OK
520	3	115649910	116498570	OK
521	3	116498571	117241644	OK
522	3	117241645	118086929	OK
523	3	118086930	118903053	OK
524	3	118903054	119759983	OK
525	3	119759984	120574477	OK
526	3	120574478	121362442	OK
527	3	121362443	122340832	OK
528	3	122340833	123518507	OK
529	3	123518508	124823006	OK
530	3	124823007	125475722	OK
531	3	125475723	125992650	OK
532	3	125992651	127495173	OK
533	3	127495174	129091975	OK
534	3	129091976	130242360	OK
535	3	130242361	131373470	OK
536	3	131373471	132124018	OK
537	3	132124019	132925967	OK
538	3	132925968	133718493	OK
539	3	133718494	135288394	OK
540	3	135288395	137372141	OK
541	3	137372142	138693846	OK
542	3	138693847	139831267	OK
543	3	139831268	141034637	OK
544	3	141034638	141898978	OK
545	3	141898979	142976707	OK
546	3	142976708	144408821	OK
547	3	144408822	145211907	OK
548	3	145211908	145903838	OK
549	3	145903839	147358243	OK
550	3	147358244	148638308	OK
551	3	148638309	149998411	OK
552	3	149998412	151131307	OK
553	3	151131308	151904021	OK
554	3	151904022	153406718	OK
555	3	153406719	155046423	OK
556	3	155046424	155928190	OK
557	3	155928191	156795410	OK
558	3	156795411	157633700	OK
559	3	157633701	158460058	OK
560	3	158460059	159478751	OK
561	3	159478752	160584961	OK
562	3	160584962	161628883	OK
563	3	161628884	162622604	OK
564	3	162622605	163250112	OK
565	3	163250113	164037360	OK
566	3	164037361	165054911	OK
567	3	165054912	165936511	OK
568	3	165936512	167118893	OK
569	3	167118894	168972662	OK
570	3	168972663	170174578	OK
571	3	170174579	171134849	OK
572	3	171134850	172004760	OK
573	3	172004761	173415591	OK
574	3	173415592	174684707	OK
575	3	174684708	175671424	OK
576	3	175671425	176931163	OK
577	3	176931164	178110322	OK
578	3	178110323	179372165	OK
579	3	179372166	181424323	OK
580	3	181424324	183203155	OK
581	3	183203156	184524268	OK
582	3	184524269	185709996	OK
583	3	185709997	186602045	OK
584	3	186602046	187939199	OK
585	3	187939200	189451805	OK
586	3	189451806	190591293	OK
587	3	190591294	191229357	OK
588	3	191229358	192049688	OK
589	3	192049689	193122090	OK
590	3	193122091	194217140	OK
591	3	194217141	195196789	OK
592	3	195196790	195710290	OK
593	3	195710291	196383152	OK
594	3	196383153	197147990	OK
595	3	197147991	197962380	OK
596	4	10227	812415	OK
597	4	812416	1529267	OK
598	4	1529268	2468935	OK
599	4	2468936	3549229	OK
600	4	3549230	4266178	OK
601	4	4266179	5051834	OK
602	4	5051835	5972709	OK
603	4	5972710	7135819	OK
604	4	7135820	7726034	OK
605	4	7726035	8309826	OK
606	4	8309827	8882616	OK
607	4	8882617	9482867	OK
608	4	9482868	9916156	OK
609	4	9916157	10370666	OK
610	4	10370667	11050119	OK
611	4	11050120	12209028	OK
612	4	12209029	13127576	OK
613	4	13127577	14395886	OK
614	4	14395887	14967147	OK
615	4	14967148	15910801	OK
616	4	15910802	17290236	OK
617	4	17290237	18753263	OK
618	4	18753264	20086838	OK
619	4	20086839	21416380	OK
620	4	21416381	22835185	OK
621	4	22835186	23858350	OK
622	4	23858351	24764724	OK
623	4	24764725	25832018	OK
624	4	25832019	27385580	OK
625	4	27385581	28177792	OK
626	4	28177793	28927438	OK
627	4	28927439	29758399	OK
628	4	29758400	30455555	OK
629	4	30455556	31395092	OK
630	4	31395093	32260117	OK
631	4	32260118	32746820	OK
632	4	32746821	33640822	OK
633	4	33640823	34721845	OK
634	4	34721846	35411236	OK
635	4	35411237	35993838	OK
636	4	35993839	36671801	OK
637	4	36671802	37880860	OK
638	4	37880861	38984838	OK
639	4	38984839	39820061	OK
640	4	39820062	40590541	OK
641	4	40590542	41360937	OK
642	4	41360938	42189251	OK
643	4	42189252	43192424	OK
644	4	43192425	43962561	OK
645	4	43962562	45186767	OK
646	4	45186768	46358360	OK
647	4	46358361	47408265	OK
648	4	47408266	49325138	OK
649	4	49325139	53879571	OK
650	4	53879572	54659778	OK
651	4	54659779	55681701	OK
652	4	55681702	57103100	OK
653	4	57103101	58011085	OK
654	4	58011086	58940256	OK
655	4	58940257	59692948	OK
656	4	59692949	60746709	OK
657	4	60746710	61971161	OK
658	4	61971162	63337954	OK
659	4	63337955	64117431	OK
660	4	64117432	65563100	OK
661	4	65563101	66597446	OK
662	4	66597447	67616362	OK
663	4	67616363	68742859	OK
664	4	68742860	69603368	OK
665	4	69603369	70516836	OK
666	4	70516837	71468300	OK
667	4	71468301	73258294	OK
668	4	73258295	74885900	OK
669	4	74885901	76497358	OK
670	4	76497359	78045637	OK
671	4	78045638	78967715	OK
672	4	78967716	79880101	OK
673	4	79880102	81206182	OK
674	4	81206183	82655623	OK
675	4	82655624	84003062	OK
676	4	84003063	85437805	OK
677	4	85437806	86931670	OK
678	4	86931671	88502717	OK
679	4	88502718	89244554	OK
680	4	89244555	90236971	OK
681	4	90236972	91309863	OK
682	4	91309864	92219192	OK
683	4	92219193	93451599	OK
684	4	93451600	94757265	OK
685	4	94757266	96183801	OK
686	4	96183802	97540787	OK
687	4	97540788	98445515	OK
688	4	98445516	99532480	OK
689	4	99532481	100333334	OK
690	4	100333335	101132995	OK
691	4	101132996	102544803	OK
692	4	102544804	104384534	OK
693	4	104384535	105319195	OK
694	4	105319196	106479155	OK
695	4	106479156	108131206	OK
696	4	108131207	109122458	OK
697	4	109122459	109978982	OK
698	4	109978983	111733579	OK
699	4	111733580	112830229	OK
700	4	112830230	113916002	OK
701	4	113916003	115306149	OK
702	4	115306150	116204703	OK
703	4	116204704	117313636	OK
704	4	117313637	118395262	OK
705	4	118395263	119138097	OK
706	4	119138098	119927262	OK
707	4	119927263	120563073	OK
708	4	120563074	121393008	OK
709	4	121393009	121981243	OK
710	4	121981244	122655434	OK
711	4	122655435	123768693	OK
712	4	123768694	124534997	OK
713	4	124534998	125486535	OK
714	4	125486536	126476842	OK
715	4	126476843	127279171	OK
716	4	127279172	128321876	OK
717	4	128321877	129625376	OK
718	4	129625377	131098950	OK
719	4	131098951	131873453	OK
720	4	131873454	132801980	OK
721	4	132801981	133524886	OK
722	4	133524887	134109978	OK
723	4	134109979	135809542	OK
724	4	135809543	137400031	OK
725	4	137400032	138537344	OK
726	4	138537345	139553760	OK
727	4	139553761	141087047	OK
728	4	141087048	142807914	OK
729	4	142807915	144401042	OK
730	4	144401043	146174871	OK
731	4	146174872	147161042	OK
732	4	147161043	148462208	OK
733	4	148462209	149998528	OK
734	4	149998529	151014322	OK
735	4	151014323	152162098	OK
736	4	152162099	153520883	OK
737	4	153520884	155044409	OK
738	4	155044410	156520288	OK
739	4	156520289	157597309	OK
740	4	157597310	159176073	OK
741	4	159176074	160828480	OK
742	4	160828481	161666201	OK
743	4	161666202	162239289	OK
744	4	162239290	163245541	OK
745	4	163245542	163937103	OK
746	4	163937104	164781847	OK
747	4	164781848	165824650	OK
748	4	165824651	166702855	OK
749	4	166702856	167643768	OK
750	4	167643769	168623790	OK
751	4	168623791	169555114	OK
752	4	169555115	170682809	OK
753	4	170682810	171643019	OK
754	4	171643020	172555990	OK
755	4	172555991	174470206	OK
756	4	174470207	175295842	OK
757	4	175295843	175959697	OK
758	4	175959698	177129678	OK
759	4	177129679	178314527	OK
760	4	178314528	179233905	OK
761	4	179233906	179932391	OK
762	4	179932392	180540877	OK
763	4	180540878	181122433	OK
764	4	181122434	182065646	OK
765	4	182065647	182946258	OK
766	4	182946259	183603892	OK
767	4	183603893	184338584	OK
768	4	184338585	185483262	OK
769	4	185483263	186232882	OK
770	4	186232883	186881568	OK
771	4	186881569	187985393	OK
772	4	187985394	189153279	OK
773	4	189153280	189899573	OK
774	4	189899574	191043880	OK
775	5	10043	598320	OK
776	5	598321	1206609	OK
777	5	1206610	2106885	OK
778	5	2106886	2960068	OK
779	5	2960069	3677595	OK
780	5	3677596	4636542	OK
781	5	4636543	5828694	OK
782	5	5828695	6936733	OK
783	5	6936734	8079415	OK
784	5	8079416	9203855	OK
785	5	9203856	10549029	OK
786	5	10549030	11850850	OK
787	5	11850851	12867189	OK
788	5	12867190	13608147	OK
789	5	13608148	14910295	OK
790	5	14910296	16592319	OK
791	5	16592320	17803477	OK
792	5	17803478	18791410	OK
793	5	18791411	20397013	OK
794	5	20397014	21211399	OK
795	5	21211400	22149042	OK
796	5	22149043	23246745	OK
797	5	23246746	24362661	OK
798	5	24362662	25722097	OK
799	5	25722098	26938178	OK
800	5	26938179	28315653	OK
801	5	28315654	29593755	OK
802	5	29593756	30416066	OK
803	5	30416067	31679464	OK
804	5	31679465	32727914	OK
805	5	32727915	33971056	OK
806	5	33971057	35157146	OK
807	5	35157147	36431967	OK
808	5	36431968	37925487	OK
809	5	37925488	39438985	OK
810	5	39438986	40290851	OK
811	5	40290852	41279590	OK
812	5	41279591	42856332	OK
813	5	42856333	44049878	OK
814	5	44049879	45305566	OK
815	5	45305567	46388848	OK
816	5	46388849	50164835	OK
817	5	50164836	51203265	OK
818	5	51203266	52139773	OK
819	5	52139774	52837225	OK
820	5	52837226	53747856	OK
821	5	53747857	55221398	OK
822	5	55221399	55968966	OK
823	5	55968967	56896890	OK
824	5	56896891	57895012	OK
825	5	57895013	58721458	OK
826	5	58721459	59868567	OK
827	5	59868568	60930753	OK
828	5	60930754	62180368	OK
829	5	62180369	63214089	OK
830	5	63214090	64438518	OK
831	5	64438519	65606870	OK
832	5	65606871	67096191	OK
833	5	67096192	68006993	OK
834	5	68006994	71468651	OK
835	5	71468652	73314061	OK
836	5	73314062	74245354	OK
837	5	74245355	75239302	OK
838	5	75239303	75959515	OK
839	5	75959516	77290255	OK
840	5	77290256	79005158	OK
841	5	79005159	80448225	OK
842	5	80448226	81710194	OK
843	5	81710195	82720248	OK
844	5	82720249	84094797	OK
845	5	84094798	84697850	OK
846	5	84697851	85311779	OK
847	5	85311780	86493763	OK
848	5	86493764	87943482	OK
849	5	87943483	89584466	OK
850	5	89584467	90793804	OK
851	5	90793805	91956905	OK
852	5	91956906	93814604	OK
853	5	93814605	95117259	OK
854	5	95117260	96467377	OK
855	5	96467378	97316601	OK
856	5	97316602	98567769	OK
857	5	98567770	99257995	OK
858	5	99257996	100594081	OK
859	5	100594082	101575367	OK
860	5	101575368	102903985	OK
861	5	102903986	103788460	OK
862	5	103788461	104850490	OK
863	5	104850491	106389388	OK
864	5	106389389	107265911	OK
865	5	107265912	108641784	OK
866	5	108641785	109606905	OK
867	5	109606906	110819517	OK
868	5	110819518	111983115	OK
869	5	111983116	113121555	OK
870	5	113121556	113998532	OK
871	5	113998533	115117631	OK
872	5	115117632	116208000	OK
873	5	116208001	117348497	OK
874	5	117348498	118605251	OK
875	5	118605252	119664173	OK
876	5	119664174	120371857	OK
877	5	120371858	120960737	OK
878	5	120960738	122005291	OK
879	5	122005292	123191941	OK
880	5	123191942	124109485	OK
881	5	124109486	125131720	OK
882	5	125131721	126054697	OK
883	5	126054698	126992836	OK
884	5	126992837	128067414	OK
885	5	128067415	128734905	OK
886	5	128734906	130573817	OK
887	5	130573818	132554690	OK
888	5	132554691	134556570	OK
889	5	134556571	135344943	OK
890	5	135344944	136949853	OK
891	5	136949854	139408116	OK
892	5	139408117	141253830	OK
893	5	141253831	142532956	OK
894	5	142532957	143605908	OK
895	5	143605909	145319096	OK
896	5	145319097	147180171	OK
897	5	147180172	148662214	OK
898	5	148662215	149850203	OK
899	5	149850204	150981934	OK
900	5	150981935	151892617	OK
901	5	151892618	152878627	OK
902	5	152878628	153734494	OK
903	5	153734495	154599750	OK
904	5	154599751	155459556	OK
905	5	155459557	156345451	OK
906	5	156345452	157191081	OK
907	5	157191082	158484775	OK
908	5	158484776	159663733	OK
909	5	159663734	160519049	OK
910	5	160519050	161478177	OK
911	5	161478178	162386027	OK
912	5	162386028	163781268	OK
913	5	163781269	165289211	OK
914	5	165289212	166863413	OK
915	5	166863414	168342743	OK
916	5	168342744	169506966	OK
917	5	169506967	170898340	OK
918	5	170898341	172285682	OK
919	5	172285683	173606995	OK
920	5	173606996	174662885	OK
921	5	174662886	176180301	OK
922	5	176180302	177659902	OK
923	5	177659903	178595252	OK
924	5	178595253	179794710	OK
925	5	179794711	180902886	OK
926	6	63979	1380679	OK
927	6	1380680	2746531	OK
928	6	2746532	3964072	OK
929	6	3964073	4657086	OK
930	6	4657087	5378213	OK
