dataset	sample_name	axis	program_type	spatial_program	spot_spearman	n_spots	sample_accession
GSE225475	NS1	F6	EXTENDED	fibroblast_inflammatory	0.1978123250035468	1340	
GSE225475	NS1	F6	EXTENDED	endothelial_vascular	0.4081990673135136	1340	
GSE225475	NS1	F6	EXTENDED	myeloid_dendritic	0.472071121303901	1340	
GSE225475	NS1	F6	EXTENDED	T_NK_cytotoxic	0.1848598721691288	1340	
GSE225475	NS1	F6	EXTENDED	B_plasma	0.1849964603160403	1340	
GSE225475	NS1	F7	CORE	keratinocyte_basal	0.4382873278612732	1340	
GSE225475	NS1	F7	CORE	keratinocyte_spinous_suprabasal	0.1732532402246202	1340	
GSE225475	NS1	F7	CORE	keratinocyte_inflammatory_T17	0.4532780006752079	1340	
GSE225475	NS1	F7	CORE	keratinocyte_stress_hypoxia	0.5272944041267057	1340	
GSE225475	NS1	F7	CORE	fibroblast_matrix	-0.3105825684096123	1340	
GSE225475	NS1	F7	CORE	fibroblast_inflammatory	0.1879301831058653	1340	
GSE225475	NS1	F7	CORE	endothelial_vascular	0.4855894550911588	1340	
GSE225475	NS1	F7	CORE	myeloid_dendritic	0.453574475822703	1340	
GSE225475	NS1	F7	CORE	T_NK_cytotoxic	0.1748710069589623	1340	
GSE225475	NS1	F7	CORE	B_plasma	0.1916457530017253	1340	
GSE225475	NS1	F7	EXTENDED	keratinocyte_basal	0.446179925633511	1340	
GSE225475	NS1	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.1709005899613669	1340	
GSE225475	NS1	F7	EXTENDED	keratinocyte_inflammatory_T17	0.4666460354504094	1340	
GSE225475	NS1	F7	EXTENDED	keratinocyte_stress_hypoxia	0.5498474471564084	1340	
GSE225475	NS1	F7	EXTENDED	fibroblast_matrix	-0.2818940069664359	1340	
GSE225475	NS1	F7	EXTENDED	fibroblast_inflammatory	0.1926960225898123	1340	
GSE225475	NS1	F7	EXTENDED	endothelial_vascular	0.4701009286842215	1340	
GSE225475	NS1	F7	EXTENDED	myeloid_dendritic	0.4690710013903958	1340	
GSE225475	NS1	F7	EXTENDED	T_NK_cytotoxic	0.1802903201143626	1340	
GSE225475	NS1	F7	EXTENDED	B_plasma	0.1873677107837837	1340	
GSE225475	NS2	F1	CORE	keratinocyte_basal	0.6313745280743314	904	
GSE225475	NS2	F1	CORE	keratinocyte_spinous_suprabasal	0.2621845874292254	904	
GSE225475	NS2	F1	CORE	keratinocyte_inflammatory_T17	0.4229483719121095	904	
GSE225475	NS2	F1	CORE	keratinocyte_stress_hypoxia	0.5541407986394165	904	
GSE225475	NS2	F1	CORE	fibroblast_matrix	-0.2664487696470867	904	
GSE225475	NS2	F1	CORE	fibroblast_inflammatory	0.1117468547259162	904	
GSE225475	NS2	F1	CORE	endothelial_vascular	0.2518693536934397	904	
GSE225475	NS2	F1	CORE	myeloid_dendritic	0.4853716665730878	904	
GSE225475	NS2	F1	CORE	T_NK_cytotoxic	0.2914623801251253	904	
GSE225475	NS2	F1	CORE	B_plasma	0.1690362877815959	904	
GSE225475	NS2	F1	EXTENDED	keratinocyte_basal	0.6439402222760356	904	
GSE225475	NS2	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.2779597467218216	904	
GSE225475	NS2	F1	EXTENDED	keratinocyte_inflammatory_T17	0.4042913899557898	904	
GSE225475	NS2	F1	EXTENDED	keratinocyte_stress_hypoxia	0.5763332603193938	904	
GSE225475	NS2	F1	EXTENDED	fibroblast_matrix	-0.2271595527937739	904	
GSE225475	NS2	F1	EXTENDED	fibroblast_inflammatory	0.1547399365798654	904	
GSE225475	NS2	F1	EXTENDED	endothelial_vascular	0.2550868934683478	904	
GSE225475	NS2	F1	EXTENDED	myeloid_dendritic	0.5158560923190276	904	
GSE225475	NS2	F1	EXTENDED	T_NK_cytotoxic	0.3198696211515427	904	
GSE225475	NS2	F1	EXTENDED	B_plasma	0.1751254123846197	904	
GSE225475	NS2	F2	CORE	keratinocyte_basal	0.6128914889859094	904	
GSE225475	NS2	F2	CORE	keratinocyte_spinous_suprabasal	0.3160024332520105	904	
GSE225475	NS2	F2	CORE	keratinocyte_inflammatory_T17	0.330896560472029	904	
GSE225475	NS2	F2	CORE	keratinocyte_stress_hypoxia	0.5488203554363649	904	
GSE225475	NS2	F2	CORE	fibroblast_matrix	-0.1638685644980988	904	
GSE225475	NS2	F2	CORE	fibroblast_inflammatory	0.2376236533759924	904	
GSE225475	NS2	F2	CORE	endothelial_vascular	0.3004243215137576	904	
GSE225475	NS2	F2	CORE	myeloid_dendritic	0.5505159161816979	904	
GSE225475	NS2	F2	CORE	T_NK_cytotoxic	0.3670944786312435	904	
GSE225475	NS2	F2	CORE	B_plasma	0.1830587163662075	904	
GSE225475	NS2	F2	EXTENDED	keratinocyte_basal	0.597357128347977	904	
GSE225475	NS2	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.307297188935874	904	
GSE225475	NS2	F2	EXTENDED	keratinocyte_inflammatory_T17	0.3244912504163981	904	
GSE225475	NS2	F2	EXTENDED	keratinocyte_stress_hypoxia	0.5349411440431111	904	
GSE225475	NS2	F2	EXTENDED	fibroblast_matrix	-0.128257101214955	904	
GSE225475	NS2	F2	EXTENDED	fibroblast_inflammatory	0.2568807505566878	904	
GSE225475	NS2	F2	EXTENDED	endothelial_vascular	0.313457066722926	904	
GSE225475	NS2	F2	EXTENDED	myeloid_dendritic	0.5516171500000123	904	
GSE225475	NS2	F2	EXTENDED	T_NK_cytotoxic	0.3752449678534025	904	
GSE225475	NS2	F2	EXTENDED	B_plasma	0.1869229817734838	904	
GSE225475	NS2	F6	CORE	keratinocyte_basal	0.6602376931199492	904	
GSE225475	NS2	F6	CORE	keratinocyte_spinous_suprabasal	0.3321348764827236	904	
GSE225475	NS2	F6	CORE	keratinocyte_inflammatory_T17	0.3629024196856272	904	
GSE225475	NS2	F6	CORE	keratinocyte_stress_hypoxia	0.5715660165620935	904	
GSE225475	NS2	F6	CORE	fibroblast_matrix	-0.2487579419387039	904	
GSE225475	NS2	F6	CORE	fibroblast_inflammatory	0.1486527537811916	904	
GSE225475	NS2	F6	CORE	endothelial_vascular	0.231751964313441	904	
GSE225475	NS2	F6	CORE	myeloid_dendritic	0.5160757885445159	904	
GSE225475	NS2	F6	CORE	T_NK_cytotoxic	0.3265566449465382	904	
GSE225475	NS2	F6	CORE	B_plasma	0.1616220890221515	904	
GSE225475	NS2	F6	EXTENDED	keratinocyte_basal	0.6801878401772538	904	
GSE225475	NS2	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.3355653134227461	904	
GSE225475	NS2	F6	EXTENDED	keratinocyte_inflammatory_T17	0.3840492249733193	904	
GSE225475	NS2	F6	EXTENDED	keratinocyte_stress_hypoxia	0.580744067919233	904	
GSE225475	NS2	F6	EXTENDED	fibroblast_matrix	-0.2593094354906806	904	
GSE225475	NS2	F6	EXTENDED	fibroblast_inflammatory	0.1468983829393531	904	
GSE225475	NS2	F6	EXTENDED	endothelial_vascular	0.2358409502890721	904	
GSE225475	NS2	F6	EXTENDED	myeloid_dendritic	0.5270189947003738	904	
GSE225475	NS2	F6	EXTENDED	T_NK_cytotoxic	0.3233824239473916	904	
GSE225475	NS2	F6	EXTENDED	B_plasma	0.1622873396209604	904	
GSE225475	NS2	F7	CORE	keratinocyte_basal	0.6727091121862998	904	
GSE225475	NS2	F7	CORE	keratinocyte_spinous_suprabasal	0.30775975508556	904	
GSE225475	NS2	F7	CORE	keratinocyte_inflammatory_T17	0.3925163986273178	904	
GSE225475	NS2	F7	CORE	keratinocyte_stress_hypoxia	0.5521028800533558	904	
GSE225475	NS2	F7	CORE	fibroblast_matrix	-0.2805737905367261	904	
GSE225475	NS2	F7	CORE	fibroblast_inflammatory	0.1324105647263518	904	
GSE225475	NS2	F7	CORE	endothelial_vascular	0.2862457986304142	904	
GSE225475	NS2	F7	CORE	myeloid_dendritic	0.5110717076263087	904	
GSE225475	NS2	F7	CORE	T_NK_cytotoxic	0.3064946835085166	904	
GSE225475	NS2	F7	CORE	B_plasma	0.1715745824062813	904	
GSE225475	NS2	F7	EXTENDED	keratinocyte_basal	0.682263883487979	904	
GSE225475	NS2	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.3122651984388725	904	
GSE225475	NS2	F7	EXTENDED	keratinocyte_inflammatory_T17	0.399449144911629	904	
GSE225475	NS2	F7	EXTENDED	keratinocyte_stress_hypoxia	0.5763667899639142	904	
GSE225475	NS2	F7	EXTENDED	fibroblast_matrix	-0.2802339111961546	904	
GSE225475	NS2	F7	EXTENDED	fibroblast_inflammatory	0.1297019677144828	904	
GSE225475	NS2	F7	EXTENDED	endothelial_vascular	0.2697473867809457	904	
GSE225475	NS2	F7	EXTENDED	myeloid_dendritic	0.5186696918820167	904	
GSE225475	NS2	F7	EXTENDED	T_NK_cytotoxic	0.3212359354049552	904	
GSE225475	NS2	F7	EXTENDED	B_plasma	0.1751228015591167	904	
GSE225475	PP1	F1	CORE	keratinocyte_basal	0.3826110746895524	1352	
GSE225475	PP1	F1	CORE	keratinocyte_spinous_suprabasal	-0.1903865705302484	1352	
GSE225475	PP1	F1	CORE	keratinocyte_inflammatory_T17	-0.1382691276585452	1352	
GSE225475	PP1	F1	CORE	keratinocyte_stress_hypoxia	0.4895159572811054	1352	
GSE225475	PP1	F1	CORE	fibroblast_matrix	-0.2511743286197279	1352	
GSE225475	PP1	F1	CORE	fibroblast_inflammatory	0.1168745880283506	1352	
GSE225475	PP1	F1	CORE	endothelial_vascular	0.2757577070128129	1352	
GSE225475	PP1	F1	CORE	myeloid_dendritic	0.4120056367844656	1352	
GSE225475	PP1	F1	CORE	T_NK_cytotoxic	0.4049540546291551	1352	
GSE225475	PP1	F1	CORE	B_plasma	0.2734805138667782	1352	
GSE225475	PP1	F1	EXTENDED	keratinocyte_basal	0.3631728716243949	1352	
GSE225475	PP1	F1	EXTENDED	keratinocyte_spinous_suprabasal	-0.1932666920904387	1352	
GSE225475	PP1	F1	EXTENDED	keratinocyte_inflammatory_T17	-0.1284875483808106	1352	
GSE225475	PP1	F1	EXTENDED	keratinocyte_stress_hypoxia	0.5069970387668074	1352	
GSE225475	PP1	F1	EXTENDED	fibroblast_matrix	-0.2257099781924662	1352	
GSE225475	PP1	F1	EXTENDED	fibroblast_inflammatory	0.1387861319313165	1352	
GSE225475	PP1	F1	EXTENDED	endothelial_vascular	0.3083175332804895	1352	
GSE225475	PP1	F1	EXTENDED	myeloid_dendritic	0.4355197557085001	1352	
GSE225475	PP1	F1	EXTENDED	T_NK_cytotoxic	0.4358979169491177	1352	
GSE225475	PP1	F1	EXTENDED	B_plasma	0.297365640236613	1352	
GSE225475	PP1	F2	CORE	keratinocyte_basal	0.2704706722975207	1352	
GSE225475	PP1	F2	CORE	keratinocyte_spinous_suprabasal	-0.2259256797601682	1352	
GSE225475	PP1	F2	CORE	keratinocyte_inflammatory_T17	-0.1761009407336289	1352	
GSE225475	PP1	F2	CORE	keratinocyte_stress_hypoxia	0.4736935945403369	1352	
GSE225475	PP1	F2	CORE	fibroblast_matrix	-0.1031518669024834	1352	
GSE225475	PP1	F2	CORE	fibroblast_inflammatory	0.2124279880901451	1352	
GSE225475	PP1	F2	CORE	endothelial_vascular	0.3826290089946951	1352	
GSE225475	PP1	F2	CORE	myeloid_dendritic	0.4646107390417935	1352	
GSE225475	PP1	F2	CORE	T_NK_cytotoxic	0.4484625209789504	1352	
GSE225475	PP1	F2	CORE	B_plasma	0.318098297184553	1352	
GSE225475	PP1	F2	EXTENDED	keratinocyte_basal	0.2559453063993597	1352	
GSE225475	PP1	F2	EXTENDED	keratinocyte_spinous_suprabasal	-0.2830434688914891	1352	
GSE225475	PP1	F2	EXTENDED	keratinocyte_inflammatory_T17	-0.2374555860494286	1352	
GSE225475	PP1	F2	EXTENDED	keratinocyte_stress_hypoxia	0.4517143618851814	1352	
GSE225475	PP1	F2	EXTENDED	fibroblast_matrix	-0.0685261308322133	1352	
GSE225475	PP1	F2	EXTENDED	fibroblast_inflammatory	0.2533855343641432	1352	
GSE225475	PP1	F2	EXTENDED	endothelial_vascular	0.4146812043029306	1352	
GSE225475	PP1	F2	EXTENDED	myeloid_dendritic	0.4760784498437495	1352	
GSE225475	PP1	F2	EXTENDED	T_NK_cytotoxic	0.4361299303904692	1352	
GSE225475	PP1	F2	EXTENDED	B_plasma	0.3110551952810015	1352	
GSE225475	PP1	F6	CORE	keratinocyte_basal	0.3817410568664715	1352	
GSE225475	PP1	F6	CORE	keratinocyte_spinous_suprabasal	-0.0845200768541457	1352	
GSE225475	PP1	F6	CORE	keratinocyte_inflammatory_T17	-0.0203581743052009	1352	
GSE225475	PP1	F6	CORE	keratinocyte_stress_hypoxia	0.5402310301375678	1352	
GSE225475	PP1	F6	CORE	fibroblast_matrix	-0.2658968724379038	1352	
GSE225475	PP1	F6	CORE	fibroblast_inflammatory	0.0807870863778315	1352	
GSE225475	PP1	F6	CORE	endothelial_vascular	0.2428177136365426	1352	
GSE225475	PP1	F6	CORE	myeloid_dendritic	0.4076671280814386	1352	
GSE225475	PP1	F6	CORE	T_NK_cytotoxic	0.4454197573435857	1352	
GSE225475	PP1	F6	CORE	B_plasma	0.2899634933535643	1352	
GSE225475	PP1	F6	EXTENDED	keratinocyte_basal	0.4099725707718238	1352	
GSE225475	PP1	F6	EXTENDED	keratinocyte_spinous_suprabasal	-0.1174316064905066	1352	
GSE225475	PP1	F6	EXTENDED	keratinocyte_inflammatory_T17	-0.0475958875719736	1352	
GSE225475	PP1	F6	EXTENDED	keratinocyte_stress_hypoxia	0.53696660997407	1352	
GSE225475	PP1	F6	EXTENDED	fibroblast_matrix	-0.278335045269342	1352	
GSE225475	PP1	F6	EXTENDED	fibroblast_inflammatory	0.101489397072232	1352	
GSE225475	PP1	F6	EXTENDED	endothelial_vascular	0.2534701335939019	1352	
GSE225475	PP1	F6	EXTENDED	myeloid_dendritic	0.4268466869078891	1352	
GSE225475	PP1	F6	EXTENDED	T_NK_cytotoxic	0.4481508384397821	1352	
GSE225475	PP1	F6	EXTENDED	B_plasma	0.2935427938372387	1352	
GSE225475	PP1	F7	CORE	keratinocyte_basal	0.4489879930319951	1352	
GSE225475	PP1	F7	CORE	keratinocyte_spinous_suprabasal	-0.2018567906153087	1352	
GSE225475	PP1	F7	CORE	keratinocyte_inflammatory_T17	-0.1354866686939517	1352	
GSE225475	PP1	F7	CORE	keratinocyte_stress_hypoxia	0.4591509322454536	1352	
GSE225475	PP1	F7	CORE	fibroblast_matrix	-0.2484909209730156	1352	
GSE225475	PP1	F7	CORE	fibroblast_inflammatory	0.1926612454503813	1352	
GSE225475	PP1	F7	CORE	endothelial_vascular	0.3035257828613924	1352	
GSE225475	PP1	F7	CORE	myeloid_dendritic	0.4584394312663236	1352	
GSE225475	PP1	F7	CORE	T_NK_cytotoxic	0.4123557910905402	1352	
GSE225475	PP1	F7	CORE	B_plasma	0.2959236683892556	1352	
GSE225475	PP1	F7	EXTENDED	keratinocyte_basal	0.4373105701443248	1352	
GSE225475	PP1	F7	EXTENDED	keratinocyte_spinous_suprabasal	-0.1729793114661247	1352	
GSE225475	PP1	F7	EXTENDED	keratinocyte_inflammatory_T17	-0.1023172649221312	1352	
GSE225475	PP1	F7	EXTENDED	keratinocyte_stress_hypoxia	0.5078226512488011	1352	
GSE225475	PP1	F7	EXTENDED	fibroblast_matrix	-0.2780214110662141	1352	
GSE225475	PP1	F7	EXTENDED	fibroblast_inflammatory	0.1495306633932594	1352	
GSE225475	PP1	F7	EXTENDED	endothelial_vascular	0.2862110321015704	1352	
GSE225475	PP1	F7	EXTENDED	myeloid_dendritic	0.4508180211009961	1352	
GSE225475	PP1	F7	EXTENDED	T_NK_cytotoxic	0.4400204324918113	1352	
GSE225475	PP1	F7	EXTENDED	B_plasma	0.3081714400462756	1352	
GSE225475	PP2	F1	CORE	keratinocyte_basal	0.5012327523843108	1393	
GSE225475	PP2	F1	CORE	keratinocyte_spinous_suprabasal	0.1938620432209026	1393	
GSE225475	PP2	F1	CORE	keratinocyte_inflammatory_T17	0.0005960391180659	1393	
GSE225475	PP2	F1	CORE	keratinocyte_stress_hypoxia	0.4587054347396824	1393	
GSE225475	PP2	F1	CORE	fibroblast_matrix	-0.5187549884733846	1393	
GSE225475	PP2	F1	CORE	fibroblast_inflammatory	-0.03721974631494	1393	
GSE225475	PP2	F1	CORE	endothelial_vascular	0.113789252659977	1393	
GSE225475	PP2	F1	CORE	myeloid_dendritic	0.3196819883254608	1393	
GSE225475	PP2	F1	CORE	T_NK_cytotoxic	0.4047815852801934	1393	
GSE225475	PP2	F1	CORE	B_plasma	0.2220020108639864	1393	
GSE225475	PP2	F1	EXTENDED	keratinocyte_basal	0.5258654075386856	1393	
GSE225475	PP2	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.1934535637524559	1393	
GSE225475	PP2	F1	EXTENDED	keratinocyte_inflammatory_T17	0.0231191170104432	1393	
GSE225475	PP2	F1	EXTENDED	keratinocyte_stress_hypoxia	0.4675708353996871	1393	
GSE225475	PP2	F1	EXTENDED	fibroblast_matrix	-0.499610906428901	1393	
GSE225475	PP2	F1	EXTENDED	fibroblast_inflammatory	-0.01060286320026	1393	
GSE225475	PP2	F1	EXTENDED	endothelial_vascular	0.1328736441861988	1393	
GSE225475	PP2	F1	EXTENDED	myeloid_dendritic	0.3336436894342782	1393	
GSE225475	PP2	F1	EXTENDED	T_NK_cytotoxic	0.4163832307677215	1393	
GSE225475	PP2	F1	EXTENDED	B_plasma	0.2241777627501895	1393	
GSE225475	PP2	F2	CORE	keratinocyte_basal	0.4992870127297503	1393	
GSE225475	PP2	F2	CORE	keratinocyte_spinous_suprabasal	0.1740241024217889	1393	
GSE225475	PP2	F2	CORE	keratinocyte_inflammatory_T17	0.0193493760226026	1393	
GSE225475	PP2	F2	CORE	keratinocyte_stress_hypoxia	0.4626751778635125	1393	
GSE225475	PP2	F2	CORE	fibroblast_matrix	-0.465868157989844	1393	
GSE225475	PP2	F2	CORE	fibroblast_inflammatory	-0.0115581577727842	1393	
GSE225475	PP2	F2	CORE	endothelial_vascular	0.1356992353398376	1393	
GSE225475	PP2	F2	CORE	myeloid_dendritic	0.3410392979608507	1393	
GSE225475	PP2	F2	CORE	T_NK_cytotoxic	0.4131586555570947	1393	
GSE225475	PP2	F2	CORE	B_plasma	0.2295629199224005	1393	
GSE225475	PP2	F2	EXTENDED	keratinocyte_basal	0.4934593074844938	1393	
GSE225475	PP2	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.1455888788920362	1393	
GSE225475	PP2	F2	EXTENDED	keratinocyte_inflammatory_T17	-0.0118900037287738	1393	
GSE225475	PP2	F2	EXTENDED	keratinocyte_stress_hypoxia	0.4655934242521376	1393	
GSE225475	PP2	F2	EXTENDED	fibroblast_matrix	-0.4474871467958304	1393	
GSE225475	PP2	F2	EXTENDED	fibroblast_inflammatory	0.0040087647066869	1393	
GSE225475	PP2	F2	EXTENDED	endothelial_vascular	0.1385888162769495	1393	
GSE225475	PP2	F2	EXTENDED	myeloid_dendritic	0.3446831139793634	1393	
GSE225475	PP2	F2	EXTENDED	T_NK_cytotoxic	0.4089946306733813	1393	
GSE225475	PP2	F2	EXTENDED	B_plasma	0.2326290755786266	1393	
GSE225475	PP2	F6	CORE	keratinocyte_basal	0.5261171576268309	1393	
GSE225475	PP2	F6	CORE	keratinocyte_spinous_suprabasal	0.252984640311384	1393	
GSE225475	PP2	F6	CORE	keratinocyte_inflammatory_T17	0.0950631229832549	1393	
GSE225475	PP2	F6	CORE	keratinocyte_stress_hypoxia	0.4836145638653513	1393	
GSE225475	PP2	F6	CORE	fibroblast_matrix	-0.5364152616882772	1393	
GSE225475	PP2	F6	CORE	fibroblast_inflammatory	-0.0466374252807382	1393	
GSE225475	PP2	F6	CORE	endothelial_vascular	0.0802833409340333	1393	
GSE225475	PP2	F6	CORE	myeloid_dendritic	0.3390746887552825	1393	
GSE225475	PP2	F6	CORE	T_NK_cytotoxic	0.4100546504221146	1393	
GSE225475	PP2	F6	CORE	B_plasma	0.2287417655411034	1393	
GSE225475	PP2	F6	EXTENDED	keratinocyte_basal	0.5620264341885021	1393	
GSE225475	PP2	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.2507914060792567	1393	
GSE225475	PP2	F6	EXTENDED	keratinocyte_inflammatory_T17	0.0967052204147864	1393	
GSE225475	PP2	F6	EXTENDED	keratinocyte_stress_hypoxia	0.4906199545974203	1393	
GSE225475	PP2	F6	EXTENDED	fibroblast_matrix	-0.5459972031752703	1393	
GSE225475	PP2	F6	EXTENDED	fibroblast_inflammatory	-0.0223535833334221	1393	
GSE225475	PP2	F6	EXTENDED	endothelial_vascular	0.1083613420547707	1393	
GSE225475	PP2	F6	EXTENDED	myeloid_dendritic	0.3453686410179331	1393	
GSE225475	PP2	F6	EXTENDED	T_NK_cytotoxic	0.4143418580939229	1393	
GSE225475	PP2	F6	EXTENDED	B_plasma	0.2308498961269971	1393	
GSE225475	PP2	F7	CORE	keratinocyte_basal	0.5608231796586348	1393	
GSE225475	PP2	F7	CORE	keratinocyte_spinous_suprabasal	0.1720574752096771	1393	
GSE225475	PP2	F7	CORE	keratinocyte_inflammatory_T17	0.0394374125896602	1393	
GSE225475	PP2	F7	CORE	keratinocyte_stress_hypoxia	0.4344457861519775	1393	
GSE225475	PP2	F7	CORE	fibroblast_matrix	-0.496942812127258	1393	
GSE225475	PP2	F7	CORE	fibroblast_inflammatory	0.0180420479970712	1393	
GSE225475	PP2	F7	CORE	endothelial_vascular	0.1198331926253795	1393	
GSE225475	PP2	F7	CORE	myeloid_dendritic	0.3385012162835387	1393	
GSE225475	PP2	F7	CORE	T_NK_cytotoxic	0.3902265430171601	1393	
GSE225475	PP2	F7	CORE	B_plasma	0.2239612823679636	1393	
GSE225475	PP2	F7	EXTENDED	keratinocyte_basal	0.5650380188476485	1393	
GSE225475	PP2	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.2063263439415237	1393	
GSE225475	PP2	F7	EXTENDED	keratinocyte_inflammatory_T17	0.0709472474215647	1393	
GSE225475	PP2	F7	EXTENDED	keratinocyte_stress_hypoxia	0.4729140002219368	1393	
GSE225475	PP2	F7	EXTENDED	fibroblast_matrix	-0.5139157795917264	1393	
GSE225475	PP2	F7	EXTENDED	fibroblast_inflammatory	0.0056656051539952	1393	
GSE225475	PP2	F7	EXTENDED	endothelial_vascular	0.1206034168406311	1393	
GSE225475	PP2	F7	EXTENDED	myeloid_dendritic	0.3396740565028763	1393	
GSE225475	PP2	F7	EXTENDED	T_NK_cytotoxic	0.4043440813615775	1393	
GSE225475	PP2	F7	EXTENDED	B_plasma	0.2317157069015871	1393	
GSE225475	PP3	F1	CORE	keratinocyte_basal	0.6828475443403461	1463	
GSE225475	PP3	F1	CORE	keratinocyte_spinous_suprabasal	0.1398998692479909	1463	
