source_table	Outcome	system	rg	SE	Z	P	FDR	h2_psoriasis	h2_psoriasis_SE	h2_outcome	h2_outcome_SE	outcome_intercept	cross_trait_intercept	QC_status	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	fdr_within_outcome	z_approx	se_approx	direction	pair_scope	fdr_all_tests	validation_priority	rho_1000g	p_1000g	h2_psoriasis_1000g	h2_outcome_1000g	univ_p_psoriasis_1000g	univ_p_outcome_1000g	rho_ukb	se_approx_ukb	z_approx_ukb	p_ukb	h2_psoriasis_ukb	h2_outcome_ukb	univ_p_psoriasis_ukb	univ_p_outcome_ukb	status	ukb_status	direction_ukb	direction_concordant	ukb_local_h2_reliable	ukb_fdr_within_outcome	phase4br_tier	phase4c_coloc_eligible
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00166447		0.0003138					cad	psoriasis	-0.162093			0.026274			0.234027	36.0	1.0	38474037.0	40200950.0	cad	3.0346e-12	1.9046e-12	0.42975423880597	1.19004933993054	0.136206957611909	negative	primary_systemic	0.42975423880597																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00298227		0.000344584					cad	psoriasis	-0.13054			0.0170407			0.242836	1559.0	10.0	79952997.0	81190573.0	cad	7.558279999999999e-27	3.65991e-13	0.42975423880597	1.16792752574323	0.11177063398427	negative	primary_systemic	0.42975423880597																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00175793		0.000398211					cad	psoriasis	-0.178311			0.0317947			0.161691	927.0	6.0	1380680.0	2746531.0	cad	4.6699e-12	7.20635e-16	0.359991283018868	1.399406896444	0.127418980464582	negative	primary_systemic	0.359991283018868																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00156912		0.000554427					cad	psoriasis	-0.152473			0.0232479			0.200019	1453.0	9.0	109150718.0	110630150.0	cad	1.5446e-10	3.56441e-26	0.402388	1.28149743585347	0.118980339510749	negative	primary_systemic	0.402388																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00140323		0.000494497					cad	psoriasis	-0.149692			0.0224077			0.230936	2026.0	14.0	99474534.0	100786189.0	cad	6.89131e-10	3.9399400000000006e-24	0.42975423880597	1.1979512400713	0.124956671851761	negative	primary_systemic	0.42975423880597																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00206158		0.000238326					cad	psoriasis	0.237046			0.0561909			0.0743679	1569.0	10.0	89971629.0	91021321.0	cad	4.950489999999999e-20	3.79508e-10	0.228319085	1.78434328975661	0.132847754891568	positive	primary_systemic	0.228319085																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00148126		0.000302793					cad	psoriasis	-0.00984539			9.69317e-05			0.945467	898.0	5.0	148662215.0	149850203.0	cad	3.01663e-10	1.54301e-11	0.966629551724138	0.0684002786761472	0.143937863858928	negative	primary_systemic	0.966629551724138																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00128161		0.000199648					cad	psoriasis	0.304695			0.0928392			0.0458501	112.0	1.0	153410810.0	154685545.0	cad	4.9583e-13	3.43597e-10	0.178195225806452	1.99677068020211	0.152593887230535	positive	primary_systemic	0.178195225806452																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00125034		0.00020288					cad	psoriasis	0.320644			0.102813			0.0378069	906.0	5.0	156345452.0	157191081.0	cad	3.37449e-12	5.56977e-10	0.153834972413793	2.07694213762499	0.15438273131993	positive	primary_systemic	0.153834972413793																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00165673		0.000253741					cad	psoriasis	0.0691679			0.0047842			0.61634	2230.0	17.0	73741322.0	74908266.0	cad	1.01614e-14	4.25926e-11	0.807988791208791	0.501044223106619	0.138047495231337	positive	primary_systemic	0.807988791208791																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00168994		0.00032051					cad	psoriasis	-0.0316535			0.00100194			0.825139	1966.0	14.0	33591114.0	34695195.0	cad	1.61952e-10	1.14863e-10	0.913102747663551	0.220940194486959	0.143267276800865	negative	primary_systemic	0.913102747663551																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00155902		0.000274532					cad	psoriasis	0.278778			0.0777171			0.0615684	1209.0	7.0	130418705.0	131856481.0	cad	1.30705e-10	9.92266e-10	0.217292141176471	1.86939125751336	0.149127690032544	positive	primary_systemic	0.217292141176471																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00127846		0.000293212					cad	psoriasis	-0.37575			0.141188			0.0123363	2432.0	21.0	15840034.0	16873443.0	cad	4.1917e-09	3.74847e-12	0.0632905826086956	2.5023755162302	0.15015731954014	negative	primary_systemic	0.0632905826086956																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00132195		0.000387675					cad	psoriasis	0.560739			0.314428			5.32938e-05	267.0	2.0	59251997.0	60775066.0	cad	4.50952e-09	7.00011e-17	0.0015721671	4.04069161702655	0.138773025300217	positive	primary_systemic	0.0015721671																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00234792		0.000212978					cad	psoriasis	0.168587			0.0284217			0.201194	2205.0	17.0	40233546.0	42348003.0	cad	6.828e-25	3.61117e-09	0.402388	1.27815721077855	0.131898485239786	positive	primary_systemic	0.402388																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.000809173		0.000206584					cad	psoriasis	-0.221208			0.0489329			0.196225	970.0	6.0	33864263.0	34979270.0	cad	1.16415e-07	1.52199e-11	0.402388	1.29238167392288	0.171163058455129	negative	primary_systemic	0.402388																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00125895		0.000423175					cad	psoriasis	-0.0232708			0.000541531			0.86052	47.0	1.0	54771294.0	55727134.0	cad	2.90753e-09	6.32499e-21	0.925141261261261	0.175712263919435	0.132436970994066	negative	primary_systemic	0.925141261261261																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0011449		0.000396881					cad	psoriasis	-0.433126			0.187598			0.00236532	101.0	1.0	114664388.0	116207297.0	cad	7.55447e-08	1.97952e-18	0.0253734327272727	3.04005875507608	0.142472904274233	negative	primary_systemic	0.0253734327272727																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00136358		0.000200235					cad	psoriasis	-0.239425			0.0573243			0.112689	110.0	1.0	151146408.0	152535630.0	cad	1.74049e-13	1.0364e-09	0.294992304347826	1.5862218186938	0.150940427863462	negative	primary_systemic	0.294992304347826																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00495075		0.00018963					cad	psoriasis	0.650751			0.423477			5.23986e-08	347.0	2.0	161432090.0	163607635.0	cad	1.99414e-67	4.67602e-08	6.1830348e-06	5.44297297160229	0.119558006882484	positive	primary_systemic	6.1830348e-06																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00132923		0.000211281					cad	psoriasis	0.147587			0.0217821			0.368875	97.0	1.0	110224231.0	111134062.0	cad	1.06679e-09	8.56855e-08	0.57272697368421	0.898582656725159	0.164244211587472	positive	primary_systemic	0.57272697368421																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00149963		0.000232153					cad	psoriasis	0.158615			0.0251587			0.312632	2182.0	17.0	8554764.0	9619356.0	cad	1.49227e-10	3.93879e-08	0.512369111111111	1.00971469497625	0.157088928970902	positive	primary_systemic	0.512369111111111																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00150708		0.00018825					cad	psoriasis	-0.364552			0.132898			0.0258666	438.0	3.0	16084006.0	17182494.0	cad	6.51113e-12	8.44855e-07	0.117394569230769	2.22820871785357	0.163607653573482	negative	primary_systemic	0.117394569230769																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00123011		0.0001866					cad	psoriasis	0.110121			0.0121267			0.494142	269.0	2.0	62429911.0	63672118.0	cad	2.28759e-11	1.63731e-08	0.70251513253012	0.683735820302255	0.161057819014542	positive	primary_systemic	0.70251513253012																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00177262		0.0002468					cad	psoriasis	-0.430999			0.18576			0.00447322	431.0	3.0	8664893.0	9970731.0	cad	5.64969e-12	7.31928e-08	0.0351893306666667	2.84270680395557	0.151615706340265	negative	primary_systemic	0.0351893306666667																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00143954		0.000322615					cad	psoriasis	0.374403			0.140177			0.00891747	893.0	5.0	141253831.0	142532956.0	cad	8.19548e-10	8.41244e-13	0.052613073	2.61520199655199	0.14316408464571	positive	primary_systemic	0.052613073																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00106366		0.000321619					cad	psoriasis	0.533419			0.284536			0.000743627	1913.0	13.0	73114510.0	74437635.0	cad	5.72218e-07	1.65884e-13	0.0087747986	3.37296760890823	0.158145307589437	positive	primary_systemic	0.0087747986																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0012799		0.000305584					cad	psoriasis	0.265016			0.0702334			0.0707691	126.0	1.0	168179087.0	169521551.0	cad	2.49293e-09	5.30138e-13	0.228319085	1.80695625606538	0.146664314152833	positive	primary_systemic	0.228319085																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00192815		0.000244651					cad	psoriasis	0.378708			0.143419			0.0108235	785.0	5.0	9203856.0	10549029.0	cad	1.85604e-13	8.33268e-08	0.0580533181818182	2.54834620150595	0.148609321518482	positive	primary_systemic	0.0580533181818182																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0010151		0.000944825					cad	psoriasis	0.137111			0.0187995			0.244013	2351.0	19.0	45040933.0	45893307.0	cad	7.46665e-08	5.39079e-69	0.42975423880597	1.16501480518735	0.117690349847486	positive	primary_systemic	0.42975423880597																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00265154		0.000266745					cad	psoriasis	-0.0319412			0.00102024			0.800296	2450.0	21.0	35729262.0	37303548.0	cad	6.8675e-23	2.13973e-09	0.910894819047619	0.252964041967552	0.12626774837863	negative	primary_systemic	0.910894819047619																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00120068		0.000228441					cad	psoriasis	0.036886			0.00136058			0.827983	1191.0	7.0	105312564.0	106399739.0	cad	5.28487e-08	3.84712e-08	0.913102747663551	0.217289165599518	0.169755357558802	positive	primary_systemic	0.913102747663551																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00124252		0.000188344					cad	psoriasis	0.457099			0.208939			0.0103237	313.0	2.0	121073753.0	122026817.0	cad	1.18581e-08	1.3065e-06	0.0580093619047619	2.56479425858481	0.178220533077852	positive	primary_systemic	0.0580093619047619																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00129235		0.000264357					cad	psoriasis	0.114536			0.0131185			0.479424	155.0	1.0	201067953.0	202583884.0	cad	5.85234e-08	6.32144e-09	0.689902829268293	0.707229288954548	0.161950306341683	positive	primary_systemic	0.689902829268293																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00124652		0.000212579					cad	psoriasis	0.312712			0.0977885			0.0749572	2138.0	16.0	57119890.0	58508978.0	cad	6.53849e-08	6.00455e-07	0.228319085	1.78072614386625	0.17560925978267	positive	primary_systemic	0.228319085																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00142872		0.000241219					cad	psoriasis	0.631202			0.398415			6.82732e-05	113.0	1.0	154685546.0	156813845.0	cad	4.94652e-10	1.14644e-08	0.00161124752	3.98222465084985	0.1585048698509	positive	primary_systemic	0.00161124752																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00377104		0.000183256					cad	psoriasis	-0.251481			0.0632426			0.046814	907.0	5.0	157191082.0	158484775.0	cad	2.02845e-47	2.00674e-07	0.178195225806452	1.9879791135243	0.126500826034421	negative	primary_systemic	0.178195225806452																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00122774		0.000428847					cad	psoriasis	-0.245458			0.0602495			0.0702053	2449.0	21.0	34383795.0	35729261.0	cad	1.27602e-08	1.40431e-20	0.228319085	1.81058381127045	0.135568427416661	negative	primary_systemic	0.228319085																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00100654		0.000219939					cad	psoriasis	-0.101912			0.010386			0.5581	88.0	1.0	101188316.0	102424611.0	cad	3.85963e-07	8.97541e-09	0.774774117647059	0.585665979925737	0.174010448776489	negative	primary_systemic	0.774774117647059																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00118085		0.000505722					cad	psoriasis	0.0476656			0.00227201			0.73049	1852.0	12.0	124843769.0	126079935.0	cad	7.02877e-07	3.1673199999999997e-22	0.872588545454545	0.344473795085108	0.138372209091328	positive	primary_systemic	0.872588545454545																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00116705		0.000188137					cad	psoriasis	-0.146641			0.0215036			0.403726	945.0	6.0	21295865.0	22199713.0	cad	1.79207e-08	5.58629e-07	0.603033772151899	0.834985273585372	0.175621061399482	negative	primary_systemic	0.603033772151899																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.000968614		0.000168854					cad	psoriasis	0.219626			0.0482357			0.241761	1544.0	10.0	62626466.0	64069687.0	cad	2.01637e-07	1.05199e-06	0.42975423880597	1.17059651204925	0.18761887442798	positive	primary_systemic	0.42975423880597																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00137954		0.000203397					cad	psoriasis	-0.482192			0.23251			0.0030925	652.0	4.0	55681702.0	57103100.0	cad	9.79296e-11	9.19947e-08	0.0262436214285714	2.95839059017408	0.162991324269872	negative	primary_systemic	0.0262436214285714																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00110038		0.000174611					cad	psoriasis	0.318146			0.101217			0.0907605	2181.0	17.0	7264459.0	8554763.0	cad	1.22838e-07	3.95335e-06	0.261213146341463	1.69139964531849	0.188096291069101	positive	primary_systemic	0.261213146341463																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00115731		0.000251451					cad	psoriasis	-0.364219			0.132656			0.0353242	584.0	3.0	186602046.0	187939199.0	cad	7.4088e-07	2.62802e-08	0.148866271428571	2.1046222872873	0.173056705804181	negative	primary_systemic	0.148866271428571																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00113795		0.000570305					cad	psoriasis	0.0360557			0.00130001			0.786988	2162.0	16.0	81437862.0	82310204.0	cad	6.07638e-07	5.692000000000001e-28	0.910437098039216	0.270223908933171	0.133428977999563	positive	primary_systemic	0.910437098039216																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00128296		0.000214237					cad	psoriasis	0.0703781			0.00495307			0.687002	2369.0	20.0	60795.0	884241.0	cad	4.71701e-08	5.77767e-07	0.846753402061856	0.402926902127777	0.174667165752267	positive	primary_systemic	0.846753402061856																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00107374		0.000215232					cad	psoriasis	-0.227172			0.0516073			0.200754	2314.0	19.0	6455429.0	7249359.0	cad	5.34193e-07	5.78659e-08	0.402388	1.27940634686082	0.177560476042184	negative	primary_systemic	0.402388																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00117106		0.000255973					cad	psoriasis	-0.176434			0.031129			0.303378	2094.0	15.0	94565522.0	95662425.0	cad	6.45605e-07	1.63158e-08	0.504205690140845	1.02921639453908	0.171425563113978	negative	primary_systemic	0.504205690140845																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00277758		0.000204006					cad	psoriasis	0.529898			0.280792			0.000138639	2471.0	22.0	26166935.0	27192923.0	cad	1.3417600000000001e-24	1.52013e-06	0.0023370574285714	3.81058381059779	0.139059531646116	positive	primary_systemic	0.0023370574285714																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00113229		0.000231598					cad	psoriasis	-0.0352321			0.0012413			0.837543	938.0	6.0	15069422.0	16566882.0	cad	2.3638e-07	3.19419e-08	0.915093277777778	0.205037278078559	0.171832655652505	negative	primary_systemic	0.915093277777778																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00100084		0.000193683					cad	psoriasis	0.0657872			0.00432796			0.732087	2106.0	16.0	4816146.0	5782968.0	cad	3.33019e-06	1.77873e-06	0.872588545454545	0.3423506800424	0.192163193576401	positive	primary_systemic	0.872588545454545																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00122495		0.000266107					cad	psoriasis	0.444971			0.197999			0.00699953	2095.0	15.0	95662426.0	96864278.0	cad	1.26906e-07	2.57783e-09	0.0458858077777778	2.69686662109624	0.164995553179832	positive	primary_systemic	0.0458858077777778																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.000955406		0.000249647					cad	psoriasis	-0.0285103			0.000812837			0.866949	1671.0	11.0	60515106.0	61717117.0	cad	1.18048e-06	1.83222e-10	0.925141261261261	0.167535140656702	0.170175044401107	negative	primary_systemic	0.925141261261261																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0010491		0.000271737					cad	psoriasis	0.365317			0.133457			0.029232	638.0	4.0	37880861.0	38984838.0	cad	1.0782e-06	2.78938e-10	0.127754666666667	2.18034361967272	0.167550195622301	positive	primary_systemic	0.127754666666667																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00103664		0.000229817					cad	psoriasis	-0.234862			0.0551602			0.169214	1740.0	12.0	60317.0	1078397.0	cad	2.26007e-07	3.0251e-09	0.369763925925926	1.37473376239552	0.17084180691885	negative	primary_systemic	0.369763925925926																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0010792		0.000240204					cad	psoriasis	0.315156			0.0993234			0.076086	2022.0	14.0	95946793.0	97174314.0	cad	1.6265e-06	3.23293e-08	0.228319085	1.77386187703271	0.177666595173232	positive	primary_systemic	0.228319085																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.000857546		0.000175014					cad	psoriasis	0.183374			0.0336261			0.338114	1223.0	7.0	149843000.0	150897818.0	cad	1.69535e-06	3.39727e-07	0.537578106666667	0.957898386817136	0.191433666162971	positive	primary_systemic	0.537578106666667																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00102382		0.000160289					cad	psoriasis	0.044596			0.00198881			0.809784	2220.0	17.0	62112374.0	63548724.0	cad	3.29268e-08	1.3554e-06	0.910894819047619	0.240704694823326	0.185272663803807	positive	primary_systemic	0.910894819047619																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.000859409		0.000181283					cad	psoriasis	0.273444			0.0747714			0.153227	2050.0	15.0	40604781.0	42332685.0	cad	2.19712e-06	2.07775e-07	0.354525215686275	1.42822537204596	0.191457178504179	positive	primary_systemic	0.354525215686275																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.000838615		0.00016175					cad	psoriasis	0.239153			0.0571941			0.230522	2076.0	15.0	74458114.0	76401952.0	cad	3.41366e-06	2.0073e-06	0.42975423880597	1.19901529083038	0.199457839969975	positive	primary_systemic	0.42975423880597																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0010378		0.000257363					cad	psoriasis	0.840885			0.707088			1.22569e-06	1215.0	7.0	138755108.0	140217630.0	cad	1.0113e-06	8.60972e-10	7.231571e-05	4.85143885257546	0.173326929505378	positive	primary_systemic	7.231571e-05																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00154866		0.000258756					cad	psoriasis	-0.0248515			0.000617595			0.87026	2072.0	15.0	69089816.0	70767983.0	cad	2.27027e-10	7.25502e-09	0.925141261261261	0.163328240168183	0.152156785467166	negative	primary_systemic	0.925141261261261																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00114095		0.000369777					cad	psoriasis	0.0835267			0.0069767			0.582463	1965.0	14.0	32382246.0	33591113.0	cad	1.06967e-06	1.98907e-14	0.79891832183908	0.549790609815465	0.151924566387257	positive	primary_systemic	0.79891832183908																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.000880249		0.000329427					cad	psoriasis	-0.00981486			9.63315e-05			0.950246	2469.0	22.0	23950733.0	25282436.0	cad	1.37379e-06	8.83718e-17	0.966629551724138	0.0623978588869302	0.15729482028839	negative	primary_systemic	0.966629551724138																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00143011		0.000220662					cad	psoriasis	0.239851			0.0575284			0.151707	2135.0	16.0	53393883.0	54866095.0	cad	3.32763e-09	4.82706e-07	0.354525215686275	1.43352801047334	0.167315182017827	positive	primary_systemic	0.354525215686275																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00128068		0.000185322					cad	psoriasis	-0.0689767			0.00475778			0.695852	2422.0	20.0	56951774.0	57924037.0	cad	4.82018e-09	2.15496e-06	0.846753402061856	0.390925912042315	0.17644443070976	negative	primary_systemic	0.846753402061856																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00105614		0.000187302					cad	psoriasis	0.353362			0.124864			0.0626096	1424.0	9.0	78630916.0	79451035.0	cad	7.57449e-07	2.61511e-06	0.217292141176471	1.8619538187381	0.189780217126698	positive	primary_systemic	0.217292141176471																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00104569		0.000193746					cad	psoriasis	-0.207313			0.0429788			0.251979	2284.0	18.0	55809316.0	56832312.0	cad	2.32232e-07	3.52041e-07	0.437257676470588	1.14555578714755	0.1809715444031	negative	primary_systemic	0.437257676470588																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00125614		0.000193895					cad	psoriasis	0.264122			0.0697606			0.13427	2048.0	15.0	37962916.0	39238840.0	cad	1.24664e-08	1.16836e-06	0.323344081632653	1.49747386891295	0.176378369922229	positive	primary_systemic	0.323344081632653																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00116187		0.000238981					cad	psoriasis	-0.302767			0.0916676			0.0773963	1554.0	10.0	72659224.0	73514214.0	cad	2.3798e-07	2.84917e-08	0.228319085	1.76599731099157	0.171442503403362	negative	primary_systemic	0.228319085																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.00110271		0.000175954					cad	psoriasis	0.189323			0.0358432			0.341681	2169.0	16.0	86748868.0	87669168.0	cad	1.60217e-06	2.42954e-05	0.537578106666667	0.950849067585726	0.199109413316989	positive	primary_systemic	0.537578106666667																							
results/phase4b_lava_pairwise/phase4b_pairwise_lava_bivariate_all.tsv								0.0010703		0.000325011					cad	psoriasis	-0.0381147			0.00145273			0.810542	1073.0	6.0	150635316.0	151629954.0	cad	1.49675e-06	1.08661e-12	0.910894819047619	0.239726873861802	0.158992187175362	negative	primary_systemic	0.910894819047619																							
