outcome	tissue	gene	gene_id	locus	region	phase4br_tier	local_direction_group	phase4c_eqtl_gene_tier	n_eqtl_variants	n_gwas_variants	n_matched_variants	nsnps	gwas_n	gwas_case_fraction	eqtl_n	maf_source	status	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	note	interpretation_tier
crohn	Colon_Sigmoid	SLC22A5	ENSG00000197375	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	4582	5187	3638	3638	40266	0.302836139671187	318	eqtl_maf_proxy	PASS	2.97865303601552e-32	0.00318475805116958	3.3531686935473e-30	0.357879860348626	0.638935381600202	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
crohn	Colon_Transverse	SLC22A5	ENSG00000197375	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	4582	5187	3644	3644	40266	0.302836139671187	368	eqtl_maf_proxy	PASS	2.95344992874922e-38	3.15781103927852e-09	9.34714369910046e-30	0.999390416874381	0.000609579967801159	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Not_Sun_Exposed_Suprapubic	CDC42SE2	ENSG00000158985	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	2002	5187	1504	1504	40266	0.302836139671187	517	eqtl_maf_proxy	PASS	1.73920014583502e-23	0.00521544979470983	3.30609269868229e-21	0.991415619155325	0.00336893104996138	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Sun_Exposed_Lower_leg	CDC42SE2	ENSG00000158985	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	2002	5187	1504	1504	40266	0.302836139671187	605	eqtl_maf_proxy	PASS	2.89120815003238e-26	8.67004926871721e-06	3.33423476010281e-21	0.999857993212781	0.000133336737948083	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Colon_Transverse	KIF3A	ENSG00000131437	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3946	5187	3160	3160	40266	0.302836139671187	368	eqtl_maf_proxy	PASS	1.6673299579153e-31	0.0178269924130879	9.17798481257392e-30	0.981303790033977	0.000869217552929429	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Not_Sun_Exposed_Suprapubic	KIF3A	ENSG00000131437	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3946	5187	3157	3157	40266	0.302836139671187	517	eqtl_maf_proxy	PASS	3.50172381760988e-33	0.000374402220945589	9.34780492193512e-30	0.99946155996746	0.000164037811590751	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Sun_Exposed_Lower_leg	KIF3A	ENSG00000131437	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3946	5187	3160	3160	40266	0.302836139671187	605	eqtl_maf_proxy	PASS	3.69026218408471e-34	3.94560630579907e-05	9.35174843821691e-30	0.99988328515406	7.72587828812213e-05	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Spleen	KIF3A	ENSG00000131437	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3946	5187	3160	3160	40266	0.302836139671187	227	eqtl_maf_proxy	PASS	4.26535748005205e-32	0.00456049476439973	9.29777800124611e-30	0.99411154754078	0.00132795769482221	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Not_Sun_Exposed_Suprapubic	HSPA4	ENSG00000170606	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3345	5187	2698	2698	40266	0.302836139671187	517	eqtl_maf_proxy	PASS	1.14911407060505e-39	1.22862590701971e-10	9.3528393295335e-30	0.999999999861373	1.57670720733747e-11	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Sun_Exposed_Lower_leg	HSPA4	ENSG00000170606	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3345	5187	2701	2701	40266	0.302836139671187	605	eqtl_maf_proxy	PASS	1.53311712297334e-53	1.63919967909606e-24	9.35283933082992e-30	1	1.61713544476919e-25	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Whole_Blood	HSPA4	ENSG00000170606	887	5:131239706-133218976	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3345	5187	2701	2701	40266	0.302836139671187	670	eqtl_maf_proxy	PASS	1.29660200454699e-37	1.38631912586479e-08	9.35283919283274e-30	0.999999985244543	8.92271936808851e-10	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
