outcome	phase4c_role	locus	chr	start	stop	phase4br_tier	coloc_priority	local_direction_group	rho_1000g	p_1000g	rho_ukb	p_ukb	ukb_fdr_within_outcome	h2_psoriasis_ukb	h2_outcome_ukb	eqtl_tissue_priority	validation_priority
cad	primary_systemic_cardiovascular	275	2	68877775	70756283	Tier 2	sensitivity_coloc	positive_local_rg	0.548431	0.00311365	0.328633	0.303557	0.3311530909090909	0.000382427	0.000140346	skin;blood;vascular_arterial	CAD_globalFDR_positive
cad	primary_systemic_cardiovascular	1353	8	128073655	129291118	Tier 2	sensitivity_coloc	positive_local_rg	0.443033	0.00663979	0.182	0.59315	0.59315	0.000463397	0.000121968	skin;blood;vascular_arterial	CAD_globalFDR_positive
crohn	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	primary_coloc	negative_local_rg	-0.534925	8.18747e-23	-0.563557	2.064129999999999e-20	2.4769559999999995e-19	0.00420323	0.0220048	skin;blood;intestinal;immune	IBD_common_FDR
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	primary_coloc	negative_local_rg	-0.642693	2.07533e-13	-0.640178	3.75399e-10	1.501596e-09	0.00284651	0.00515474	skin;blood;intestinal;immune	IBD_negative_FDR
crohn	ibd_direction_heterogeneity	1082	6	158952061	159604052	Tier 1	primary_coloc	negative_local_rg	-0.945307	3.00727e-11	-1.0	3.42343e-08	1.027029e-07	0.00128367	0.00160504	skin;blood;intestinal;immune	IBD_negative_FDR
crohn	ibd_direction_heterogeneity	2251	18	12735559	13641479	Tier 1	primary_coloc	negative_local_rg	-0.658624	1.69352e-08	-0.846067	7.2497e-07	1.739928e-06	0.00123059	0.00261469	skin;blood;intestinal;immune	IBD_common_FDR
crohn	ibd_direction_heterogeneity	58	1	67761891	68633860	Tier 1	primary_coloc	negative_local_rg	-0.645466	3.20403e-06	-0.729768	1.93108e-05	3.86216e-05	0.000746468	0.00421031	skin;blood;intestinal;immune	IBD_common_FDR
crohn	ibd_direction_heterogeneity	1559	10	79952997	81190573	Tier 1	primary_coloc	negative_local_rg	-0.625949	1.17844e-08	-0.789083	0.00111074	0.00166611	0.000962559	0.00178523	skin;blood;intestinal;immune	IBD_negative_FDR
crohn	ibd_direction_heterogeneity	2453	21	39252060	40480831	Tier 1	primary_coloc	negative_local_rg	-0.355707	0.0068054	-0.561661	0.0242086	0.0264093818181818	0.000771184	0.00194932	skin;blood;intestinal;immune	IBD_common_FDR
crohn	ibd_direction_heterogeneity	908	5	158484776	159663733	Tier 1	primary_coloc	positive_local_rg	0.381768	3.5802e-12	0.487801	3.4336e-12	2.0601599999999998e-11	0.0176689	0.00603106	skin;blood;intestinal;immune	IBD_common_FDR
crohn	ibd_direction_heterogeneity	906	5	156345452	157191081	Tier 1	primary_coloc	positive_local_rg	0.646783	0.000100665	0.79381	0.000446125	0.0007647857142857	0.000977245	0.00125392	skin;blood;intestinal;immune	IBD_positive_FDR
crohn	ibd_direction_heterogeneity	2194	17	21432874	25872110	Tier 1	primary_coloc	positive_local_rg	0.614846	0.00110532	0.656794	0.00382668	0.00510224	0.000756303	0.0011661	skin;blood;intestinal;immune	IBD_positive_FDR
crohn	ibd_direction_heterogeneity	10	1	7711795	8580987	Tier 1	primary_coloc	positive_local_rg	0.524013	0.000568302	0.455611	0.0115808	0.01389696	0.0011449	0.00187838	skin;blood;intestinal;immune	IBD_positive_FDR
crohn	ibd_direction_heterogeneity	2274	18	45718493	46558306	Tier 2	sensitivity_coloc	negative_local_rg	-0.464527	0.00801789	-0.587194	0.0611877	0.0611876999999999	0.000538918	0.00135819	skin;blood;intestinal;immune	IBD_common_FDR
psa	positive_control_near_neighbor	908	5	158484776	159663733	Tier 1	primary_coloc	positive_local_rg	0.944787	9.905359999999999e-87	0.998505	8.60492e-54	8.60492e-53	0.0178143	0.0121834	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	1041	6	111363444	112342873	Tier 1	primary_coloc	positive_local_rg	1.0	6.3568e-28	1.0	7.34354e-27	3.67177e-26	0.00487118	0.00708234	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	26	1	23907046	25885138	Tier 1	primary_coloc	positive_local_rg	0.753912	3.24703e-20	0.951302	5.64386e-14	1.739235e-13	0.00436314	0.00478642	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	primary_coloc	positive_local_rg	0.930798	7.90775e-20	0.970272	6.95694e-14	1.739235e-13	0.00422614	0.00469815	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	57	1	66778016	67761890	Tier 1	primary_coloc	positive_local_rg	0.740363	1.63648e-18	0.774197	1.09684e-13	2.19368e-13	0.00420411	0.00644526	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	899	5	149850204	150981934	Tier 1	primary_coloc	positive_local_rg	0.939633	3.44427e-16	1.0	9.69929e-12	1.6165483333333334e-11	0.00460447	0.00280643	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	347	2	161432090	163607635	Tier 1	primary_coloc	positive_local_rg	0.847701	3.43009e-14	0.891761	1.89141e-11	2.7020142857142854e-11	0.00401131	0.00399887	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	2195	17	25872111	27344401	Tier 1	primary_coloc	positive_local_rg	0.815946	1.04082e-15	0.842301	3.88019e-11	4.8502375e-11	0.00322476	0.0046406	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	primary_coloc	positive_local_rg	0.921791	2.14477e-11	0.986089	9.58204e-10	1.0646711111111112e-09	0.00255943	0.00300612	skin;blood_immune	PsA_top10_positive_control
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	primary_coloc	positive_local_rg	0.807433	2.06446e-13	0.681052	6.34927e-08	6.34927e-08	0.00283939	0.00484166	skin;blood_immune	PsA_top10_positive_control
uc	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	primary_coloc	negative_local_rg	-0.689577	7.62106e-25	-0.721601	5.2686899999999997e-20	5.26869e-19	0.00420323	0.00727619	skin;blood;intestinal;immune	IBD_common_FDR
uc	ibd_direction_heterogeneity	2251	18	12735559	13641479	Tier 1	primary_coloc	negative_local_rg	-0.762875	1.8838e-08	-0.869378	2.68354e-05	6.70885e-05	0.00123059	0.00135574	skin;blood;intestinal;immune	IBD_common_FDR
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	primary_coloc	negative_local_rg	-0.648811	2.05832e-05	-0.648616	0.000599561	0.001199122	0.000599458	0.00316205	skin;blood;intestinal;immune	IBD_negative_FDR
uc	ibd_direction_heterogeneity	1037	6	106053916	107309327	Tier 1	primary_coloc	negative_local_rg	-0.502087	0.000100705	-0.624744	0.00212469	0.00354115	0.000962222	0.00220898	skin;blood;intestinal;immune	IBD_negative_FDR
uc	ibd_direction_heterogeneity	58	1	67761891	68633860	Tier 1	primary_coloc	negative_local_rg	-0.542258	0.000341771	-0.525211	0.00589595	0.0084227857142857	0.000746468	0.00247091	skin;blood;intestinal;immune	IBD_common_FDR
uc	ibd_direction_heterogeneity	2274	18	45718493	46558306	Tier 1	primary_coloc	negative_local_rg	-0.714215	0.000161012	-0.787449	0.0217791	0.0272238749999999	0.000538918	0.000968427	skin;blood;intestinal;immune	IBD_common_FDR
uc	ibd_direction_heterogeneity	2453	21	39252060	40480831	Tier 1	primary_coloc	negative_local_rg	-0.343444	0.00155229	-0.41956	0.0272698	0.0302997777777777	0.000771184	0.00355191	skin;blood;intestinal;immune	IBD_common_FDR
uc	ibd_direction_heterogeneity	347	2	161432090	163607635	Tier 1	primary_coloc	positive_local_rg	0.828549	1.38312e-09	1.0	2.01196e-07	1.00598e-06	0.00410098	0.000808995	skin;blood;intestinal;immune	IBD_positive_FDR
uc	ibd_direction_heterogeneity	908	5	158484776	159663733	Tier 1	primary_coloc	positive_local_rg	0.39234	5.27572e-08	0.463328	1.84998e-06	6.1665999999999995e-06	0.0176689	0.00263266	skin;blood;intestinal;immune	IBD_common_FDR
uc	ibd_direction_heterogeneity	2412	20	48212976	49236418	Tier 2	sensitivity_coloc	positive_local_rg	0.371566	0.00728075	0.301073	0.124137	0.1241369999999999	0.00214989	0.000995173	skin;blood;intestinal;immune	IBD_positive_FDR
