phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	h2_psoriasis	h2_outcome	fdr_within_outcome	z_approx	se_approx	direction	pair_scope
cad	psoriasis	-0.221208	NA	NA	0.0489329	NA	NA	0.196225	970	6	33864263	34979270	cad	1.16415e-07	1.52199e-11	0.000809173	0.000206584	0.402388	1.29238167392288	0.171163058455129	negative	primary_systemic
cad	psoriasis	-0.0232708	NA	NA	0.000541531	NA	NA	0.86052	47	1	54771294	55727134	cad	2.90753e-09	6.32499e-21	0.00125895	0.000423175	0.925141261261261	0.175712263919435	0.132436970994066	negative	primary_systemic
cad	psoriasis	-0.433126	NA	NA	0.187598	NA	NA	0.00236532	101	1	114664388	116207297	cad	7.55447e-08	1.97952e-18	0.0011449	0.000396881	0.0253734327272727	3.04005875507608	0.142472904274233	negative	primary_systemic
cad	psoriasis	-0.239425	NA	NA	0.0573243	NA	NA	0.112689	110	1	151146408	152535630	cad	1.74049e-13	1.0364e-09	0.00136358	0.000200235	0.294992304347826	1.5862218186938	0.150940427863462	negative	primary_systemic
cad	psoriasis	0.650751	NA	NA	0.423477	NA	NA	5.23986e-08	347	2	161432090	163607635	cad	1.99414e-67	4.67602e-08	0.00495075	0.00018963	6.1830348e-06	5.44297297160229	0.119558006882484	positive	primary_systemic
cad	psoriasis	0.147587	NA	NA	0.0217821	NA	NA	0.368875	97	1	110224231	111134062	cad	1.06679e-09	8.56855e-08	0.00132923	0.000211281	0.57272697368421	0.898582656725159	0.164244211587472	positive	primary_systemic
cad	psoriasis	0.158615	NA	NA	0.0251587	NA	NA	0.312632	2182	17	8554764	9619356	cad	1.49227e-10	3.93879e-08	0.00149963	0.000232153	0.512369111111111	1.00971469497625	0.157088928970902	positive	primary_systemic
cad	psoriasis	-0.364552	NA	NA	0.132898	NA	NA	0.0258666	438	3	16084006	17182494	cad	6.51113e-12	8.44855e-07	0.00150708	0.00018825	0.117394569230769	2.22820871785357	0.163607653573482	negative	primary_systemic
cad	psoriasis	0.110121	NA	NA	0.0121267	NA	NA	0.494142	269	2	62429911	63672118	cad	2.28759e-11	1.63731e-08	0.00123011	0.0001866	0.70251513253012	0.683735820302255	0.161057819014542	positive	primary_systemic
cad	psoriasis	-0.430999	NA	NA	0.18576	NA	NA	0.00447322	431	3	8664893	9970731	cad	5.64969e-12	7.31928e-08	0.00177262	0.0002468	0.0351893306666667	2.84270680395557	0.151615706340265	negative	primary_systemic
cad	psoriasis	0.374403	NA	NA	0.140177	NA	NA	0.00891747	893	5	141253831	142532956	cad	8.19548e-10	8.41244e-13	0.00143954	0.000322615	0.052613073	2.61520199655199	0.14316408464571	positive	primary_systemic
cad	psoriasis	0.533419	NA	NA	0.284536	NA	NA	0.000743627	1913	13	73114510	74437635	cad	5.72218e-07	1.65884e-13	0.00106366	0.000321619	0.0087747986	3.37296760890823	0.158145307589437	positive	primary_systemic
cad	psoriasis	0.265016	NA	NA	0.0702334	NA	NA	0.0707691	126	1	168179087	169521551	cad	2.49293e-09	5.30138e-13	0.0012799	0.000305584	0.228319085	1.80695625606538	0.146664314152833	positive	primary_systemic
cad	psoriasis	0.378708	NA	NA	0.143419	NA	NA	0.0108235	785	5	9203856	10549029	cad	1.85604e-13	8.33268e-08	0.00192815	0.000244651	0.0580533181818182	2.54834620150595	0.148609321518482	positive	primary_systemic
cad	psoriasis	0.137111	NA	NA	0.0187995	NA	NA	0.244013	2351	19	45040933	45893307	cad	7.46665e-08	5.39079e-69	0.0010151	0.000944825	0.42975423880597	1.16501480518735	0.117690349847486	positive	primary_systemic
cad	psoriasis	-0.0319412	NA	NA	0.00102024	NA	NA	0.800296	2450	21	35729262	37303548	cad	6.8675e-23	2.13973e-09	0.00265154	0.000266745	0.910894819047619	0.252964041967552	0.12626774837863	negative	primary_systemic
cad	psoriasis	0.036886	NA	NA	0.00136058	NA	NA	0.827983	1191	7	105312564	106399739	cad	5.28487e-08	3.84712e-08	0.00120068	0.000228441	0.913102747663551	0.217289165599518	0.169755357558802	positive	primary_systemic
cad	psoriasis	0.457099	NA	NA	0.208939	NA	NA	0.0103237	313	2	121073753	122026817	cad	1.18581e-08	1.3065e-06	0.00124252	0.000188344	0.0580093619047619	2.56479425858481	0.178220533077852	positive	primary_systemic
cad	psoriasis	0.114536	NA	NA	0.0131185	NA	NA	0.479424	155	1	201067953	202583884	cad	5.85234e-08	6.32144e-09	0.00129235	0.000264357	0.689902829268293	0.707229288954548	0.161950306341683	positive	primary_systemic
cad	psoriasis	0.312712	NA	NA	0.0977885	NA	NA	0.0749572	2138	16	57119890	58508978	cad	6.53849e-08	6.00455e-07	0.00124652	0.000212579	0.228319085	1.78072614386625	0.17560925978267	positive	primary_systemic
cad	psoriasis	0.631202	NA	NA	0.398415	NA	NA	6.82732e-05	113	1	154685546	156813845	cad	4.94652e-10	1.14644e-08	0.00142872	0.000241219	0.00161124752	3.98222465084985	0.1585048698509	positive	primary_systemic
cad	psoriasis	-0.251481	NA	NA	0.0632426	NA	NA	0.046814	907	5	157191082	158484775	cad	2.02845e-47	2.00674e-07	0.00377104	0.000183256	0.178195225806452	1.9879791135243	0.126500826034421	negative	primary_systemic
cad	psoriasis	-0.245458	NA	NA	0.0602495	NA	NA	0.0702053	2449	21	34383795	35729261	cad	1.27602e-08	1.40431e-20	0.00122774	0.000428847	0.228319085	1.81058381127045	0.135568427416661	negative	primary_systemic
cad	psoriasis	-0.101912	NA	NA	0.010386	NA	NA	0.5581	88	1	101188316	102424611	cad	3.85963e-07	8.97541e-09	0.00100654	0.000219939	0.774774117647059	0.585665979925737	0.174010448776489	negative	primary_systemic
cad	psoriasis	0.0476656	NA	NA	0.00227201	NA	NA	0.73049	1852	12	124843769	126079935	cad	7.02877e-07	3.16732e-22	0.00118085	0.000505722	0.872588545454545	0.344473795085108	0.138372209091328	positive	primary_systemic
cad	psoriasis	-0.146641	NA	NA	0.0215036	NA	NA	0.403726	945	6	21295865	22199713	cad	1.79207e-08	5.58629e-07	0.00116705	0.000188137	0.603033772151899	0.834985273585372	0.175621061399482	negative	primary_systemic
cad	psoriasis	0.219626	NA	NA	0.0482357	NA	NA	0.241761	1544	10	62626466	64069687	cad	2.01637e-07	1.05199e-06	0.000968614	0.000168854	0.42975423880597	1.17059651204925	0.18761887442798	positive	primary_systemic
cad	psoriasis	-0.482192	NA	NA	0.23251	NA	NA	0.0030925	652	4	55681702	57103100	cad	9.79296e-11	9.19947e-08	0.00137954	0.000203397	0.0262436214285714	2.95839059017408	0.162991324269872	negative	primary_systemic
cad	psoriasis	0.318146	NA	NA	0.101217	NA	NA	0.0907605	2181	17	7264459	8554763	cad	1.22838e-07	3.95335e-06	0.00110038	0.000174611	0.261213146341463	1.69139964531849	0.188096291069101	positive	primary_systemic
cad	psoriasis	-0.364219	NA	NA	0.132656	NA	NA	0.0353242	584	3	186602046	187939199	cad	7.4088e-07	2.62802e-08	0.00115731	0.000251451	0.148866271428571	2.1046222872873	0.173056705804181	negative	primary_systemic
cad	psoriasis	0.0360557	NA	NA	0.00130001	NA	NA	0.786988	2162	16	81437862	82310204	cad	6.07638e-07	5.692e-28	0.00113795	0.000570305	0.910437098039216	0.270223908933171	0.133428977999563	positive	primary_systemic
cad	psoriasis	0.0703781	NA	NA	0.00495307	NA	NA	0.687002	2369	20	60795	884241	cad	4.71701e-08	5.77767e-07	0.00128296	0.000214237	0.846753402061856	0.402926902127777	0.174667165752267	positive	primary_systemic
cad	psoriasis	-0.227172	NA	NA	0.0516073	NA	NA	0.200754	2314	19	6455429	7249359	cad	5.34193e-07	5.78659e-08	0.00107374	0.000215232	0.402388	1.27940634686082	0.177560476042184	negative	primary_systemic
cad	psoriasis	-0.176434	NA	NA	0.031129	NA	NA	0.303378	2094	15	94565522	95662425	cad	6.45605e-07	1.63158e-08	0.00117106	0.000255973	0.504205690140845	1.02921639453908	0.171425563113978	negative	primary_systemic
cad	psoriasis	0.529898	NA	NA	0.280792	NA	NA	0.000138639	2471	22	26166935	27192923	cad	1.34176e-24	1.52013e-06	0.00277758	0.000204006	0.00233705742857143	3.81058381059779	0.139059531646116	positive	primary_systemic
cad	psoriasis	-0.0352321	NA	NA	0.0012413	NA	NA	0.837543	938	6	15069422	16566882	cad	2.3638e-07	3.19419e-08	0.00113229	0.000231598	0.915093277777778	0.205037278078559	0.171832655652505	negative	primary_systemic
cad	psoriasis	0.0657872	NA	NA	0.00432796	NA	NA	0.732087	2106	16	4816146	5782968	cad	3.33019e-06	1.77873e-06	0.00100084	0.000193683	0.872588545454545	0.3423506800424	0.192163193576401	positive	primary_systemic
cad	psoriasis	0.444971	NA	NA	0.197999	NA	NA	0.00699953	2095	15	95662426	96864278	cad	1.26906e-07	2.57783e-09	0.00122495	0.000266107	0.0458858077777778	2.69686662109624	0.164995553179832	positive	primary_systemic
cad	psoriasis	-0.0285103	NA	NA	0.000812837	NA	NA	0.866949	1671	11	60515106	61717117	cad	1.18048e-06	1.83222e-10	0.000955406	0.000249647	0.925141261261261	0.167535140656702	0.170175044401107	negative	primary_systemic
cad	psoriasis	0.365317	NA	NA	0.133457	NA	NA	0.029232	638	4	37880861	38984838	cad	1.0782e-06	2.78938e-10	0.0010491	0.000271737	0.127754666666667	2.18034361967272	0.167550195622301	positive	primary_systemic
cad	psoriasis	-0.234862	NA	NA	0.0551602	NA	NA	0.169214	1740	12	60317	1078397	cad	2.26007e-07	3.0251e-09	0.00103664	0.000229817	0.369763925925926	1.37473376239552	0.17084180691885	negative	primary_systemic
cad	psoriasis	0.315156	NA	NA	0.0993234	NA	NA	0.076086	2022	14	95946793	97174314	cad	1.6265e-06	3.23293e-08	0.0010792	0.000240204	0.228319085	1.77386187703271	0.177666595173232	positive	primary_systemic
cad	psoriasis	0.183374	NA	NA	0.0336261	NA	NA	0.338114	1223	7	149843000	150897818	cad	1.69535e-06	3.39727e-07	0.000857546	0.000175014	0.537578106666667	0.957898386817136	0.191433666162971	positive	primary_systemic
cad	psoriasis	0.044596	NA	NA	0.00198881	NA	NA	0.809784	2220	17	62112374	63548724	cad	3.29268e-08	1.3554e-06	0.00102382	0.000160289	0.910894819047619	0.240704694823326	0.185272663803807	positive	primary_systemic
cad	psoriasis	0.273444	NA	NA	0.0747714	NA	NA	0.153227	2050	15	40604781	42332685	cad	2.19712e-06	2.07775e-07	0.000859409	0.000181283	0.354525215686275	1.42822537204596	0.191457178504179	positive	primary_systemic
cad	psoriasis	0.239153	NA	NA	0.0571941	NA	NA	0.230522	2076	15	74458114	76401952	cad	3.41366e-06	2.0073e-06	0.000838615	0.00016175	0.42975423880597	1.19901529083038	0.199457839969975	positive	primary_systemic
cad	psoriasis	0.840885	NA	NA	0.707088	NA	NA	1.22569e-06	1215	7	138755108	140217630	cad	1.0113e-06	8.60972e-10	0.0010378	0.000257363	7.231571e-05	4.85143885257546	0.173326929505378	positive	primary_systemic
cad	psoriasis	-0.0248515	NA	NA	0.000617595	NA	NA	0.87026	2072	15	69089816	70767983	cad	2.27027e-10	7.25502e-09	0.00154866	0.000258756	0.925141261261261	0.163328240168183	0.152156785467166	negative	primary_systemic
cad	psoriasis	0.0835267	NA	NA	0.0069767	NA	NA	0.582463	1965	14	32382246	33591113	cad	1.06967e-06	1.98907e-14	0.00114095	0.000369777	0.79891832183908	0.549790609815465	0.151924566387257	positive	primary_systemic
cad	psoriasis	-0.00981486	NA	NA	9.63315e-05	NA	NA	0.950246	2469	22	23950733	25282436	cad	1.37379e-06	8.83718e-17	0.000880249	0.000329427	0.966629551724138	0.0623978588869302	0.15729482028839	negative	primary_systemic
cad	psoriasis	0.239851	NA	NA	0.0575284	NA	NA	0.151707	2135	16	53393883	54866095	cad	3.32763e-09	4.82706e-07	0.00143011	0.000220662	0.354525215686275	1.43352801047334	0.167315182017827	positive	primary_systemic
cad	psoriasis	-0.0689767	NA	NA	0.00475778	NA	NA	0.695852	2422	20	56951774	57924037	cad	4.82018e-09	2.15496e-06	0.00128068	0.000185322	0.846753402061856	0.390925912042315	0.17644443070976	negative	primary_systemic
cad	psoriasis	0.353362	NA	NA	0.124864	NA	NA	0.0626096	1424	9	78630916	79451035	cad	7.57449e-07	2.61511e-06	0.00105614	0.000187302	0.217292141176471	1.8619538187381	0.189780217126698	positive	primary_systemic
cad	psoriasis	-0.207313	NA	NA	0.0429788	NA	NA	0.251979	2284	18	55809316	56832312	cad	2.32232e-07	3.52041e-07	0.00104569	0.000193746	0.437257676470588	1.14555578714755	0.1809715444031	negative	primary_systemic
cad	psoriasis	0.264122	NA	NA	0.0697606	NA	NA	0.13427	2048	15	37962916	39238840	cad	1.24664e-08	1.16836e-06	0.00125614	0.000193895	0.323344081632653	1.49747386891295	0.176378369922229	positive	primary_systemic
cad	psoriasis	-0.302767	NA	NA	0.0916676	NA	NA	0.0773963	1554	10	72659224	73514214	cad	2.3798e-07	2.84917e-08	0.00116187	0.000238981	0.228319085	1.76599731099157	0.171442503403362	negative	primary_systemic
cad	psoriasis	0.189323	NA	NA	0.0358432	NA	NA	0.341681	2169	16	86748868	87669168	cad	1.60217e-06	2.42954e-05	0.00110271	0.000175954	0.537578106666667	0.950849067585726	0.199109413316989	positive	primary_systemic
cad	psoriasis	-0.0381147	NA	NA	0.00145273	NA	NA	0.810542	1073	6	150635316	151629954	cad	1.49675e-06	1.08661e-12	0.0010703	0.000325011	0.910894819047619	0.239726873861802	0.158992187175362	negative	primary_systemic
cad	psoriasis	0.0247879	NA	NA	0.000614441	NA	NA	0.891201	251	2	45850048	46499326	cad	3.79871e-06	3.0367e-08	0.000983232	0.000231556	0.93507585840708	0.136784671655228	0.181218404811316	positive	primary_systemic
cad	psoriasis	0.692959	NA	NA	0.480191	NA	NA	8.38759e-05	1850	12	121817510	123396634	cad	1.19259e-12	4.14676e-06	0.00134113	0.000143914	0.00164955936666667	3.9330467984175	0.176188851929964	positive	primary_systemic
cad	psoriasis	0.115829	NA	NA	0.0134162	NA	NA	0.524905	1846	12	117091844	118256124	cad	3.06747e-08	4.7713e-06	0.00123941	0.000182907	0.737366547619048	0.635802742078393	0.182177572278728	positive	primary_systemic
cad	psoriasis	0.145597	NA	NA	0.0211984	NA	NA	0.213956	926	6	63979	1380679	cad	1.56186e-65	1.66196e-06	0.00571835	0.000212951	0.420780133333333	1.24276077736749	0.117156095244988	positive	primary_systemic
cad	psoriasis	-0.465255	NA	NA	0.216462	NA	NA	0.00689357	1873	13	28587126	30068525	cad	6.4308e-06	3.96374e-11	0.000956688	0.000285748	0.0458858077777778	2.70194241713835	0.172192788805898	negative	primary_systemic
cad	psoriasis	0.160117	NA	NA	0.0256376	NA	NA	0.288688	603	4	5972710	7135819	cad	1.75763e-12	1.38347e-07	0.00185767	0.000242516	0.486645485714286	1.06100418339971	0.150910809311747	positive	primary_systemic
cad	psoriasis	0.0738122	NA	NA	0.00544824	NA	NA	0.69606	1072	6	149278799	150635315	cad	8.51313e-06	5.20374e-08	0.000851137	0.000205518	0.846753402061856	0.390644537694569	0.188949781393619	positive	primary_systemic
cad	psoriasis	-0.401826	NA	NA	0.161464	NA	NA	0.0253715	2482	22	37364005	38718589	cad	1.4411e-09	1.34055e-05	0.00138713	0.000173711	0.117394569230769	2.23569891748803	0.179731714703105	negative	primary_systemic
cad	psoriasis	0.461416	NA	NA	0.212905	NA	NA	0.000622464	2412	20	48212976	49236418	cad	8.79524e-40	7.11555e-07	0.00327176	0.000170016	0.00816119466666667	3.42163244277907	0.13485259089525	positive	primary_systemic
cad	psoriasis	-0.0146935	NA	NA	0.000215899	NA	NA	0.927611	1493	10	6234719	6897037	cad	2.09285e-14	5.02961e-06	0.00175113	0.000172709	0.960158754385965	0.0908509816693173	0.161731879282075	negative	primary_systemic
cad	psoriasis	0.231796	NA	NA	0.0537292	NA	NA	0.114997	1733	11	128262551	129451784	cad	6.52171e-25	1.10359e-05	0.00261103	0.000169044	0.294992304347826	1.57612499387914	0.147067016194893	positive	primary_systemic
cad	psoriasis	0.0824117	NA	NA	0.00679169	NA	NA	0.659692	974	6	38688721	39785907	cad	1.08439e-05	2.54826e-08	0.000861	0.000216966	0.831739319148936	0.440338445132474	0.187155359499003	positive	primary_systemic
cad	psoriasis	0.0710958	NA	NA	0.00505461	NA	NA	0.62311	854	5	95117260	96467377	cad	1.68894e-30	8.22276e-06	0.00280782	0.000156881	0.807988791208791	0.49144746541523	0.14466612405851	positive	primary_systemic
cad	psoriasis	0.287102	NA	NA	0.0824278	NA	NA	0.102647	221	2	15721704	17241115	cad	5.91951e-07	5.89794e-08	0.00112724	0.000233659	0.275312772727273	1.63215422988852	0.175903719601063	positive	primary_systemic
cad	psoriasis	0.55964	NA	NA	0.313197	NA	NA	0.00035624	1732	11	127306872	128262550	cad	1.87706e-17	4.88697e-07	0.00172171	0.000164616	0.00525454	3.57054444439307	0.156738001365259	positive	primary_systemic
cad	psoriasis	0.548431	NA	NA	0.300777	NA	NA	0.00311365	275	2	68877775	70756283	cad	4.14981e-08	4.74878e-06	0.00117805	0.000177555	0.0262436214285714	2.95628918938286	0.18551331242208	positive	primary_systemic
cad	psoriasis	-0.0521761	NA	NA	0.00272235	NA	NA	0.753396	581	3	183203156	184524268	cad	1.02247e-10	1.09072e-06	0.00148477	0.000198078	0.88900728	0.314164636335938	0.166078845182969	negative	primary_systemic
cad	psoriasis	-0.237763	NA	NA	0.0565313	NA	NA	0.176746	2274	18	45718493	46558306	cad	2.70358e-06	5.04536e-09	0.00100177	0.000247348	0.379200509090909	1.35084215863943	0.176010941381541	negative	primary_systemic
cad	psoriasis	-0.180195	NA	NA	0.0324703	NA	NA	0.123123	936	6	11790672	13352326	cad	1.67876e-06	1.17044e-84	0.00103771	0.00122509	0.309117319148936	1.54179671748876	0.116873384121285	negative	primary_systemic
cad	psoriasis	0.443033	NA	NA	0.196278	NA	NA	0.00663979	1353	8	128073655	129291118	cad	8.33613e-06	5.29368e-13	0.00101564	0.000344059	0.0458858077777778	2.71439023524401	0.163216399118888	positive	primary_systemic
cad	psoriasis	0.391028	NA	NA	0.152903	NA	NA	0.0207341	1267	8	21650454	22895018	cad	3.56023e-07	3.85368e-09	0.00113006	0.000253345	0.101942658333333	2.31279159726139	0.169071869883574	positive	primary_systemic
cad	psoriasis	0.193088	NA	NA	0.0372829	NA	NA	0.341189	2165	16	83778372	84440154	cad	2.94419e-06	3.25926e-05	0.0010863	0.000177338	0.537578106666667	0.951818574971335	0.202862189368195	positive	primary_systemic
cad	psoriasis	0.0993577	NA	NA	0.00987195	NA	NA	0.589033	271	2	64696090	65938002	cad	1.63506e-08	7.92954e-06	0.00119789	0.000167806	0.79891832183908	0.540237868915489	0.183914726673007	positive	primary_systemic
cad	psoriasis	0.103205	NA	NA	0.0106514	NA	NA	0.605021	40	1	43512670	45167235	cad	3.22618e-06	6.65479e-06	0.00091769	0.000166063	0.807988791208791	0.517193627550397	0.199548088960055	positive	primary_systemic
cad	psoriasis	0.0969723	NA	NA	0.00940364	NA	NA	0.662572	2379	20	9279551	10279603	cad	2.22718e-05	0.000107389	0.000871643	0.000146462	0.831739319148936	0.436364901604008	0.222227543149197	positive	primary_systemic
cad	psoriasis	0.00704055	NA	NA	4.95694e-05	NA	NA	0.968424	768	4	184338585	185483262	cad	1.4716e-05	1.76781e-09	0.000989895	0.000276978	0.976701128205128	0.0395849828562281	0.177859114542783	positive	primary_systemic
cad	psoriasis	0.0749723	NA	NA	0.00562084	NA	NA	0.653399	1555	10	73514215	75694023	cad	1.89521e-18	1.26806e-05	0.00170815	0.000128131	0.831739319148936	0.449045270258973	0.166959335651753	positive	primary_systemic
cad	psoriasis	-0.136451	NA	NA	0.0186188	NA	NA	0.446853	2167	16	85146806	86058597	cad	2.30889e-08	4.42962e-06	0.00132821	0.000193987	0.650971037037037	0.760672004935653	0.179382176699855	negative	primary_systemic
cad	psoriasis	0.024632	NA	NA	0.000606736	NA	NA	0.895454	781	5	4636543	5828694	cad	1.84766e-07	9.2378e-06	0.00120507	0.000185292	0.93507585840708	0.131406180156926	0.18744932674083	positive	primary_systemic
cad	psoriasis	-0.288239	NA	NA	0.0830815	NA	NA	0.102659	335	2	144503689	145977920	cad	2.24664e-05	2.78904e-13	0.000718228	0.000269829	0.275312772727273	1.63209725473774	0.176606509914335	negative	primary_systemic
cad	psoriasis	-0.0901911	NA	NA	0.00813444	NA	NA	0.620409	1389	9	14244748	14902924	cad	1.03049e-05	1.13407e-08	0.000956913	0.00024284	0.807988791208791	0.495270771433499	0.182104628825467	negative	primary_systemic
cad	psoriasis	0.136945	NA	NA	0.018754	NA	NA	0.419278	2355	19	48573066	49415189	cad	2.9957e-11	1.40703e-06	0.00132778	0.000164268	0.61843505	0.807674477197092	0.169554695445183	positive	primary_systemic
cad	psoriasis	0.297117	NA	NA	0.0882783	NA	NA	0.130055	915	5	166863414	168342743	cad	1.1045e-05	1.96397e-06	0.0010023	0.00020691	0.319718541666667	1.51388503615199	0.196261270112832	positive	primary_systemic
cad	psoriasis	-0.329435	NA	NA	0.108527	NA	NA	0.0623808	2232	17	75619257	76596287	cad	1.60527e-09	8.80922e-06	0.00142838	0.000183551	0.217292141176471	1.86357934844104	0.176775408181887	negative	primary_systemic
cad	psoriasis	0.219678	NA	NA	0.0482585	NA	NA	0.275331	2231	17	74908267	75619256	cad	5.16615e-06	7.84663e-06	0.000958667	0.000174969	0.470855913043478	1.09086793092484	0.201379098030462	positive	primary_systemic
cad	psoriasis	-0.321821	NA	NA	0.103569	NA	NA	0.099827	2039	15	26392948	27563172	cad	4.58652e-07	1.98791e-05	0.00110566	0.000168348	0.275312772727273	1.64569290743615	0.195553495154433	negative	primary_systemic
cad	psoriasis	0.222944	NA	NA	0.0497039	NA	NA	0.234949	1856	12	128372589	129170296	cad	6.03075e-07	2.54317e-06	0.00112845	0.000193423	0.42975423880597	1.18770665740659	0.187709649187964	positive	primary_systemic
cad	psoriasis	-0.406173	NA	NA	0.164977	NA	NA	0.00835235	1037	6	106053916	107309327	cad	3.3194e-13	2.34416e-07	0.001733	0.000214197	0.0518724894736842	2.63748426648655	0.154000160365344	negative	primary_systemic
cad	psoriasis	0.159644	NA	NA	0.0254861	NA	NA	0.393804	897	5	147180172	148662214	cad	1.53758e-07	4.1623e-06	0.00109904	0.000174551	0.596320564102564	0.852739104962082	0.187213180527353	positive	primary_systemic
cad	psoriasis	0.0536108	NA	NA	0.00287412	NA	NA	0.770673	1119	7	20122180	21390644	cad	1.09713e-05	2.34171e-08	0.000949183	0.000239318	0.900390237623762	0.2914946957691	0.183916897213342	positive	primary_systemic
cad	psoriasis	-0.00269645	NA	NA	7.27086e-06	NA	NA	0.98872	1568	10	88443653	89971628	cad	1.81247e-05	8.68098e-09	0.000767698	0.00020882	0.98872	0.0141378544313295	0.19072554559797	negative	primary_systemic
