axis	program_type	cell_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type
F1	EXTENDED	keratinocyte	5	0.025194803531747207	0.01647094562960118	0.03391866143389323	0.09090909090909091	0.3636363636363636
F1	EXTENDED	mast_cell	5	-0.033861717031081914	-0.03680326412645829	-0.030854628646277492	0.09090909090909091	0.3636363636363636
F1	EXTENDED	melanocyte	5	-0.011667989383535377	-0.020044266847128706	-0.0019903374540652164	0.15151515151515152	0.38277511961722493
F1	EXTENDED	myeloid_monocyte	5	-0.022710167626496202	-0.03660695029117523	-0.002809950540979994	0.15151515151515152	0.38277511961722493
F1	EXTENDED	pericyte_smooth_muscle	5	-0.0021315935949470345	-0.011307614956710694	0.007189332463546744	0.8787878787878788	0.897485493230174
F1	EXTENDED	unassigned	3	-0.04952097839877349	-0.06804785745107302	-0.024087126095362496	0.3333333333333333	0.48484848484848486
F2	CORE	B_cell	5	-0.01742308863855932	-0.0297291748023638	-0.0056176069443759965	0.09090909090909091	0.3636363636363636
F2	CORE	NK_cell	5	0.014833296551886463	0.0003129721699097643	0.03159155294619505	0.21212121212121213	0.42424242424242425
F2	CORE	T_cell	5	0.006153342114519808	-0.011227640465790417	0.024593379140057277	0.6363636363636364	0.8038277511961723
F2	CORE	dendritic	5	-0.00953292752553186	-0.01744681873315742	-0.0003171785082276446	0.21212121212121213	0.42424242424242425
F2	CORE	endothelial	5	0.002474981198173673	-0.004041910333789084	0.009146239884918889	0.6363636363636364	0.8038277511961723
F2	CORE	fibroblast	5	-0.0032580129987681617	-0.012953218299452774	0.007062723165586049	0.5757575757575758	0.7896103896103898
F2	CORE	keratinocyte	5	0.015206855202556652	0.010133914488102172	0.02027979591701113	0.09090909090909091	0.3636363636363636
F2	CORE	mast_cell	5	-0.025091961726087898	-0.03267698032149957	-0.01869322438414333	0.09090909090909091	0.3636363636363636
F2	CORE	melanocyte	5	-0.007221857296835549	-0.013251599576711941	-0.0002437108113259645	0.21212121212121213	0.42424242424242425
F2	CORE	myeloid_monocyte	5	-0.01627756955691781	-0.02708503700047899	-0.00018257167643439265	0.15151515151515152	0.42424242424242425
F2	CORE	pericyte_smooth_muscle	5	0.008890418581604071	0.00029650201409882614	0.017484335149109315	0.2727272727272727	0.4675324675324675
F2	CORE	unassigned	3	-0.02471991588927667	-0.03161359757684195	-0.020429925300213564	0.3333333333333333	0.5161290322580645
F2	EXTENDED	B_cell	5	-0.025793867256988234	-0.03824206964519881	-0.013345664868777668	0.09090909090909091	0.3636363636363636
F2	EXTENDED	NK_cell	5	0.004042357069634716	-0.009616609128873809	0.02122374619148323	0.7575757575757576	0.808080808080808
F2	EXTENDED	T_cell	5	0.0036223360029437298	-0.0101214513564007	0.019196504784106106	0.696969696969697	0.808080808080808
F2	EXTENDED	dendritic	5	-0.01167155907678658	-0.016395501890217008	-0.005005835956866234	0.15151515151515152	0.38277511961722493
F2	EXTENDED	endothelial	5	-0.0010137672915843416	-0.006573636550426976	0.005034245493162276	0.7575757575757576	0.808080808080808
F2	EXTENDED	fibroblast	5	-0.0068259082672429364	-0.018028380030323216	0.004376563495837343	0.3939393939393939	0.5252525252525252
F2	EXTENDED	keratinocyte	5	0.013553989220689375	0.007663212660278518	0.01878452877613129	0.09090909090909091	0.3636363636363636
F2	EXTENDED	mast_cell	5	-0.02570637552113465	-0.028551133187399564	-0.022843096070672184	0.09090909090909091	0.3636363636363636
F2	EXTENDED	melanocyte	5	-0.011657602387040573	-0.01806292902857687	-0.00338084403458655	0.15151515151515152	0.38277511961722493
F2	EXTENDED	myeloid_monocyte	5	-0.020018865790910865	-0.02851107266314664	-0.006906359177234473	0.15151515151515152	0.38277511961722493
F2	EXTENDED	pericyte_smooth_muscle	5	0.0033155798505085767	-0.003972434678476905	0.010603594379494059	0.45454545454545453	0.5896805896805897
F2	EXTENDED	unassigned	3	-0.031721077561942576	-0.04481519485361899	-0.0183705225024879	0.3333333333333333	0.48484848484848486
F6	CORE	B_cell	5	-0.0023861859848738733	-0.02105612417415336	0.016283752204405616	0.9393939393939394	0.9802371541501976
F6	CORE	NK_cell	5	0.04842637449705186	0.00756602443583781	0.08773822067458212	0.21212121212121213	0.42424242424242425
F6	CORE	T_cell	5	0.017710084642668534	-0.01754294971043635	0.05910187226637355	0.5757575757575758	0.7896103896103898
F6	CORE	dendritic	5	-0.02822957207164397	-0.05504571956470487	0.006026454607992028	0.21212121212121213	0.42424242424242425
F6	CORE	endothelial	5	-0.0019436723080040186	-0.018709163928521032	0.016343768041794125	0.8787878787878788	0.9586776859504131
F6	CORE	fibroblast	5	-0.006472207963651444	-0.030437145158526756	0.019662021909788628	0.6363636363636364	0.8038277511961723
F6	CORE	keratinocyte	5	0.04934248297879338	0.038612222437577746	0.06200765571209469	0.09090909090909091	0.3636363636363636
F6	CORE	mast_cell	5	-0.06502934545140833	-0.08297069066922769	-0.04916640200052848	0.09090909090909091	0.3636363636363636
F6	CORE	melanocyte	5	0.0016047944707838879	-0.008547890768331378	0.012344429622302089	0.7575757575757576	0.8658008658008657
F6	CORE	myeloid_monocyte	5	-0.025049075080599635	-0.0594410614085996	0.019664854383547196	0.3333333333333333	0.5161290322580645
F6	CORE	pericyte_smooth_muscle	5	0.00691459216796263	-0.01355127716095662	0.03266641183220571	0.7575757575757576	0.8658008658008657
F6	CORE	unassigned	3	-0.04873005004438042	-0.07484935760825898	-0.011667569908746706	0.3333333333333333	0.5161290322580645
F6	EXTENDED	B_cell	5	0.003114307984469855	-0.00817169342998093	0.013847391526642282	0.6363636363636364	0.7832167832167832
F6	EXTENDED	NK_cell	5	0.03368740626223139	-0.0013960704282596549	0.06877088295272243	0.2727272727272727	0.4848484848484848
F6	EXTENDED	T_cell	5	0.006898537115221976	-0.02363049945643615	0.040870137764442774	0.7575757575757576	0.808080808080808
F6	EXTENDED	dendritic	5	-0.017833199377655484	-0.03706976871451177	0.006586431838978534	0.21212121212121213	0.42424242424242425
F6	EXTENDED	endothelial	5	-0.014624105958681266	-0.026444273422065033	-0.0022144851207133607	0.21212121212121213	0.42424242424242425
F6	EXTENDED	fibroblast	5	-0.021796079136084008	-0.04317746657298592	0.0012378857312845715	0.2727272727272727	0.4848484848484848
F6	EXTENDED	keratinocyte	5	0.044516123334749934	0.037343620467212846	0.05385540922990524	0.09090909090909091	0.3636363636363636
F6	EXTENDED	mast_cell	5	-0.06719473311149018	-0.0791153837132476	-0.0577367916413537	0.09090909090909091	0.3636363636363636
F6	EXTENDED	melanocyte	5	-0.013524775274048629	-0.02137378480694039	-0.005675765741156869	0.09090909090909091	0.3636363636363636
F6	EXTENDED	myeloid_monocyte	5	-0.025848323150680086	-0.0526025541683563	0.00532369768249219	0.2727272727272727	0.4848484848484848
F6	EXTENDED	pericyte_smooth_muscle	5	-0.009436173633464296	-0.02520185584148671	0.009089475937713032	0.3333333333333333	0.48484848484848486
F6	EXTENDED	unassigned	3	-0.04228268347152934	-0.06766945580686076	-0.01119562111644945	0.3333333333333333	0.48484848484848486
F7	CORE	B_cell	5	0.10851106061835017	0.030650937425762238	0.19101791564085313	0.09090909090909091	0.3636363636363636
F7	CORE	NK_cell	5	0.12050515733915039	0.008850953017900176	0.25925058841571696	0.21212121212121213	0.42424242424242425
F7	CORE	T_cell	5	-0.07905639197543154	-0.16582071967158168	0.007707935720718595	0.2727272727272727	0.4675324675324675
F7	CORE	dendritic	5	-0.010113449395480534	-0.09694421170471686	0.07444065490108254	0.9393939393939394	0.9802371541501976
F7	CORE	endothelial	5	-0.1047018011008313	-0.14333652157042823	-0.049591661206552784	0.09090909090909091	0.3636363636363636
F7	CORE	fibroblast	5	-0.09691904313723906	-0.18522517240030673	-0.008612913874171424	0.21212121212121213	0.42424242424242425
F7	CORE	keratinocyte	5	-0.00887434595726313	-0.052272455955357344	0.02415648897864502	0.8787878787878788	0.9586776859504131
F7	CORE	mast_cell	5	-0.27862259681546375	-0.3086536553099283	-0.23949109602557045	0.09090909090909091	0.3636363636363636
F7	CORE	melanocyte	5	-0.12718049083416255	-0.16367865354584724	-0.09571168388448621	0.09090909090909091	0.3636363636363636
F7	CORE	myeloid_monocyte	5	0.003105733326991067	-0.10919760008603681	0.11540906674001894	1.0	1.0
F7	CORE	pericyte_smooth_muscle	5	-0.04563888463008299	-0.09823820400619954	0.006960434746033561	0.2727272727272727	0.4675324675324675
F7	CORE	unassigned	3	-0.09133639761835255	-0.23214414860999444	0.12501425678114209	0.5555555555555556	0.7896103896103898
F7	EXTENDED	B_cell	5	0.054245870815603434	0.01753502121052619	0.09101739091063207	0.09090909090909091	0.3636363636363636
F7	EXTENDED	NK_cell	5	0.06584475704622945	0.0012065294022601148	0.12548223150869925	0.21212121212121213	0.42424242424242425
F7	EXTENDED	T_cell	5	-0.0341504867170694	-0.08920430321775955	0.02154021139908848	0.3939393939393939	0.5252525252525252
F7	EXTENDED	dendritic	5	-0.008686503859568994	-0.05664801571368468	0.03927500799454668	0.8787878787878788	0.897485493230174
F7	EXTENDED	endothelial	5	-0.04940766572623299	-0.07345344051176834	-0.0160902644854773	0.15151515151515152	0.38277511961722493
F7	EXTENDED	fibroblast	5	-0.047545218215589824	-0.09874337907059243	0.0036529426394127816	0.21212121212121213	0.42424242424242425
F7	EXTENDED	keratinocyte	5	0.011432715688997886	-0.010469760892724	0.027628410037704932	0.3939393939393939	0.5252525252525252
F7	EXTENDED	mast_cell	5	-0.15198578756802622	-0.16402261310974864	-0.13879383319276423	0.09090909090909091	0.3636363636363636
F7	EXTENDED	melanocyte	5	-0.06324733632492249	-0.07741360184859536	-0.04925007185624737	0.09090909090909091	0.3636363636363636
F7	EXTENDED	myeloid_monocyte	5	-0.006421955057346362	-0.07077418385329248	0.057930273738599755	0.9393939393939394	0.9393939393939394
F7	EXTENDED	pericyte_smooth_muscle	5	-0.02099282080758984	-0.0508576920902581	0.008872050475078419	0.3333333333333333	0.48484848484848486
F7	EXTENDED	unassigned	3	-0.06889939998764326	-0.14381489242084433	0.032663019410139105	0.5555555555555556	0.7017543859649124
