feature_family	feature_name	gene_symbol	direction	notes
pathway	TGF_beta	TGFB1	1	stromal signaling
pathway	TGF_beta	SMAD3	1	stromal signaling
pathway	Apoptosis	BAX	1	cell death
pathway	Apoptosis	CASP3	1	cell death
pathway	Cell_cycle	MKI67	1	proliferation
pathway	Cell_cycle	TOP2A	1	proliferation
regulon	STAT1_activity	STAT1	1	proxy regulon anchor
regulon	STAT3_activity	STAT3	1	proxy regulon anchor
regulon	NFkB_activity	RELA	1	proxy regulon anchor
regulon	IRF_activity	IRF1	1	proxy regulon anchor
regulon	AP1_activity	JUN	1	proxy regulon anchor
regulon	AP1_activity	FOS	1	proxy regulon anchor
regulon	CEBP_activity	CEBPA	1	proxy regulon anchor
regulon	AHR_activity	AHR	1	proxy regulon anchor
regulon	HIF1A_activity	HIF1A	1	proxy regulon anchor
regulon	FOXO_activity	FOXO1	1	proxy regulon anchor
regulon	SMAD_activity	SMAD3	1	proxy regulon anchor
cell_state	Keratinocyte	KRT14	1	bulk marker proxy
cell_state	Keratinocyte	KRT5	1	bulk marker proxy
cell_state	Fibroblast	COL1A1	1	bulk marker proxy
cell_state	Fibroblast	DCN	1	bulk marker proxy
cell_state	Endothelial	PECAM1	1	bulk marker proxy
cell_state	Endothelial	VWF	1	bulk marker proxy
cell_state	T_cells	CD3D	1	bulk marker proxy
cell_state	T_cells	CD3E	1	bulk marker proxy
cell_state	CD8_TRM	CD8A	1	bulk marker proxy
cell_state	CD8_TRM	GZMB	1	bulk marker proxy
cell_state	Th17_like	RORC	1	bulk marker proxy
cell_state	Th17_like	IL23R	1	bulk marker proxy
cell_state	Dendritic_cells	ITGAX	1	bulk marker proxy
cell_state	Dendritic_cells	CD1C	1	bulk marker proxy
cell_state	Monocytes_macrophages	CD14	1	bulk marker proxy
cell_state	Monocytes_macrophages	LYZ	1	bulk marker proxy
cell_state	Neutrophils	FCGR3B	1	bulk marker proxy
cell_state	Neutrophils	CXCR2	1	bulk marker proxy
cell_state	B_cells	MS4A1	1	bulk marker proxy
cell_state	B_cells	CD79A	1	bulk marker proxy
cell_state	NK_cells	NKG7	1	bulk marker proxy
cell_state	NK_cells	GNLY	1	bulk marker proxy
