outcome	tissue	n_candidate_loci	n_probes_requested	status	exit_code	output_prefix	smr_file	log_file	n_smr_results
crohn	Colon_Transverse	12	136	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Colon_Transverse	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Colon_Transverse.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/crohn__Colon_Transverse.log	30
crohn	Spleen	12	133	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Spleen	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Spleen.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/crohn__Spleen.log	26
crohn	Cells_EBV-transformed_lymphocytes	12	114	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Cells_EBV-transformed_lymphocytes	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/crohn__Cells_EBV-transformed_lymphocytes.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/crohn__Cells_EBV-transformed_lymphocytes.log	5
uc	Skin_Sun_Exposed_Lower_leg	10	125	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Skin_Sun_Exposed_Lower_leg	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Skin_Sun_Exposed_Lower_leg.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/uc__Skin_Sun_Exposed_Lower_leg.log	32
uc	Skin_Not_Sun_Exposed_Suprapubic	10	121	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Skin_Not_Sun_Exposed_Suprapubic	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Skin_Not_Sun_Exposed_Suprapubic.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/uc__Skin_Not_Sun_Exposed_Suprapubic.log	30
uc	Whole_Blood	10	106	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Whole_Blood	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Whole_Blood.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/uc__Whole_Blood.log	35
uc	Colon_Sigmoid	10	120	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Colon_Sigmoid	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Colon_Sigmoid.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/uc__Colon_Sigmoid.log	18
uc	Colon_Transverse	10	130	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Colon_Transverse	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Colon_Transverse.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/uc__Colon_Transverse.log	19
uc	Spleen	10	132	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Spleen	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Spleen.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/uc__Spleen.log	24
uc	Cells_EBV-transformed_lymphocytes	10	108	PASS	0	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Cells_EBV-transformed_lymphocytes	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/results/phase4c_smr/restricted/uc__Cells_EBV-transformed_lymphocytes.smr	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/logs/phase4c_smr/restricted/uc__Cells_EBV-transformed_lymphocytes.log	9
