outcome	tissue	n_candidate_loci	n_probes_requested	status	exit_code	output_prefix	smr_file	log_file	n_smr_results
psa	Cells_EBV-transformed_lymphocytes	10	283	PASS	0	results/phase4c_smr/probe2mb/psa__Cells_EBV-transformed_lymphocytes	results/phase4c_smr/probe2mb/psa__Cells_EBV-transformed_lymphocytes.smr	logs/phase4c_smr/probe2mb/psa__Cells_EBV-transformed_lymphocytes.log	22
crohn	Skin_Sun_Exposed_Lower_leg	12	119	PASS	0	results/phase4c_smr/probe2mb/crohn__Skin_Sun_Exposed_Lower_leg	results/phase4c_smr/probe2mb/crohn__Skin_Sun_Exposed_Lower_leg.smr	logs/phase4c_smr/probe2mb/crohn__Skin_Sun_Exposed_Lower_leg.log	43
crohn	Skin_Not_Sun_Exposed_Suprapubic	12	119	PASS	0	results/phase4c_smr/probe2mb/crohn__Skin_Not_Sun_Exposed_Suprapubic	results/phase4c_smr/probe2mb/crohn__Skin_Not_Sun_Exposed_Suprapubic.smr	logs/phase4c_smr/probe2mb/crohn__Skin_Not_Sun_Exposed_Suprapubic.log	36
crohn	Whole_Blood	12	111	PASS	0	results/phase4c_smr/probe2mb/crohn__Whole_Blood	results/phase4c_smr/probe2mb/crohn__Whole_Blood.smr	logs/phase4c_smr/probe2mb/crohn__Whole_Blood.log	46
crohn	Colon_Sigmoid	12	126	PASS	0	results/phase4c_smr/probe2mb/crohn__Colon_Sigmoid	results/phase4c_smr/probe2mb/crohn__Colon_Sigmoid.smr	logs/phase4c_smr/probe2mb/crohn__Colon_Sigmoid.log	29
crohn	Colon_Transverse	12	136	PASS	0	results/phase4c_smr/probe2mb/crohn__Colon_Transverse	results/phase4c_smr/probe2mb/crohn__Colon_Transverse.smr	logs/phase4c_smr/probe2mb/crohn__Colon_Transverse.log	33
crohn	Spleen	12	133	PASS	0	results/phase4c_smr/probe2mb/crohn__Spleen	results/phase4c_smr/probe2mb/crohn__Spleen.smr	logs/phase4c_smr/probe2mb/crohn__Spleen.log	26
crohn	Cells_EBV-transformed_lymphocytes	12	114	PASS	0	results/phase4c_smr/probe2mb/crohn__Cells_EBV-transformed_lymphocytes	results/phase4c_smr/probe2mb/crohn__Cells_EBV-transformed_lymphocytes.smr	logs/phase4c_smr/probe2mb/crohn__Cells_EBV-transformed_lymphocytes.log	5
uc	Skin_Sun_Exposed_Lower_leg	10	125	PASS	0	results/phase4c_smr/probe2mb/uc__Skin_Sun_Exposed_Lower_leg	results/phase4c_smr/probe2mb/uc__Skin_Sun_Exposed_Lower_leg.smr	logs/phase4c_smr/probe2mb/uc__Skin_Sun_Exposed_Lower_leg.log	32
uc	Skin_Not_Sun_Exposed_Suprapubic	10	121	PASS	0	results/phase4c_smr/probe2mb/uc__Skin_Not_Sun_Exposed_Suprapubic	results/phase4c_smr/probe2mb/uc__Skin_Not_Sun_Exposed_Suprapubic.smr	logs/phase4c_smr/probe2mb/uc__Skin_Not_Sun_Exposed_Suprapubic.log	30
uc	Whole_Blood	10	106	PASS	0	results/phase4c_smr/probe2mb/uc__Whole_Blood	results/phase4c_smr/probe2mb/uc__Whole_Blood.smr	logs/phase4c_smr/probe2mb/uc__Whole_Blood.log	37
uc	Colon_Sigmoid	10	120	PASS	0	results/phase4c_smr/probe2mb/uc__Colon_Sigmoid	results/phase4c_smr/probe2mb/uc__Colon_Sigmoid.smr	logs/phase4c_smr/probe2mb/uc__Colon_Sigmoid.log	19
uc	Colon_Transverse	10	130	PASS	0	results/phase4c_smr/probe2mb/uc__Colon_Transverse	results/phase4c_smr/probe2mb/uc__Colon_Transverse.smr	logs/phase4c_smr/probe2mb/uc__Colon_Transverse.log	21
uc	Spleen	10	132	PASS	0	results/phase4c_smr/probe2mb/uc__Spleen	results/phase4c_smr/probe2mb/uc__Spleen.smr	logs/phase4c_smr/probe2mb/uc__Spleen.log	24
uc	Cells_EBV-transformed_lymphocytes	10	108	PASS	0	results/phase4c_smr/probe2mb/uc__Cells_EBV-transformed_lymphocytes	results/phase4c_smr/probe2mb/uc__Cells_EBV-transformed_lymphocytes.smr	logs/phase4c_smr/probe2mb/uc__Cells_EBV-transformed_lymphocytes.log	9
