locus	locus_start	locus_stop	chr	probe	cm	pos	gene	strand
26	23907046	25885138	1	ENSG00000185436	0	24480647	IFNLR1	-
26	23907046	25885138	1	ENSG00000001460	0	24683489	STPG1	-
26	23907046	25885138	1	ENSG00000001461	0	24742284	NIPAL3	+
26	23907046	25885138	1	ENSG00000117602	0	24829387	RCAN3	+
26	23907046	25885138	1	ENSG00000133226	0	24958207	SRRM1	+
26	23907046	25885138	1	ENSG00000169504	0	25071848	CLIC4	+
26	23907046	25885138	1	ENSG00000020633	0	25226002	RUNX3	-
26	23907046	25885138	1	ENSG00000229162	0	25287836	RP11-84D1.1	+
26	23907046	25885138	1	ENSG00000117614	0	25549170	SYF2	-
26	23907046	25885138	1	ENSG00000117616	0	25568728	C1orf63	-
26	23907046	25885138	1	ENSG00000272432	0	25574328	RP3-465N24.6	+
26	23907046	25885138	1	ENSG00000261349	0	25592593	RP3-465N24.5	-
26	23907046	25885138	1	ENSG00000187010	0	25598884	RHD	+
26	23907046	25885138	1	ENSG00000224183	0	25620655	SDHDP6	-
26	23907046	25885138	1	ENSG00000183726	0	25664408	TMEM50A	+
26	23907046	25885138	1	ENSG00000188672	0	25688740	RHCE	-
26	23907046	25885138	1	ENSG00000204178	0	25757388	TMEM57	+
26	23907046	25885138	1	ENSG00000157978	0	25870071	LDLRAP1	+
2318	10028841	11681978	19	ENSG00000080573	0	10070237	COL5A3	-
2318	10028841	11681978	19	ENSG00000167798	0	10148479	C3P1	+
2318	10028841	11681978	19	ENSG00000130813	0	10196798	C19orf66	+
2318	10028841	11681978	19	ENSG00000267387	0	10199708	CTD-2240E14.4	-
2318	10028841	11681978	19	ENSG00000130812	0	10203014	ANGPTL6	-
2318	10028841	11681978	19	ENSG00000130810	0	10216965	PPAN	+
2318	10028841	11681978	19	ENSG00000244165	0	10222214	P2RY11	+
2318	10028841	11681978	19	ENSG00000130811	0	10225693	EIF3G	-
2318	10028841	11681978	19	ENSG00000130816	0	10244021	DNMT1	-
2318	10028841	11681978	19	ENSG00000267534	0	10334520	S1PR2	-
2318	10028841	11681978	19	ENSG00000105364	0	10362577	MRPL4	+
2318	10028841	11681978	19	ENSG00000090339	0	10381511	ICAM1	+
2318	10028841	11681978	19	ENSG00000105376	0	10400657	ICAM5	+
2318	10028841	11681978	19	ENSG00000220201	0	10415479	ZGLP1	-
2318	10028841	11681978	19	ENSG00000267673	0	10416103	FDX1L	-
2318	10028841	11681978	19	ENSG00000161847	0	10426888	RAVER1	-
2318	10028841	11681978	19	ENSG00000076662	0	10444452	ICAM3	-
2318	10028841	11681978	19	ENSG00000105397	0	10461209	TYK2	-
2318	10028841	11681978	19	ENSG00000105401	0	10501810	CDC37	-
2318	10028841	11681978	19	ENSG00000065989	0	10527449	PDE4A	+
2318	10028841	11681978	19	ENSG00000079999	0	10596796	KEAP1	-
2318	10028841	11681978	19	ENSG00000267197	0	10601015	CTC-429L19.3	-
2318	10028841	11681978	19	ENSG00000180739	0	10623623	S1PR5	-
2318	10028841	11681978	19	ENSG00000130734	0	10654571	ATG4D	+
2318	10028841	11681978	19	ENSG00000129347	0	10663761	KRI1	-
2318	10028841	11681978	19	ENSG00000129355	0	10677138	CDKN2D	-
2318	10028841	11681978	19	ENSG00000129354	0	10683347	AP1M2	-
2318	10028841	11681978	19	ENSG00000129353	0	10713133	SLC44A2	+
2318	10028841	11681978	19	ENSG00000267100	0	10762538	ILF3-AS1	-
2318	10028841	11681978	19	ENSG00000129351	0	10764937	ILF3	+
2318	10028841	11681978	19	ENSG00000213339	0	10812106	QTRT1	+
2318	10028841	11681978	19	ENSG00000079805	0	10828755	DNM2	+
2318	10028841	11681978	19	ENSG00000099203	0	10943114	TMED1	-
2318	10028841	11681978	19	ENSG00000214212	0	10947251	C19orf38	+
2318	10028841	11681978	19	ENSG00000142453	0	10982189	CARM1	+
2318	10028841	11681978	19	ENSG00000130733	0	11033444	YIPF2	-
2318	10028841	11681978	19	ENSG00000142444	0	11039409	C19orf52	+
2318	10028841	11681978	19	ENSG00000127616	0	11071598	SMARCA4	+
2318	10028841	11681978	19	ENSG00000130164	0	11200038	LDLR	+
2318	10028841	11681978	19	ENSG00000161888	0	11242196	SPC24	-
2318	10028841	11681978	19	ENSG00000197256	0	11274943	KANK2	-
2318	10028841	11681978	19	ENSG00000130158	0	11309971	DOCK6	-
2318	10028841	11681978	19	ENSG00000267082	0	11314304	CTC-510F12.2	+
2318	10028841	11681978	19	ENSG00000130173	0	11348178	C19orf80	+
2318	10028841	11681978	19	ENSG00000130167	0	11406824	TSPAN16	+
2318	10028841	11681978	19	ENSG00000267174	0	11411453	CTC-510F12.4	-
2318	10028841	11681978	19	ENSG00000105514	0	11432722	RAB3D	-
2318	10028841	11681978	19	ENSG00000105518	0	11453452	TMEM205	-
2318	10028841	11681978	19	ENSG00000183401	0	11455360	CCDC159	+
2318	10028841	11681978	19	ENSG00000105520	0	11466062	DKFZP761J1410	+
2318	10028841	11681978	19	ENSG00000267277	0	11478799	CTD-2342J14.6	-
2318	10028841	11681978	19	ENSG00000173928	0	11485361	SWSAP1	+
2318	10028841	11681978	19	ENSG00000187266	0	11488236	EPOR	-
2318	10028841	11681978	19	ENSG00000205517	0	11495017	RGL3	-
2318	10028841	11681978	19	ENSG00000198003	0	11531272	CCDC151	-
2318	10028841	11681978	19	ENSG00000130175	0	11546109	PRKCSH	+
2318	10028841	11681978	19	ENSG00000161914	0	11594242	ZNF653	-
2318	10028841	11681978	19	ENSG00000130159	0	11616731	ECSIT	-
2318	10028841	11681978	19	ENSG00000130176	0	11649532	CNN1	+
2318	10028841	11681978	19	ENSG00000130165	0	11661962	ELOF1	-
2318	10028841	11681978	19	ENSG00000198551	0	11670189	ZNF627	+
57	66778016	67761890	1	ENSG00000118473	0	66999066	SGIP1	+
57	66778016	67761890	1	ENSG00000152760	0	67218142	TCTEX1D1	+
57	66778016	67761890	1	ENSG00000198160	0	67390578	MIER1	+
57	66778016	67761890	1	ENSG00000116704	0	67465015	SLC35D1	-
899	149850204	150981934	5	ENSG00000070614	0	149865381	NDST1	+
899	149850204	150981934	5	ENSG00000171992	0	149980642	SYNPO	+
899	149850204	150981934	5	ENSG00000164591	0	150040436	MYOZ3	+
899	149850204	150981934	5	ENSG00000086589	0	150070356	RBM22	-
899	149850204	150981934	5	ENSG00000132912	0	150088002	DCTN4	-
899	149850204	150981934	5	ENSG00000256235	0	150157508	SMIM3	+
899	149850204	150981934	5	ENSG00000237693	0	150226085	IRGM	+
899	149850204	150981934	5	ENSG00000145908	0	150273954	ZNF300	-
899	149850204	150981934	5	ENSG00000211445	0	150400124	GPX3	+
899	149850204	150981934	5	ENSG00000145901	0	150409506	TNIP1	-
899	149850204	150981934	5	ENSG00000197043	0	150480273	ANXA6	-
899	149850204	150981934	5	ENSG00000198624	0	150560613	CCDC69	-
899	149850204	150981934	5	ENSG00000196743	0	150591711	GM2A	+
899	149850204	150981934	5	ENSG00000123643	0	150816607	SLC36A1	+
899	149850204	150981934	5	ENSG00000086570	0	150883654	FAT2	-
899	149850204	150981934	5	ENSG00000271795	0	150889014	CTC-251D13.1	+
347	161432090	163607635	2	ENSG00000136560	0	161993419	TANK	+
347	161432090	163607635	2	ENSG00000235724	0	162079296	AC009299.2	-
347	161432090	163607635	2	ENSG00000227403	0	162101250	AC009299.3	+
347	161432090	163607635	2	ENSG00000115233	0	162164549	PSMD14	+
347	161432090	163607635	2	ENSG00000144290	0	162280843	SLC4A10	+
347	161432090	163607635	2	ENSG00000226121	0	162357396	AHCTF1P1	-
347	161432090	163607635	2	ENSG00000197635	0	162848751	DPP4	-
347	161432090	163607635	2	ENSG00000115267	0	163123589	IFIH1	-
347	161432090	163607635	2	ENSG00000115271	0	163175350	GCA	+
347	161432090	163607635	2	ENSG00000184611	0	163227917	KCNH7	-
2195	25872111	27344401	17	ENSG00000168961	0	25956824	LGALS9	+
2195	25872111	27344401	17	ENSG00000232859	0	26205340	LYRM9	-
2195	25872111	27344401	17	ENSG00000087095	0	26368763	NLK	+
2195	25872111	27344401	17	ENSG00000237575	0	26553589	PYY2	+
2195	25872111	27344401	17	ENSG00000109084	0	26646121	TMEM97	+
2195	25872111	27344401	17	ENSG00000109083	0	26655352	IFT20	-
2195	25872111	27344401	17	ENSG00000109079	0	26662628	TNFAIP1	+
2195	25872111	27344401	17	ENSG00000004142	0	26673659	POLDIP2	-
2195	25872111	27344401	17	ENSG00000244045	0	26684604	TMEM199	+
2195	25872111	27344401	17	ENSG00000109072	0	26691290	VTN	-
2195	25872111	27344401	17	ENSG00000004139	0	26691378	SARM1	+
2195	25872111	27344401	17	ENSG00000076351	0	26721661	SLC46A1	-
2195	25872111	27344401	17	ENSG00000258472	0	26782770	RP11-192H23.4	-
2195	25872111	27344401	17	ENSG00000109103	0	26873725	UNC119	-
2195	25872111	27344401	17	ENSG00000087111	0	26880401	PIGS	-
2195	25872111	27344401	17	ENSG00000109107	0	26900133	ALDOC	-
2195	25872111	27344401	17	ENSG00000076382	0	26904588	SPAG5	-
2195	25872111	27344401	17	ENSG00000227543	0	26925808	SPAG5-AS1	+
2195	25872111	27344401	17	ENSG00000264608	0	26928845	RP11-192H23.8	-
2195	25872111	27344401	17	ENSG00000265287	0	26934981	RP11-192H23.6	+
2195	25872111	27344401	17	ENSG00000167524	0	26934982	SGK494	-
2195	25872111	27344401	17	ENSG00000007202	0	26941458	KIAA0100	-
2195	25872111	27344401	17	ENSG00000132581	0	26975374	SDF2	-
2195	25872111	27344401	17	ENSG00000240494	0	26982575	RPS12P28	+
2195	25872111	27344401	17	ENSG00000109111	0	26989109	SUPT6H	+
2195	25872111	27344401	17	ENSG00000265205	0	26997072	AC010761.13	-
2195	25872111	27344401	17	ENSG00000167525	0	27030215	PROCA1	-
2195	25872111	27344401	17	ENSG00000109113	0	27041299	RAB34	-
2195	25872111	27344401	17	ENSG00000198242	0	27046411	RPL23A	+
2195	25872111	27344401	17	ENSG00000264577	0	27048505	AC010761.8	-
2195	25872111	27344401	17	ENSG00000160606	0	27051366	TLCD1	-
2195	25872111	27344401	17	ENSG00000160602	0	27052915	NEK8	+
2195	25872111	27344401	17	ENSG00000076604	0	27071002	TRAF4	+
2195	25872111	27344401	17	ENSG00000265474	0	27072587	AC010761.9	-
2195	25872111	27344401	17	ENSG00000173065	0	27082996	FAM222B	-
2195	25872111	27344401	17	ENSG00000132591	0	27181956	ERAL1	+
2195	25872111	27344401	17	ENSG00000264066	0	27188090	MIR144	-
2195	25872111	27344401	17	ENSG00000132589	0	27206353	FLOT2	-
2195	25872111	27344401	17	ENSG00000264304	0	27219487	RP11-20B24.7	+
2195	25872111	27344401	17	ENSG00000167536	0	27224799	DHRS13	-
2195	25872111	27344401	17	ENSG00000109118	0	27232268	PHF12	-
2195	25872111	27344401	17	ENSG00000265845	0	27253293	RP11-20B24.5	+
2195	25872111	27344401	17	ENSG00000265908	0	27271814	RP11-20B24.6	+
2195	25872111	27344401	17	ENSG00000179761	0	27277531	PIPOX	+
2195	25872111	27344401	17	ENSG00000063015	0	27281919	SEZ6	-
1793	55416803	56987105	12	ENSG00000179899	0	55804263	PHC1P1	-
1793	55416803	56987105	12	ENSG00000272837	0	56039979	OR10AE3P	-
1793	55416803	56987105	12	ENSG00000258907	0	56048342	RP11-644F5.15	-
1793	55416803	56987105	12	ENSG00000170439	0	56075330	METTL7B	+
1793	55416803	56987105	12	ENSG00000135424	0	56078352	ITGA7	-
1793	55416803	56987105	12	ENSG00000135441	0	56109820	BLOC1S1	+
1793	55416803	56987105	12	ENSG00000135437	0	56114151	RDH5	+
1793	55416803	56987105	12	ENSG00000135404	0	56119107	CD63	-
1793	55416803	56987105	12	ENSG00000258056	0	56122888	RP11-644F5.11	+
1793	55416803	56987105	12	ENSG00000135414	0	56137064	GDF11	+
1793	55416803	56987105	12	ENSG00000205323	0	56146247	SARNP	-
1793	55416803	56987105	12	ENSG00000257509	0	56155334	RP11-762I7.4	-
1793	55416803	56987105	12	ENSG00000123353	0	56211703	ORMDL2	+
1793	55416803	56987105	12	ENSG00000135392	0	56214744	DNAJC14	-
1793	55416803	56987105	12	ENSG00000182796	0	56223529	TMEM198B	+
1793	55416803	56987105	12	ENSG00000123342	0	56229217	MMP19	-
1793	55416803	56987105	12	ENSG00000170473	0	56295197	WIBG	-
1793	55416803	56987105	12	ENSG00000065357	0	56321103	DGKA	+
1793	55416803	56987105	12	ENSG00000185664	0	56347889	PMEL	-
1793	55416803	56987105	12	ENSG00000123374	0	56360553	CDK2	+
1793	55416803	56987105	12	ENSG00000111540	0	56367697	RAB5B	+
1793	55416803	56987105	12	ENSG00000237493	0	56374216	RP11-603J24.7	-
1793	55416803	56987105	12	ENSG00000139531	0	56390964	SUOX	+
1793	55416803	56987105	12	ENSG00000123411	0	56401443	IKZF4	+
1793	55416803	56987105	12	ENSG00000197728	0	56435637	RPS26	+
1793	55416803	56987105	12	ENSG00000065361	0	56473641	ERBB3	+
1793	55416803	56987105	12	ENSG00000170515	0	56498103	PA2G4	+
1793	55416803	56987105	12	ENSG00000229117	0	56510370	RPL41	+
1793	55416803	56987105	12	ENSG00000135482	0	56511943	ZC3H10	+
1793	55416803	56987105	12	ENSG00000139641	0	56512034	ESYT1	+
1793	55416803	56987105	12	ENSG00000258317	0	56513817	RP11-603J24.5	-
1793	55416803	56987105	12	ENSG00000196465	0	56546040	MYL6B	+
1793	55416803	56987105	12	ENSG00000092841	0	56551945	MYL6	+
1793	55416803	56987105	12	ENSG00000258199	0	56556143	RP11-977G19.5	-
1793	55416803	56987105	12	ENSG00000139613	0	56556767	SMARCC2	-
1793	55416803	56987105	12	ENSG00000181852	0	56598285	RNF41	-
1793	55416803	56987105	12	ENSG00000139579	0	56615799	NABP2	+
1793	55416803	56987105	12	ENSG00000139540	0	56623833	SLC39A5	+
1793	55416803	56987105	12	ENSG00000139645	0	56631591	ANKRD52	-
1793	55416803	56987105	12	ENSG00000135469	0	56660642	COQ10A	+
1793	55416803	56987105	12	ENSG00000258260	0	56661577	RP11-977G19.14	-
1793	55416803	56987105	12	ENSG00000062485	0	56665483	CS	-
1793	55416803	56987105	12	ENSG00000257303	0	56693926	RP11-977G19.11	+
1793	55416803	56987105	12	ENSG00000257727	0	56703626	CNPY2	-
1793	55416803	56987105	12	ENSG00000135473	0	56710007	PAN2	-
1793	55416803	56987105	12	ENSG00000110944	0	56732663	IL23A	+
1793	55416803	56987105	12	ENSG00000170581	0	56735381	STAT2	-
1793	55416803	56987105	12	ENSG00000111602	0	56810903	TIMELESS	-
1793	55416803	56987105	12	ENSG00000176422	0	56862301	SPRYD4	+
1793	55416803	56987105	12	ENSG00000135423	0	56864736	GLS2	-
1793	55416803	56987105	12	ENSG00000076067	0	56915713	RBMS2	+
887	130573818	132554690	5	ENSG00000158985	0	130581186	CDC42SE2	+
887	130573818	132554690	5	ENSG00000158987	0	130759614	RAPGEF6	-
887	130573818	132554690	5	ENSG00000217128	0	130977407	FNIP1	-
887	130573818	132554690	5	ENSG00000164398	0	131142683	ACSL6	-
887	130573818	132554690	5	ENSG00000239642	0	131142816	AC034228.7	-
887	130573818	132554690	5	ENSG00000072682	0	131527531	P4HA2	-
887	130573818	132554690	5	ENSG00000131435	0	131593364	PDLIM4	+
887	130573818	132554690	5	ENSG00000197208	0	131630136	SLC22A4	+
887	130573818	132554690	5	ENSG00000233006	0	131646978	AC034220.3	-
887	130573818	132554690	5	ENSG00000197375	0	131705444	SLC22A5	+
887	130573818	132554690	5	ENSG00000197536	0	131746328	C5orf56	+
887	130573818	132554690	5	ENSG00000238160	0	131755108	AC116366.5	-
887	130573818	132554690	5	ENSG00000202533	0	131803839	Y_RNA	+
887	130573818	132554690	5	ENSG00000234290	0	131804582	AC116366.6	-
887	130573818	132554690	5	ENSG00000125347	0	131817301	IRF1	-
887	130573818	132554690	5	ENSG00000113522	0	131891711	RAD50	+
887	130573818	132554690	5	ENSG00000113520	0	132009678	IL4	+
887	130573818	132554690	5	ENSG00000131437	0	132028320	KIF3A	-
887	130573818	132554690	5	ENSG00000205089	0	132083137	CCNI2	+
887	130573818	132554690	5	ENSG00000164402	0	132086509	SEPT8	-
887	130573818	132554690	5	ENSG00000164403	0	132157833	SHROOM1	-
887	130573818	132554690	5	ENSG00000164404	0	132196873	GDF9	-
887	130573818	132554690	5	ENSG00000164405	0	132202252	UQCRQ	+
887	130573818	132554690	5	ENSG00000164406	0	132208014	LEAP2	+
887	130573818	132554690	5	ENSG00000072364	0	132211071	AFF4	-
887	130573818	132554690	5	ENSG00000155329	0	132332677	ZCCHC10	-
887	130573818	132554690	5	ENSG00000170606	0	132387654	HSPA4	+
887	130573818	132554690	5	ENSG00000053108	0	132532147	FSTL4	-
