feature_id	feature_family	feature_name	n_genes_defined	n_genes_present	genes_present	view	cohort
Reactome::Signaling by TGFBR3	Reactome	Signaling by TGFBR3	49	41	ACVR2A;AGO1;AGO2;AGO3;AGO4;APH1A;APH1B;ARRB1;ARRB2;EP300;FGF2;GIPC1;HELLS;INHBA;KLF16;MMP14;MMP16;MOV10;MYCN;NCSTN;PSEN1;PSEN2;PSENEN;RARA;RXRA;SMAD3;SMAD4;SP1;TCF12;TCF3;TCF4;TGFB1;TGFB2;TGFBR1;TGFBR2;TGFBR3;TIMP1;TIMP2;TNRC6A;TNRC6B;TNRC6C	LS	discovery
Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	54	43	AKT2;CILP;FGF1;FGF10;FGF18;FGF2;FGF22;FGF23;FGF7;FGFR1;FGFR2;FGFR3;FGFR4;FLT3;FLT3LG;FRS2;GAB1;GAB2;GRB2;HRAS;IGF1;IGF1R;IGF2;IRS1;IRS2;IRS4;KL;KLB;KRAS;NRAS;PDE3B;PDPK1;PIK3C3;PIK3CA;PIK3CB;PIK3R1;PIK3R2;PIK3R4;PTPN11;SHC1;SOS1;THEM4;TRIB3	LS	discovery
Reactome::Signaling by VEGF	Reactome	Signaling by VEGF	108	105	AAMP;ABI1;ABI2;ACTB;ACTG1;AHCYL1;AKT1;AKT2;AKT3;AXL;BAIAP2;BCAR1;BRK1;CALM1;CAV1;CDC42;CDH5;CRK;CTNNA1;CTNNB1;CTNND1;CYBA;CYBB;CYFIP1;CYFIP2;DOCK1;ELMO1;ELMO2;FLT1;FLT4;FYN;HRAS;HSP90AA1;HSPB1;ITGAV;ITGB3;ITPR1;ITPR2;ITPR3;JUP;KDR;KRAS;MAPK11;MAPK12;MAPK13;MAPK14;MAPKAP1;MAPKAPK2;MAPKAPK3;MLST8;MTOR;NCF1;NCF2;NCF4;NCK1;NCK2;NCKAP1;NCKAP1L;NOS3;NRAS;NRP1;NRP2;PAK1;PAK2;PAK3;PDPK1;PGF;PIK3CA;PIK3CB;PIK3R1;PIK3R2;PLCG1;PRKACA;PRKACB;PRKCA;PRKCB;PRKCD;PRKCZ;PRR5;PTK2;PTK2B;PXN;RAC1;RASA1;RHOA;RICTOR;ROCK1;ROCK2;SH2D2A;SHB;SHC2;SPHK1;SRC;THEM4;TRIB3;VAV1;VAV2;VAV3;VEGFA;VEGFB;VEGFC;VEGFD;WASF1;WASF2;WASF3	LS	discovery
Reactome::Signaling by WNT	Reactome	Signaling by WNT	289	247	ADRM1;AGO1;AGO2;AGO3;AGO4;AKT1;AKT2;AMER1;AP2A1;AP2A2;AP2B1;AP2M1;AP2S1;APC;ARRB2;ASH2L;AXIN1;AXIN2;BCL9;BCL9L;BTRC;CALM1;CAMK2A;CAV1;CBY1;CCDC88C;CDC73;CHD8;CLTA;CLTB;CLTC;CREBBP;CSNK1A1;CSNK1E;CSNK1G2;CSNK2A1;CSNK2A2;CSNK2B;CTBP1;CTBP2;CTNNB1;CTNNBIP1;CUL1;CUL3;CXXC4;DAAM1;DACT1;DKK2;DKK4;DPY30;DVL1;DVL2;DVL3;EP300;FRAT1;FRAT2;FZD1;FZD3;FZD4;FZD5;FZD6;FZD7;FZD8;GNAO1;GNB1;GNB2;GNB4;GNB5;GNG10;GNG11;GNG12;GNG2;GNG5;GNG7;GSK3B;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC21;H2BC26;H2BC4;H2BC5;H3-3A;HDAC1;ITPR1;ITPR2;ITPR3;KAT5;KLHL12;KMT2B;KRAS;KREMEN1;KREMEN2;LEF1;LEO1;LGR4;LGR5;LGR6;LRP5;LRP6;MAP3K7;MEN1;MOV10;MYC;NFATC1;NLK;PARD6A;PDE6A;PFN1;PIP5K1B;PLCB1;PLCB2;PLCB3;PORCN;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E;PPP3CA;PPP3CB;PPP3R1;PRICKLE1;PRKCA;PRKCB;PRKG1;PRKG2;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;PYGO1;PYGO2;RAC1;RAC2;RAC3;RBBP5;RBX1;RHOA;RNF146;RNF43;ROR1;ROR2;RPS27A;RSPO1;RSPO3;RUNX3;RUVBL1;RYK;SCRIB;SEM1;SFRP1;SFRP2;SKP1;SMARCA4;SMURF1;SMURF2;SNX3;SOST;SOX13;SOX17;SOX2;SOX4;SOX6;SOX7;SOX9;SRY;TCF4;TCF7;TCF7L1;TCF7L2;TLE1;TLE2;TLE3;TLE4;TLE5;TMED5;TNKS;TNKS2;TNRC6A;TNRC6B;TNRC6C;TRRAP;UBA52;UBB;UBC;USP34;USP8;VANGL2;VPS26A;VPS29;VPS35;WDR5;WIF1;WLS;WNT10A;WNT10B;WNT11;WNT16;WNT2;WNT2B;WNT3;WNT3A;WNT4;WNT5A;WNT5B;WNT7A;WNT7B;WNT9A;XIAP;XPO1;YWHAZ;ZNRF3;ZRANB1	LS	discovery
Reactome::Signaling by WNT in cancer	Reactome	Signaling by WNT in cancer	34	33	AMER1;APC;AXIN1;CSNK1A1;CTBP1;CTBP2;CTNNB1;DKK2;DKK4;FZD4;FZD5;FZD6;FZD8;GSK3B;KREMEN1;KREMEN2;LRP5;LRP6;PORCN;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E;RNF43;TCF7L2;TNKS;TNKS2;WNT3A	LS	discovery
Reactome::Signaling by activated point mutants of FGFR1	Reactome	Signaling by activated point mutants of FGFR1	11	4	FGF1;FGF2;FGF23;FGFR1	LS	discovery
Reactome::Signaling by activated point mutants of FGFR3	Reactome	Signaling by activated point mutants of FGFR3	12	5	FGF1;FGF18;FGF2;FGF23;FGFR3	LS	discovery
Reactome::Signaling by cytosolic FGFR1 fusion mutants	Reactome	Signaling by cytosolic FGFR1 fusion mutants	18	18	BCR;CEP43;CNTRL;CPSF6;CUX1;FGFR1OP2;GAB2;GRB2;LRRFIP1;MYO18A;PIK3CA;PIK3R1;STAT1;STAT3;STAT5A;STAT5B;TRIM24;ZMYM2	LS	discovery
Reactome::Signaling by high-kinase activity BRAF mutants	Reactome	Signaling by high-kinase activity BRAF mutants	36	33	ACTB;ACTG1;APBB1IP;ARAF;ARRB1;ARRB2;BRAF;CNKSR1;CNKSR2;CSK;FN1;HRAS;IQGAP1;ITGA2B;ITGB3;KRAS;KSR1;KSR2;MAP2K1;MAP2K2;MAPK1;MAPK3;MARK3;NRAS;PEBP1;RAF1;RAP1A;RAP1B;SRC;TLN1;VCL;VWF;YWHAB	LS	discovery
Reactome::Signaling by moderate kinase activity BRAF mutants	Reactome	Signaling by moderate kinase activity BRAF mutants	45	42	ACTB;ACTG1;APBB1IP;ARAF;ARRB1;ARRB2;BRAF;BRAP;CALM1;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CNKSR1;CNKSR2;CSK;FN1;HRAS;IQGAP1;ITGA2B;ITGB3;JAK2;KRAS;KSR1;KSR2;MAP2K1;MAP2K2;MAP3K11;MAPK1;MAPK3;MARK3;NRAS;PEBP1;PHB1;RAF1;RAP1A;RAP1B;SRC;TLN1;VCL;VWF;YWHAB	LS	discovery
Reactome::Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	Reactome	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	20	20	FYN;GRB2;HRAS;JAK2;KIT;KRAS;LCK;LYN;NRAS;PIK3CA;PIK3R1;PIK3R2;PIK3R3;SOS1;SRC;STAT1;STAT3;STAT5A;STAT5B;YES1	LS	discovery
Reactome::Signaling by the B Cell Receptor (BCR)	Reactome	Signaling by the B Cell Receptor (BCR)	162	98	ADRM1;AHCYL1;BCL10;BLNK;BTK;BTRC;CALM1;CARD11;CD79B;CHUK;CUL1;DAPP1;FBXW11;FKBP1A;FYN;GRB2;HRAS;IGHM;IGKC;IGLC1;IGLC2;IGLC3;IKBKB;IKBKG;ITPR1;ITPR2;ITPR3;KRAS;LYN;MALT1;MAP3K7;NCK1;NFATC1;NFATC2;NFATC3;NFKB1;NFKBIA;NFKBIB;NFKBIE;NRAS;ORAI1;ORAI2;PIK3AP1;PIK3CD;PIK3R1;PLCG2;PPIA;PPP3CA;PPP3CB;PPP3R1;PRKCB;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;PTPN6;RASGRP1;RASGRP3;REL;RELA;RPS27A;SEM1;SH3KBP1;SKP1;SOS1;STIM1;SYK;TRPC1;UBA52;UBB;UBC;VAV1	LS	discovery
Reactome::Signaling downstream of RAS mutants	Reactome	Signaling downstream of RAS mutants	45	42	ACTB;ACTG1;APBB1IP;ARAF;ARRB1;ARRB2;BRAF;BRAP;CALM1;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CNKSR1;CNKSR2;CSK;FN1;HRAS;IQGAP1;ITGA2B;ITGB3;JAK2;KRAS;KSR1;KSR2;MAP2K1;MAP2K2;MAP3K11;MAPK1;MAPK3;MARK3;NRAS;PEBP1;PHB1;RAF1;RAP1A;RAP1B;SRC;TLN1;VCL;VWF;YWHAB	LS	discovery
Reactome::Signalling to ERKs	Reactome	Signalling to ERKs	34	31	BRAF;CRK;CRKL;FRS2;GRB2;HRAS;KIDINS220;KRAS;MAP2K1;MAP2K2;MAPK1;MAPK11;MAPK12;MAPK13;MAPK14;MAPK3;MAPKAPK2;MAPKAPK3;NRAS;RALA;RALB;RALGDS;RAP1A;RAPGEF1;RIT1;SHC1;SHC2;SHC3;SOS1;SRC;YWHAB	LS	discovery
Reactome::Signalling to RAS	Reactome	Signalling to RAS	20	18	GRB2;HRAS;KRAS;MAPK11;MAPK12;MAPK13;MAPK14;MAPKAPK2;MAPKAPK3;NRAS;RALA;RALB;RALGDS;SHC1;SHC2;SHC3;SOS1;SRC	LS	discovery
Reactome::Smooth Muscle Contraction	Reactome	Smooth Muscle Contraction	44	39	ACTA2;ACTG2;ALDH2;ANXA1;ANXA2;ANXA6;CACNA1G;CACNA1H;CALD1;CALM1;DYSF;GUCY1A1;GUCY1A2;GUCY1B1;GUCY1B2;ITGA1;ITGB5;LMOD1;MYH11;MYL12A;MYL12B;MYL5;MYL6;MYL6B;MYL9;MYLK;PAK1;PAK2;PDE5A;PXN;SORBS1;SORBS3;TLN1;TPM1;TPM2;TPM3;TPM4;TRIM72;VCL	LS	discovery
Reactome::Sodium/Calcium exchangers	Reactome	Sodium/Calcium exchangers	11	8	CALM1;SLC24A1;SLC24A3;SLC24A5;SLC8A1;SLC8A2;SLC8B1;SRI	LS	discovery
Reactome::Somatic hypermutation of immunoglobulin genes	Reactome	Somatic hypermutation of immunoglobulin genes	169	162	ACTB;ACTL6A;AFF4;APEX2;ARID1A;ARID1B;ASH2L;ATR;BACH2;BATF;BCL6;BCL7A;BCL7B;BCL7C;C1D;CCNK;CCNT1;CCNT2;CDC73;CDK9;CDKN1A;CEBPA;CHEK1;CREBBP;CTDP1;CTNNBL1;CTR9;DIS3;DPF1;DPF2;DPF3;DPY30;E2F2;E2F5;E2F7;E2F8;EAF1;EAF2;ELL;ELOA;ELOB;ELOC;EXO1;EXOSC1;EXOSC10;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC6;EXOSC7;EXOSC8;EXOSC9;FOSB;GTF2F1;GTF2F2;HOXC4;IRF8;IWS1;JUND;KDM6A;KMT2C;KMT2D;LEO1;MAD2L2;MAFK;MCM3AP;MEF2B;MLH1;MLLT1;MLLT3;MPHOSPH6;MSH2;MSH6;MYB;NCOA6;NELFA;NELFB;NELFCD;NELFE;NFKB1;NFKB2;PAF1;PAGR1;PAXIP1;PCNA;PMS2;POLD2;POLD3;POLH;POLI;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;PRDM1;RBBP5;RELA;RELB;REV1;REV3L;RFC1;RFC2;RFC3;RFC4;RFC5;RPS27A;RTF1;SKIC8;SMARCA2;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCD3;SMARCE1;SS18;SS18L1;SSRP1;STAT3;STAT6;SUPT16H;SUPT4H1;SUPT5H;SUPT6H;TAF1;TAF10;TAF11;TAF12;TAF13;TAF15;TAF2;TAF3;TAF4;TAF4B;TAF5;TAF6;TAF7;TAF7L;TAF8;TAF9;TAF9B;TBP;TCEA1;TCF3;TP53;UBA52;UBB;UBC;UNG;WDR5;ZBTB17	LS	discovery
Reactome::Somatic hypermutation of immunoglobulin genes by error-prone base excision repair (BER)	Reactome	Somatic hypermutation of immunoglobulin genes by error-prone base excision repair (BER)	19	19	APEX2;MAD2L2;PCNA;POLD2;POLD3;POLH;POLI;REV1;REV3L;RFC1;RFC2;RFC3;RFC4;RFC5;RPS27A;UBA52;UBB;UBC;UNG	LS	discovery
Reactome::Somatic hypermutation of immunoglobulin genes by error-prone mismatch repair (MMR)	Reactome	Somatic hypermutation of immunoglobulin genes by error-prone mismatch repair (MMR)	22	22	EXO1;MAD2L2;MLH1;MSH2;MSH6;PCNA;PMS2;POLD2;POLD3;POLH;POLI;REV1;REV3L;RFC1;RFC2;RFC3;RFC4;RFC5;RPS27A;UBA52;UBB;UBC	LS	discovery
Reactome::Somitogenesis	Reactome	Somitogenesis	45	41	ADRM1;CTNNB1;DLL1;EPHA4;LEF1;LFNG;MESP2;NOTCH1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RBPJ;SEM1;TBX6	LS	discovery
Reactome::Specification of primordial germ cells	Reactome	Specification of primordial germ cells	12	9	BMP4;CBFA2T2;CXCR4;PDPN;POU5F1;PRDM1;SOX17;TET2;TFAP2C	LS	discovery
Reactome::Specification of the neural plate border	Reactome	Specification of the neural plate border	17	14	BMP4;CTNNB1;DLX5;MSX1;MYB;PAX3;POU5F1;SOX2;TCF7L1;TFAP2A;TFAP2B;TFAP2C;WNT3A;ZIC1	LS	discovery
Reactome::Sphingolipid catabolism	Reactome	Sphingolipid catabolism	12	12	ACER1;ACER2;ACER3;ALDH3A2;ALDH3B1;ALDH3B2;PLPP1;PLPP2;PLPP3;SGPL1;SGPP1;SGPP2	LS	discovery
Reactome::Sphingolipid de novo biosynthesis	Reactome	Sphingolipid de novo biosynthesis	37	36	ABCC1;ABCG2;CERS2;CERS3;CERS4;CERS5;CERS6;CERT1;CSNK1G2;CYB5B;DEGS1;DEGS2;FA2H;KDSR;MFSD2B;ORMDL1;ORMDL2;ORMDL3;OSBP;PPM1L;PRKD1;PRKD2;PRKD3;SAMD8;SGMS1;SGMS2;SPHK1;SPHK2;SPNS2;SPTLC1;SPTLC2;SPTLC3;SPTSSA;SPTSSB;VAPA;VAPB	LS	discovery
Reactome::Sphingolipid metabolism	Reactome	Sphingolipid metabolism	107	99	A4GALT;ABCC1;ABCG2;ACER1;ACER2;ACER3;ALDH3A2;ALDH3B1;ALDH3B2;ARSA;ARSB;ARSD;ARSF;ARSG;ARSI;ARSJ;ARSK;ASAH1;ASAH2;B3GALNT1;B3GALT4;B3GNT5;B4GALNT1;B4GALT5;B4GALT6;CERK;CERS2;CERS3;CERS4;CERS5;CERS6;CERT1;CSNK1G2;CTSA;CYB5B;DEGS1;DEGS2;FA2H;FUT1;FUT2;GALC;GBA1;GBA2;GLA;GLB1;GLB1L;GLB1L2;GLB1L3;GM2A;HEXA;HEXB;KDSR;M6PR;MFSD2B;NEU1;NEU2;NEU3;ORMDL1;ORMDL2;ORMDL3;OSBP;PLPP1;PLPP2;PLPP3;PPM1L;PRKD1;PRKD2;PRKD3;PSAP;SAMD8;SGMS1;SGMS2;SGPL1;SGPP1;SGPP2;SMPD1;SMPD2;SMPD3;SMPD4;SPHK1;SPHK2;SPNS2;SPTLC1;SPTLC2;SPTLC3;SPTSSA;SPTSSB;ST3GAL2;ST3GAL3;ST3GAL5;ST6GALNAC5;ST6GALNAC6;STS;SUMF1;SUMF2;UGCG;UGT8;VAPA;VAPB	LS	discovery
Reactome::Spry regulation of FGF signaling	Reactome	Spry regulation of FGF signaling	16	16	BRAF;CBL;GRB2;MAPK1;MAPK3;MKNK1;PPP2CA;PPP2CB;PPP2R1A;PTPN11;RPS27A;SPRY2;SRC;UBA52;UBB;UBC	LS	discovery
Reactome::Stabilization of p53	Reactome	Stabilization of p53	44	44	ADRM1;ATM;CDKN2A;CHEK2;COP1;MDM2;MDM4;PHF20;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RPS27A;SEM1;TP53;UBA52;UBB;UBC	LS	discovery
Reactome::Stimuli-sensing channels	Reactome	Stimuli-sensing channels	106	82	ANO1;ANO10;ANO2;ANO3;ANO5;ANO6;ANO8;ANO9;ASIC1;ASIC3;ASPH;BEST1;BEST2;BEST3;CALM1;CASQ2;CLCA2;CLCA4;CLCN2;CLCN3;CLCN4;CLCN5;CLCN6;CLCN7;CLCNKA;CLIC2;FKBP1B;MCOLN1;MCOLN2;MCOLN3;MLKL;NALCN;NEDD4L;OSTM1;RAF1;RIPK1;RIPK3;RPS27A;RYR1;RYR2;RYR3;SCNN1A;SCNN1B;SCNN1D;SCNN1G;SGK1;SGK2;SGK3;SLC9B2;SLC9C1;SRI;STOM;TPCN1;TPCN2;TRDN;TRPA1;TRPC1;TRPC4AP;TRPC6;TRPM1;TRPM2;TRPM4;TRPM6;TRPM7;TRPV1;TRPV2;TRPV3;TRPV4;TRPV6;TSC22D3;TTYH1;TTYH2;TTYH3;UBA52;UBB;UBC;UNC80;WNK1;WNK2;WNK3;WNK4;WWP1	LS	discovery
Reactome::Strand-asynchronous mitochondrial DNA replication	Reactome	Strand-asynchronous mitochondrial DNA replication	10	10	EXOG;LIG3;MGME1;POLG;POLG2;POLRMT;RNASEH1;SSBP1;TOP3A;TWNK	LS	discovery
Reactome::Striated Muscle Contraction	Reactome	Striated Muscle Contraction	36	24	ACTA1;ACTC1;DES;DMD;MYBPC1;MYH3;NEB;TMOD1;TMOD2;TMOD3;TNNC1;TNNC2;TNNI1;TNNI2;TNNI3;TNNT1;TNNT2;TNNT3;TPM1;TPM2;TPM3;TPM4;TTN;VIM	LS	discovery
Reactome::Sulfur amino acid metabolism	Reactome	Sulfur amino acid metabolism	28	27	ADI1;ADO;AHCY;APIP;BHMT2;CBS;CDO1;CSAD;CTH;ENOPH1;ETHE1;FMO1;GADL1;GOT1;GOT2;MAT1A;MPST;MRI1;MTAP;MTR;MTRR;SLC25A10;SQOR;SUOX;TST;TSTD1;TXN2	LS	discovery
Reactome::Suppression of apoptosis	Reactome	Suppression of apoptosis	12	7	CTSG;GSK3A;MAPK1;MAPK3;RNF213;SFPQ;TRIM27	LS	discovery
Reactome::Suppression of phagosomal maturation	Reactome	Suppression of phagosomal maturation	23	13	ATP6V1H;CORO1A;HGS;KPNA1;KPNB1;NOS2;RAB5A;RAB7A;RPS27A;UBA52;UBB;UBC;VPS33B	LS	discovery
Reactome::Surfactant metabolism	Reactome	Surfactant metabolism	30	24	ABCA3;ADA2;ADGRF5;ADORA2A;ADORA2B;ADRA2A;ADRA2C;CCDC59;CKAP4;CSF2RA;CSF2RB;CTSH;DMBT1;GATA6;LMCD1;NAPSA;P2RY2;PGA4;SFTPB;SFTPC;SFTPD;SLC34A2;TTF1;ZDHHC2	LS	discovery
Reactome::Switching of origins to a post-replicative state	Reactome	Switching of origins to a post-replicative state	79	79	ADRM1;ANAPC1;ANAPC10;ANAPC11;ANAPC15;ANAPC16;ANAPC2;ANAPC4;ANAPC5;ANAPC7;CCNA1;CCNA2;CCNE1;CCNE2;CDC16;CDC23;CDC26;CDC27;CDC6;CDK2;CDT1;CUL1;FZR1;GMNN;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MCM8;ORC1;ORC2;ORC3;ORC4;ORC5;ORC6;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RBX1;RPS27A;SEM1;SKP1;SKP2;UBA52;UBB;UBC;UBE2C;UBE2D1;UBE2E1;UBE2S	LS	discovery
Reactome::Synaptic adhesion-like molecules	Reactome	Synaptic adhesion-like molecules	21	20	DLG1;DLG3;DLG4;FLOT1;FLOT2;GRIA1;GRIA3;GRIA4;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;LRFN1;LRFN3;LRFN4;PTPRD;PTPRF;PTPRS;RTN3	LS	discovery
Reactome::Syndecan interactions	Reactome	Syndecan interactions	27	26	ACTN1;CASK;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL5A3;FGF2;FN1;ITGA2;ITGA6;ITGAV;ITGB1;ITGB3;ITGB4;ITGB5;PRKCA;SDC1;SDC2;SDC3;SDC4;TGFB1;THBS1;TNC;TRAPPC4	LS	discovery
Reactome::Synthesis And Processing Of GAG, GAGPOL Polyproteins	Reactome	Synthesis And Processing Of GAG, GAGPOL Polyproteins	15	14	MVB12A;MVB12B;NMT2;RPS27A;TSG101;UBA52;UBAP1;UBB;UBC;VPS28;VPS37A;VPS37B;VPS37C;VPS37D	LS	discovery
Reactome::Synthesis of DNA	Reactome	Synthesis of DNA	108	108	ADRM1;ANAPC1;ANAPC10;ANAPC11;ANAPC15;ANAPC16;ANAPC2;ANAPC4;ANAPC5;ANAPC7;CCNA1;CCNA2;CCNE1;CCNE2;CDC16;CDC23;CDC26;CDC27;CDC45;CDC6;CDK2;CDT1;CUL1;DNA2;FEN1;FZR1;GINS1;GINS2;GINS3;GINS4;GMNN;LIG1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MCM8;ORC1;ORC2;ORC3;ORC4;ORC5;ORC6;PCNA;POLA1;POLA2;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;POLE4;PRIM1;PRIM2;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RBX1;RFC1;RFC2;RFC3;RFC4;RFC5;RPA1;RPA2;RPA3;RPS27A;SEM1;SKP1;SKP2;UBA52;UBB;UBC;UBE2C;UBE2D1;UBE2E1;UBE2S	LS	discovery
Reactome::Synthesis of IP2, IP, and Ins in the cytosol	Reactome	Synthesis of IP2, IP, and Ins in the cytosol	14	13	IMPA1;IMPA2;INPP1;INPP4A;INPP4B;INPP5A;INPP5B;INPP5J;ISYNA1;MTMR7;MTMR9;OCRL;SYNJ1	LS	discovery
Reactome::Synthesis of IP3 and IP4 in the cytosol	Reactome	Synthesis of IP3 and IP4 in the cytosol	26	24	CALM1;INPP5B;INPP5D;INPP5J;INPPL1;ITPK1;ITPKB;ITPKC;OCRL;PLCB1;PLCB2;PLCB3;PLCB4;PLCD1;PLCD3;PLCD4;PLCE1;PLCG1;PLCG2;PLCH1;PLCH2;PLD4;PTEN;SYNJ1	LS	discovery
Reactome::Synthesis of Leukotrienes (LT) and Eoxins (EX)	Reactome	Synthesis of Leukotrienes (LT) and Eoxins (EX)	20	17	ABCC1;ALOX15;ALOX5;ALOX5AP;CYP4B1;CYP4F11;CYP4F2;CYP4F22;CYP4F3;CYP4F8;DPEP2;GGT1;GGT5;LTA4H;LTC4S;MAPKAPK2;PTGR1	LS	discovery
Reactome::Synthesis of PA	Reactome	Synthesis of PA	39	32	ACP6;AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5;DDHD1;DDHD2;GNPAT;GPAM;GPAT2;GPAT3;GPAT4;GPD1;GPD1L;GPD2;LCLAT1;LIPH;LPCAT1;LPCAT4;MIGA1;MIGA2;PLA2G12A;PLA2G2A;PLA2G2F;PLA2G4A;PLA2G4B;PLA2G4D;PLA2R1;PLD1;PLD2;PLD6	LS	discovery
Reactome::Synthesis of PC	Reactome	Synthesis of PC	28	24	ABHD3;BCHE;CEPT1;CHKA;CHKB;CHPT1;CSNK2A1;CSNK2A2;CSNK2B;LPCAT1;LPIN1;LPIN2;LPIN3;MFSD2A;PCTP;PCYT1A;PEMT;PHOSPHO1;SLC44A1;SLC44A2;SLC44A3;SLC44A5;STARD10;STARD7	LS	discovery
Reactome::Synthesis of PE	Reactome	Synthesis of PE	13	12	CEPT1;CHKA;CHKB;ETNK1;ETNK2;LPIN1;LPIN2;LPIN3;PCYT2;PHOSPHO1;PISD;SELENOI	LS	discovery
Reactome::Synthesis of PIPs at the Golgi membrane	Reactome	Synthesis of PIPs at the Golgi membrane	18	16	ARF1;ARF3;FIG4;INPP5E;OCRL;PI4K2A;PI4K2B;PI4KA;PI4KB;PIK3C2A;PIK3C2G;PIK3C3;PIK3R4;PIKFYVE;SACM1L;VAC14	LS	discovery
Reactome::Synthesis of PIPs at the early endosome membrane	Reactome	Synthesis of PIPs at the early endosome membrane	16	16	FIG4;INPP4A;INPP4B;INPP5F;MTM1;MTMR10;MTMR12;MTMR2;MTMR4;PI4K2A;PI4K2B;PIK3C2A;PIK3C3;PIK3R4;PIKFYVE;VAC14	LS	discovery
Reactome::Synthesis of PIPs at the late endosome membrane	Reactome	Synthesis of PIPs at the late endosome membrane	11	11	FIG4;MTM1;MTMR2;MTMR4;MTMR7;MTMR9;PIK3C2A;PIK3C3;PIK3R4;PIKFYVE;VAC14	LS	discovery
