dataset	axis	view	n_pairs	n_common_axis_features	loading_vs_paired_lesional_minus_adjacent_spearman	external_effect_definition	result_type	n_psoriasis	n_control	loading_vs_psoriasis_minus_control_spearman	contrast	n_case	loading_vs_case_minus_control_spearman
GSE61281	F7	BLD		426		mean score difference: cutaneous psoriasis without arthritis minus control in whole blood	blood_support		12.0		cutaneous_psoriasis_without_arthritis_minus_control	20.0	-0.3998801827946007
GSE61281	F8	BLD		426		mean score difference: cutaneous psoriasis without arthritis minus control in whole blood	blood_support		12.0		cutaneous_psoriasis_without_arthritis_minus_control	20.0	0.02354643250441123
GSE61281	F1	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	-0.1745561590568441
GSE61281	F2	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	-0.25812831058284885
GSE61281	F3	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	0.21863162977089953
GSE61281	F4	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	0.05184201296630722
GSE61281	F5	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	-0.06497658023007111
GSE61281	F6	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	-0.07971616097230051
GSE61281	F7	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	-0.4359310517875504
GSE61281	F8	BLD		426		mean score difference: psoriatic arthritis minus control in whole blood	blood_support		12.0		psoriatic_arthritis_minus_control	20.0	-0.18448302771978686
GSE61281	F1	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	-0.20916437860406278
GSE61281	F2	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	-0.22118506030482196
GSE61281	F3	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	0.2623825276432265
GSE61281	F4	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	0.02258544232596054
GSE61281	F5	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	-0.0358264930758199
GSE61281	F6	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	-0.04816879836723484
GSE61281	F7	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	-0.45493928539803924
GSE61281	F8	BLD		426		mean score difference: psoriasis spectrum minus control in whole blood	blood_support		12.0		psoriasis_spectrum_minus_control	40.0	-0.1079971504025741
