view	feature	mean_discovery	sd_discovery
LS	Reactome::AUF1 (hnRNP D0) binds and destabilizes mRNA	0.009240854088475173	1.0289583319303488
LS	Reactome::Regulation of pyruvate dehydrogenase (PDH) complex	0.015422477635987598	1.0284868421675595
LS	Reactome::Resolution of Abasic Sites (AP sites)	-0.004212281125492144	1.028242363962598
LS	Reactome::SUMOylation of transcription cofactors	-0.016240315148076712	1.028142558142578
LS	Reactome::Role of LAT2/NTAL/LAB on calcium mobilization	-0.001177782570880064	1.0280801931402956
LS	Reactome::CD22 mediated BCR regulation	0.012671133625970435	1.028031286826413
LS	Reactome::NOTCH3 Intracellular Domain Regulates Transcription	-0.01003288001657135	1.0278492208764096
LS	Reactome::RHOF GTPase cycle	-0.016313603726084112	1.0278076902744528
LS	Reactome::ADORA2B mediated anti-inflammatory cytokines production	-0.02145206478127142	1.0277513210484002
LS	Reactome::tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis	-0.0027938976827241342	1.0277347921846447
LS	Reactome::Bile acid and bile salt metabolism	0.019402048451711246	1.0277273652499994
LS	Reactome::Transcriptional regulation by RUNX3	-0.020284695211237845	1.0275717346355773
LS	Reactome::Signaling by NOTCH2	-0.008481196162895353	1.0275476147859812
LS	Reactome::Physiological factors	0.011061123909534875	1.0272040318183193
LS	Reactome::Ion transport by P-type ATPases	-0.003523685409259188	1.027157826575655
LS	Hallmark::HALLMARK_UV_RESPONSE_DN	-0.012150635299929144	1.0271224840076978
LS	Reactome::GPER1 signaling	-0.01832555420511189	1.0270676546475468
LS	Reactome::Regulation of TP53 Degradation	-0.004061820657892432	1.027030833068825
LS	Reactome::Spry regulation of FGF signaling	-0.017281027375785647	1.0269069685270868
LS	Reactome::Regulation of TP53 Expression and Degradation	-0.008272908141955032	1.0266957577388278
LS	Reactome::Expression of BMAL (ARNTL), CLOCK, and NPAS2	-0.011278293578705304	1.0265765446102801
LS	Reactome::Heme signaling	0.007228073637652392	1.0264929658265505
LS	Reactome::Nitric oxide stimulates guanylate cyclase	-0.01243968169175513	1.0264556520448074
LS	Reactome::Regulation of FZD by ubiquitination	0.010692550475809604	1.0263428255335838
LS	Reactome::RHOU GTPase cycle	-0.026652671591585558	1.026204952228616
LS	Reactome::Beta-catenin independent WNT signaling	-0.014214187638211707	1.0261430742109774
LS	Reactome::Regulation of mRNA stability by proteins that bind AU-rich elements	-0.013127253378601378	1.0261244816553312
LS	Reactome::mRNA decay by 3' to 5' exoribonuclease	0.005398466199536598	1.0261238087456144
LS	Reactome::Mitochondrial tRNA aminoacylation	-0.0068785332153534	1.026065731927539
LS	Reactome::Metabolism of steroids	0.007754478547023611	1.0259874584992617
LS	Reactome::Biotin transport and metabolism	0.01613957993033374	1.0259645373595678
LS	Reactome::mRNA Editing	0.01676355070280277	1.0259314012415377
LS	Reactome::Signaling by Nuclear Receptors	-0.01724882630751437	1.025923642599294
LS	Reactome::Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	-0.0037659388647977563	1.0258605543881152
LS	Reactome::Insulin processing	-0.01622249448556511	1.025857839655296
LS	Reactome::Beta-oxidation of very long chain fatty acids	0.008532766720279994	1.0258347225717117
LS	Reactome::Differentiation of naive CD4+ T cells to T helper 2 cells (Th2 cells)	-0.001964862881916356	1.0257319207625286
LS	Reactome::Ion homeostasis	-0.012369846440971763	1.025628713806425
LS	Reactome::tRNA modification in the nucleus and cytosol	-0.013830688399431006	1.025531639262157
LS	Hallmark::HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.0071644384752478215	1.025493801070698
LS	Reactome::Receptor-type tyrosine-protein phosphatases	-0.008778414356056377	1.0254647566169506
LS	Reactome::Signaling by ROBO receptors	0.010528513168631296	1.0254599683547159
LS	Reactome::Signaling by BMP	-0.024558593886091624	1.0254003903891658
LS	Reactome::Diseases of mitotic cell cycle	-0.017599017995137013	1.0252667187939621
LS	Reactome::SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	0.003799209248689064	1.0252545908354596
LS	Reactome::Sema4D induced cell migration and growth-cone collapse	-0.016538071855367802	1.0251272038061752
LS	Reactome::MITF-M-dependent gene expression	-0.02868384089225046	1.0251207662859045
LS	Reactome::Early SARS-CoV-2 Infection Events	0.00743670452433696	1.025079585442582
LS	Reactome::cGMP effects	-0.0014119803233834704	1.025033808001267
LS	Reactome::Cardiac conduction	0.0010167822124349634	1.0249746225704681
LS	Reactome::NFE2L2 regulating tumorigenic genes	-0.014941616837879663	1.0248886476019523
LS	Reactome::Nuclear Receptor transcription pathway	-0.010463591590916187	1.024858447348785
LS	Reactome::Inwardly rectifying K+ channels	-0.02738929409122087	1.0248517315270458
LS	Reactome::Processing of Capped Intron-Containing Pre-mRNA	0.018179022808465704	1.0248142989386122
LS	Reactome::TNFR1-induced proapoptotic signaling	-0.01871656362625472	1.024813912988712
LS	Reactome::MITF-M-regulated melanocyte development	-0.031264080286850245	1.0247818931838142
LS	Reactome::Signaling by BRAF and RAF1 fusions	-0.02465570760601888	1.0247711080980462
LS	Reactome::Ca2+ pathway	-0.020663715081318833	1.0247612767921346
LS	Reactome::Aquaporin-mediated transport	-0.006083971478610915	1.0247608450452517
LS	Reactome::Regulation of insulin secretion	-0.018267986464732665	1.0247505929488026
LS	Reactome::Defective EXT1 causes exostoses 1, TRPS2 and CHDS	0.011765877842196737	1.0246404623006136
LS	Reactome::Defective EXT2 causes exostoses 2	0.011765877842196737	1.0246404623006136
LS	Reactome::SLBP independent Processing of Histone Pre-mRNAs	0.0076830456636948095	1.0246170712138731
LS	Reactome::Signaling by NOTCH3	-0.018098712963558052	1.0246102851185437
LS	Reactome::NRAGE signals death through JNK	0.003488165828648874	1.0245753810374614
LS	Reactome::Late SARS-CoV-2 Infection Events	0.008096103853484873	1.0245459763770106
LS	Reactome::FGFR1 mutant receptor activation	0.0008432677208401802	1.0245345282415046
LS	Reactome::RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	-0.0041135828327770714	1.024403280720015
LS	Reactome::Keratan sulfate biosynthesis	-0.01224128105582378	1.0243888880462777
LS	Reactome::Metabolism of polyamines	0.0016934978467205205	1.0242309726532295
LS	Reactome::Regulation of RUNX2 expression and activity	-0.00040673865755618644	1.0242028052997614
LS	Reactome::Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	0.00978347854904348	1.0241140302227891
LS	Reactome::Glucagon signaling in metabolic regulation	-0.014916191887190233	1.0240914551269056
LS	Reactome::mRNA Splicing	0.030649907693151058	1.0240268961333456
LS	Reactome::NOTCH2 Activation and Transmission of Signal to the Nucleus	0.0019783730378314145	1.0240211363602385
LS	Reactome::Ion channel transport	0.014740657114244146	1.0240067042248722
LS	Reactome::EPHA-mediated growth cone collapse	-0.019130347792218127	1.023972546058562
LS	Reactome::Glycosaminoglycan-protein linkage region biosynthesis	-0.008324764782748233	1.0239557707244442
LS	Reactome::Regulation of RUNX3 expression and activity	0.009722136822189	1.023946903011335
LS	Reactome::Activation of BH3-only proteins	-0.016842434439885316	1.02382792349838
LS	Reactome::Regulation of clotting cascade	-0.02298955248112511	1.0237897636839381
LS	Reactome::Myogenesis	-0.022374887416544042	1.023771280636779
LS	Reactome::mRNA Splicing - Major Pathway	0.03045365229553946	1.0237211121262042
LS	Reactome::Nuclear signaling by ERBB4	-0.0033225852797458674	1.0236750252477091
LS	Reactome::PI3K Cascade	0.002906979044413704	1.023599512033662
LS	Reactome::RET signaling	-0.014386740790026574	1.0235461543468092
LS	Reactome::Eukaryotic Translation Elongation	0.0222782863705675	1.023535724198042
LS	Reactome::Transcriptional activation of mitochondrial biogenesis	0.0004996005690131559	1.0235153310779916
LS	Reactome::Constitutive Signaling by NOTCH1 HD Domain Mutants	-0.0308751453198849	1.0235033782638139
LS	Reactome::Signaling by NOTCH1 HD Domain Mutants in Cancer	-0.0308751453198849	1.0235033782638139
LS	Reactome::Regulation of lipid metabolism by PPARalpha	-0.024579210609393977	1.0234852668653949
LS	Reactome::Response to metal ions	0.012389870228791856	1.0234785671369904
LS	Reactome::RNA Polymerase III Transcription	0.018813517763813747	1.0234200750913598
LS	Reactome::RNA Polymerase III Abortive And Retractive Initiation	0.018813517763813747	1.0234200750913598
LS	Reactome::RA biosynthesis pathway	0.0018526728698449648	1.0233998824266577
LS	Reactome::Matriglycan biosynthesis on DAG1	-0.015394580421314571	1.0233979514900653
LS	Reactome::Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells	-0.015886641546362407	1.023368701044073
LS	Reactome::Developmental Lineage of Pancreatic Ductal Cells	-0.015405643726184371	1.023336369120143
LS	Reactome::Keratan sulfate/keratin metabolism	-0.00607055200818418	1.023315932594348
LS	Reactome::Pregnenolone biosynthesis	-0.00887724631942019	1.0232313613675452
LS	Reactome::Defective B3GAT3 causes JDSSDHD	-0.0073932488517418305	1.0232137970352804
LS	Reactome::Cross-presentation of soluble exogenous antigens (endosomes)	0.02335362863925526	1.0231238737585258
LS	Reactome::Regulation of MITF-M-dependent genes involved in apoptosis	-0.021673982451595224	1.0231222120230694
LS	Reactome::RNA Polymerase III Transcription Initiation	0.02863108688378167	1.0230541770376533
LS	Reactome::KSRP (KHSRP) binds and destabilizes mRNA	-0.00766422137080063	1.022978777716432
LS	Reactome::RAB geranylgeranylation	-0.021287939974975592	1.022940230848069
LS	Reactome::RHOD GTPase cycle	-0.028309908289096297	1.0229314450016191
LS	Reactome::APOBEC3G mediated resistance to HIV-1 infection	0.023673662415496857	1.0228817819776435
LS	Reactome::Nephrin family interactions	-0.023058184703479208	1.0228784580026962
LS	Reactome::Regulation of CDH1 posttranslational processing and trafficking to plasma membrane	0.0227814578294401	1.0228662139779174
LS	Reactome::NOTCH2 intracellular domain regulates transcription	-0.018564705183636107	1.0228477372206066
LS	Reactome::NPAS4 regulates expression of target genes	-0.01779686854608118	1.0228473042529265
LS	Reactome::BMAL1:CLOCK,NPAS2 activates circadian expression	-0.021651705411614947	1.0228415968600617
LS	Reactome::Metallothioneins bind metals	0.017525610370980105	1.0228030089338747
LS	Reactome::Defective B4GALT7 causes EDS, progeroid type	-0.01166812823949618	1.0227869757297252
LS	Reactome::Signaling by RAF1 mutants	-0.024958452109331314	1.0227453177344046
LS	Reactome::Vasopressin regulates renal water homeostasis via Aquaporins	-0.02647026142191096	1.0226761271493086
LS	Reactome::Insulin receptor signalling cascade	-0.004427552570608953	1.0226723488375171
LS	Reactome::Muscle contraction	-0.012227557360383447	1.0226560608603585
LS	Reactome::Nucleotide biosynthesis	-0.026612381339159115	1.0226432595265906
LS	Reactome::Eukaryotic Translation Initiation	0.027584847131624003	1.0226200511159684
LS	Reactome::Cap-dependent Translation Initiation	0.027584847131624003	1.0226200511159684
LS	Reactome::Defective B3GALT6 causes EDSP2 and SEMDJL1	-0.015551532023066417	1.022593476175124
LS	Reactome::p75NTR regulates axonogenesis	-0.008182497073418546	1.0225673053500257
LS	Reactome::Signaling by activated point mutants of FGFR1	0.02090211372449053	1.022535432081843
LS	Reactome::Diseases associated with glycosaminoglycan metabolism	-0.016767907416265982	1.022483907697264
LS	Reactome::VxPx cargo-targeting to cilium	-0.02366923827067523	1.0224322922825426
LS	Reactome::Response of EIF2AK4 (GCN2) to amino acid deficiency	0.025034319690307415	1.0223951587872064
LS	Reactome::CREB1 phosphorylation through the activation of Adenylate Cyclase	-0.027165906598582295	1.0223325424536043
LS	Reactome::Lanosterol biosynthesis	-0.019390620675309455	1.0223208298746682
LS	Reactome::Mitotic Telophase/Cytokinesis	-0.024463401470079478	1.022319455662422
LS	Reactome::Attachment and Entry_9694614	0.009231009824741962	1.0223067939681807
LS	Reactome::YAP1- and WWTR1 (TAZ)-stimulated gene expression	-0.03357569273349844	1.0223058550243753
LS	Reactome::Entry of Influenza Virion into Host Cell via Endocytosis	0.005053721712432101	1.0222975049474028
LS	Hallmark::HALLMARK_MYOGENESIS	-0.002800989977179122	1.0222734784688197
LS	Reactome::Netrin-1 signaling	-0.019285430422701495	1.0222094657907561
LS	Reactome::NFE2L2 regulating anti-oxidant/detoxification enzymes	-0.0028863365156533553	1.0221743604966387
LS	Reactome::Lysosphingolipid and LPA receptors	-0.03388808582642247	1.0220937827071137
LS	Reactome::Peptide hormone biosynthesis	-0.01052788359149196	1.0220787854066553
LS	Reactome::Purine salvage	0.002992843294124927	1.0220447203262348
LS	Reactome::RNA Polymerase III Transcription Termination	0.003901429966247072	1.0220391013494712
LS	Reactome::Coagulation pathway	-0.0311841533195349	1.0220280676016602
LS	Hallmark::HALLMARK_NOTCH_SIGNALING	-0.010675913951818727	1.0220186043405102
LS	Reactome::Regulation of BACH1 activity	-0.021075306202302	1.0220082295757527
LS	Reactome::Fanconi Anemia Pathway	0.005398769186692817	1.0219777881422352
LS	Reactome::Signaling by Retinoic Acid	-0.0026054143675382927	1.0219420634538314
LS	Reactome::Developmental Cell Lineages of the Exocrine Pancreas	-0.012957633363267359	1.0219037056631497
LS	Reactome::Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	-0.004096316872070217	1.0217843488782041
LS	Reactome::Signaling by RAS mutants	-0.027811033973343273	1.0217295779280289
LS	Reactome::Paradoxical activation of RAF signaling by kinase inactive BRAF	-0.027811033973343273	1.0217295779280289
LS	Reactome::Signaling by moderate kinase activity BRAF mutants	-0.027811033973343273	1.0217295779280289
LS	Reactome::Signaling downstream of RAS mutants	-0.027811033973343273	1.0217295779280289
LS	Reactome::Selenoamino acid metabolism	0.013607959528331203	1.0217075007405385
LS	Reactome::mRNA 3'-end processing	0.030494848243556964	1.021704649413686
LS	Reactome::Positive Regulation of CDH1 Gene Transcription	-0.006374055567325437	1.0216933667950305
LS	Reactome::PPARA activates gene expression	-0.026253669048810525	1.0216585881122016
LS	Reactome::SUMO E3 ligases SUMOylate target proteins	-0.022074089621440453	1.021600705309596
LS	Reactome::RHOB GTPase cycle	-0.028968818796641475	1.0215138137608135
LS	Reactome::Cellular response to starvation	0.029910195127020048	1.0215070078921331
LS	Reactome::Response of Mtb to phagocytosis	0.0077768967012006515	1.0214975958962897
LS	Reactome::SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	0.011094873414108327	1.021493353887162
LS	Reactome::The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex	-0.006460583177646956	1.0214598210038754
LS	Reactome::p75 NTR receptor-mediated signalling	-0.007805120950343896	1.02139856991454
LS	Reactome::Thyroxine biosynthesis	0.006151137514579782	1.0213860011752303
LS	Reactome::Lysine catabolism	0.02095305773450768	1.0213595277769711
LS	Reactome::trans-Golgi Network Vesicle Budding	-0.013374468169292907	1.021326367098001
LS	Reactome::Transcriptional Regulation by NPAS4	-0.026783130144942702	1.0213243513789392
LS	Reactome::Differentiation of T cells	0.0009318298170990035	1.0212913148282627
LS	Reactome::G alpha (z) signalling events	-0.0310235296780641	1.0212745588969707
LS	Reactome::Metabolism of amine-derived hormones	0.010535750252499176	1.021269239565874
LS	Reactome::IGF1R signaling cascade	0.006404114906388428	1.021261674312861
LS	Reactome::EGR2 and SOX10-mediated initiation of Schwann cell myelination	-0.028944727178126333	1.021246606870149
LS	Reactome::Regulation of PD-L1(CD274) Post-translational modification	-0.0012304745131615882	1.0212435256469028
LS	Reactome::JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	-0.03619821413582555	1.0212314860584957
LS	Reactome::Cholesterol biosynthesis	-0.007696889719016959	1.021199015994816
LS	Reactome::RUNX3 regulates NOTCH signaling	-0.001202993517957285	1.0211934274653998
LS	Reactome::Potential therapeutics for SARS	-0.006496940561174018	1.0211486368874632
LS	Reactome::Protein ubiquitination	0.006009782199245524	1.021131354001592
LS	Reactome::Regulation of beta-cell development	-0.008576929426258708	1.0211207298819096
LS	Reactome::Virus Assembly and Release	-0.010630229477074427	1.021086489406005
LS	Reactome::Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	-0.017681607190728005	1.021071194663451
LS	Reactome::G protein gated Potassium channels	-0.017681607190728005	1.021071194663451
LS	Reactome::Activation of G protein gated Potassium channels	-0.017681607190728005	1.021071194663451
LS	Reactome::Signaling by NODAL	0.02335390981159717	1.0210673807384714
LS	Reactome::Class C/3 (Metabotropic glutamate/pheromone receptors)	0.021236772576573935	1.0210665566960706
LS	Reactome::Transcriptional Regulation by MECP2	-0.026058987509234077	1.021033291397467
LS	Reactome::Cell death signalling via NRAGE, NRIF and NADE	0.012481499516035631	1.0209407046684247
LS	Reactome::UCH proteinases	-0.005547776899661693	1.0209378239346147
LS	Reactome::Regulation of cholesterol biosynthesis by SREBP (SREBF)	-0.010438477452940203	1.0209178992870538
LS	Reactome::Mechanical load activates signaling by PIEZO1 and integrins in osteocytes	-0.029782763152847575	1.0209127066203318
LS	Reactome::Metabolism of folate and pterines	0.009706095515748721	1.0208670575679049
LS	Reactome::RNA Polymerase III Transcription Initiation From Type 1 Promoter	0.024768400013543725	1.0208651472737038
LS	pathway::WNT_signaling	-0.02263910723356552	1.0208573867535518
LS	Reactome::Strand-asynchronous mitochondrial DNA replication	0.02219704712478304	1.0208313508925224
LS	Reactome::Activation of the AP-1 family of transcription factors	-0.01728655181223102	1.0208121362617053
LS	Reactome::tRNA modification in the mitochondrion	0.01962645803121692	1.020798014246142
LS	Reactome::Metabolism of cofactors	0.024639228712569784	1.020782744103966
LS	Reactome::IRS-related events triggered by IGF1R	0.00678013060939536	1.0206623881733699
LS	Reactome::Potassium Channels	-0.0006912546986681899	1.0205700703446314
LS	Reactome::Signaling by PDGFR in disease	-0.023837202740264563	1.0204744813650326
LS	Reactome::SUMOylation	-0.02346070220863197	1.0204493906306291
LS	Reactome::Transcriptional Regulation by VENTX	-0.008428333703687632	1.0204463859586475
LS	Reactome::Signaling by TGFB family members	-0.03539113899126909	1.0204370678434824
LS	Reactome::NOTCH3 Activation and Transmission of Signal to the Nucleus	-0.024001067737940848	1.0204225001600367
LS	Reactome::DAG and IP3 signaling	-0.02578523795201661	1.020407154463465
LS	Reactome::MET activates PTK2 signaling	-0.019483883089681804	1.0203469506998308
LS	Reactome::Circadian clock	0.006374909771151583	1.02034254487601
LS	Reactome::Regulation of pyruvate metabolism	-0.01997918901386175	1.0203087893565639
LS	Reactome::Late endosomal microautophagy	0.026310560775147176	1.0202439909183425
LS	Reactome::Maturation of spike protein_9694548	-0.008540495935305722	1.0202351546537456
LS	Reactome::Stimuli-sensing channels	0.02103276994901962	1.0201844031265723
LS	Reactome::Formation of the dystrophin-glycoprotein complex (DGC)	-0.010246299804341013	1.0201307487655398
LS	Reactome::SPOP-mediated proteasomal degradation of PD-L1(CD274)	0.005114630741301839	1.0201197660420418
LS	Reactome::Protein hydroxylation	0.010036193838407523	1.0201170616942676
LS	Reactome::Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition	-0.02771464926319887	1.0200975895915485
LS	Reactome::mRNA Polyadenylation	0.03132716495576959	1.0200833594578385
LS	Hallmark::HALLMARK_HEME_METABOLISM	0.00472055110876059	1.0200813077075819
LS	Reactome::Binding and Uptake of Ligands by Scavenger Receptors	0.02137568690346233	1.020078136516806
LS	Reactome::Negative regulation of NOTCH4 signaling	0.020579988683136444	1.0200644819745595
LS	Reactome::Regulation of TP53 Activity	-0.00801097803850684	1.0200556850358022
LS	Reactome::RNA Polymerase III Transcription Initiation From Type 2 Promoter	0.019136669399003305	1.0199682295625303
LS	Reactome::NIK-->noncanonical NF-kB signaling	-0.005767766613890851	1.019924213023332
LS	Reactome::Regulation of CDH1 Function	-0.018969184915064826	1.019923224350887
LS	Reactome::Transcriptional regulation of pluripotent stem cells	-0.0028341182640351697	1.0199022138180496
LS	Reactome::G alpha (12/13) signalling events	0.0015047347608116814	1.0198975618735036
LS	Reactome::PKA-mediated phosphorylation of CREB	-0.021471403845982444	1.019862731378136
LS	Reactome::RAS processing	-0.024295013292426098	1.0198478695735933
LS	Hallmark::HALLMARK_ESTROGEN_RESPONSE_LATE	-0.016173203317269107	1.0198315526383803
LS	Reactome::Initiation of coagulation cascade	-0.001926090046785252	1.01982686259656
LS	Hallmark::HALLMARK_MYC_TARGETS_V1	-0.018775630474712358	1.0197797407685225
LS	Reactome::Regulation of PD-L1(CD274) translation	-0.024017904890170683	1.0197396074962184
LS	Reactome::Smooth Muscle Contraction	-0.018394320426474136	1.019729850804245
LS	Reactome::LDL clearance	0.0016549131415034039	1.0197284733044434
LS	cell_state::Keratinocyte	-0.03963903215818456	1.0196837055119787
LS	Reactome::Resolution of AP sites via the multiple-nucleotide patch replacement pathway	-0.011897700187747428	1.0196461509926031
LS	Reactome::Ubiquinol biosynthesis	0.02597574227706496	1.0196438403188426
LS	Reactome::RND3 GTPase cycle	-0.016375072197651597	1.019639005942546
LS	Reactome::Semaphorin interactions	-0.020694809420105015	1.0196051862040294
LS	Reactome::ATP-dependent chromatin remodelers	-0.013019708527042017	1.0196013697010953
LS	Reactome::Heparan sulfate/heparin (HS-GAG) metabolism	0.02500706125580988	1.0195582928583589
LS	Reactome::Oncogene Induced Senescence	-0.0197619728844696	1.0195320349271997
LS	Reactome::Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	-0.009162239379348833	1.019520919552596
LS	Reactome::Constitutive Signaling by NOTCH1 PEST Domain Mutants	-0.009162239379348833	1.019520919552596
LS	Reactome::Signaling by NOTCH1 PEST Domain Mutants in Cancer	-0.009162239379348833	1.019520919552596
LS	Reactome::Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	-0.009162239379348833	1.019520919552596
LS	Reactome::Signaling by NOTCH1 in Cancer	-0.009162239379348833	1.019520919552596
LS	Reactome::Termination of O-glycan biosynthesis	0.015956030677813968	1.0195159475610922
LS	Reactome::Eukaryotic Translation Termination	0.03008170244056395	1.0194505788467627
LS	Reactome::RHOJ GTPase cycle	-0.03440139150073353	1.0194303040524402
LS	Reactome::Signaling by Insulin receptor	0.0018663981417748187	1.0193905959186031
LS	Reactome::Downregulation of TGF-beta receptor signaling	-0.005981877158122544	1.0193855724915448
LS	Reactome::Calnexin/calreticulin cycle	-0.029383948287213774	1.019379732660846
LS	Reactome::p53-Independent G1/S DNA Damage Checkpoint	0.0009486620359907535	1.0193795501309981
LS	Reactome::Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A	0.0009486620359907535	1.0193795501309981
LS	Reactome::Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters	-0.005438314008090303	1.0193744920790513
LS	Reactome::Sphingolipid de novo biosynthesis	-0.033654006351177795	1.0193607331460226
LS	Reactome::SARS-CoV-2 targets host intracellular signalling and regulatory pathways	-0.019034924864843365	1.0193404718608101
LS	Reactome::RNA Polymerase II Transcription Termination	0.0027653286844669537	1.0193380241272425
LS	Reactome::Processing of Capped Intronless Pre-mRNA	0.0027653286844669537	1.0193380241272425
LS	Reactome::Signaling by MET	-0.02453669293276987	1.0193198473819862
LS	Reactome::SRP-dependent cotranslational protein targeting to membrane	0.028288640423036002	1.0193176784893412
LS	Reactome::IRS-mediated signalling	0.00018741133098471323	1.0192667072414652
LS	Reactome::mTORC1-mediated signalling	0.019416886339002796	1.0192628367887127
LS	Reactome::tRNA Aminoacylation	-0.024110999515747977	1.0192005442030445
LS	Reactome::Signal attenuation	-0.024302021945836104	1.0191971883724789
LS	Reactome::Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	-0.0017187956324337436	1.0191929132811302
LS	Reactome::Defective RIPK1-mediated regulated necrosis	-0.006688241340108822	1.0191693203743115
LS	Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	0.014037041500427684	1.0191663077925306
LS	Reactome::Activation of gene expression by SREBF (SREBP)	0.008210561782241289	1.019148956010649
LS	Reactome::VLDLR internalisation and degradation	0.006973359677775474	1.019133769935716
LS	Reactome::PCNA-Dependent Long Patch Base Excision Repair	-0.0087016096518835	1.019070921391712
LS	Reactome::Activation of RAC1	-0.02257882943867782	1.0190698052861322
LS	Reactome::rRNA processing in the nucleus and cytosol	-0.017822580800274664	1.0190630272279588
LS	Reactome::rRNA modification in the mitochondrion	-0.016598354596342613	1.019020728954555
LS	Reactome::Sema4D in semaphorin signaling	-0.02034632889626903	1.0189930424955298
LS	Reactome::Reactions specific to the complex N-glycan synthesis pathway	-0.007462172454233875	1.0189255342530201
LS	Reactome::RNA Polymerase III Transcription Initiation From Type 3 Promoter	0.022775865725168775	1.0189060404550985
LS	Reactome::Adrenaline,noradrenaline inhibits insulin secretion	-0.011861008443379636	1.0189036101027027
LS	Reactome::PI3K/AKT Signaling in Cancer	-0.032713672240840104	1.0189033634772497
LS	Reactome::RHOG GTPase cycle	-0.01312147686421088	1.0188730384827562
LS	Reactome::Infection with Enterobacteria	0.0067162386957081875	1.0188513928203358
LS	Reactome::RNA Polymerase III Chain Elongation	0.02125486940359414	1.0188512127253022
LS	Reactome::Scavenging by Class A Receptors	-0.026697366791540545	1.0188428385168284
LS	Reactome::The role of GTSE1 in G2/M progression after G2 checkpoint	-0.0030162171115662396	1.0188412008013943
LS	Reactome::GABA B receptor activation	-0.028308040656826503	1.0188363280407877
LS	Reactome::Activation of GABAB receptors	-0.028308040656826503	1.0188363280407877
LS	Reactome::Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	0.02894819318560296	1.0188339605762182
LS	Reactome::Formation of paraxial mesoderm	0.01439404525748775	1.0188296553687775
